Entity,Code,Year,"Literacy rate, adult male (% of males ages 15 and above)"
Central Europe and the Baltics,,2012,99.2964630126953
Central Europe and the Baltics,,2013,99.2969512939453
Central Europe and the Baltics,,2014,99.2998886108398
Central Europe and the Baltics,,2015,99.3031005859375
Central Europe and the Baltics,,2016,99.3075180053711
Chad,TCD,1993,18.2605991363525
Chad,TCD,2000,40.8270606994629
Chad,TCD,2004,39.3682518005371
Chad,TCD,2015,38.9182014465332
Chad,TCD,2016,31.3287906646729
Chile,CHL,1982,91.4805374145508
Chile,CHL,1992,94.5630722045898
Chile,CHL,2002,95.7964096069336
Chile,CHL,2008,97.7024993896484
Chile,CHL,2009,97.8893585205078
Chile,CHL,2010,96.9942474365234
Chile,CHL,2011,96.8987808227539
Chile,CHL,2013,96.3880081176758
Chile,CHL,2015,97.0246887207031
Chile,CHL,2017,96.4806289672852
China,CHN,1982,79.191780090332
China,CHN,1990,87.0249786376953
China,CHN,2000,95.1352462768555
China,CHN,2010,97.4794616699219
China,CHN,2018,98.4665374755859
Colombia,COL,1993,90.97265625
Colombia,COL,1996,91.0891036987305
Colombia,COL,2004,92.9041213989258
Colombia,COL,2005,92.777946472168
Colombia,COL,2006,92.3927993774414
Colombia,COL,2007,92.4297027587891
Colombia,COL,2008,93.3168792724609
Colombia,COL,2009,93.0625381469727
Colombia,COL,2010,93.2501907348633
Colombia,COL,2011,93.4882583618164
Colombia,COL,2014,93.8674011230469
Colombia,COL,2015,94.0631713867188
Colombia,COL,2016,94.4022827148438
Colombia,COL,2018,94.8518295288086
Comoros,COM,1980,55.9770393371582
Comoros,COM,2000,74.5140380859375
Comoros,COM,2012,56.4798011779785
Comoros,COM,2018,64.6442031860352
Congo,COG,1984,71.3291168212891
Congo,COG,2005,86.0498275756836
Congo,COG,2011,86.4343109130859
Congo,COG,2018,86.0765075683594
Costa Rica,CRI,1984,92.6821365356445
Costa Rica,CRI,2000,94.6501770019531
Costa Rica,CRI,2011,97.3063278198242
Costa Rica,CRI,2018,97.8023529052734
Cote d'Ivoire,CIV,1988,44.3635406494141
Cote d'Ivoire,CIV,1998,43.946418762207
Cote d'Ivoire,CIV,2000,60.8606605529785
Cote d'Ivoire,CIV,2012,51.5926704406738
Cote d'Ivoire,CIV,2014,50.7019004821777
Cote d'Ivoire,CIV,2018,53.6569404602051
Croatia,HRV,1991,98.7570571899414
Croatia,HRV,2001,99.3205871582031
Croatia,HRV,2011,99.6297073364258
Cuba,CUB,2002,99.8073120117188
Cuba,CUB,2012,99.7060623168945
Cyprus,CYP,1992,97.8305892944336
Cyprus,CYP,2001,98.6310424804688
Cyprus,CYP,2011,99.2861480712891
Czechia,CZE,2016,99.7958374023438
Democratic Republic of Congo,COD,2001,80.9232406616211
Democratic Republic of Congo,COD,2007,76.9156875610352
Democratic Republic of Congo,COD,2012,87.9083862304688
Democratic Republic of Congo,COD,2016,88.5246887207031
Dominican Republic,DOM,1981,73.5902481079102
Dominican Republic,DOM,2002,86.8110198974609
Dominican Republic,DOM,2007,88.2101516723633
Dominican Republic,DOM,2010,89.3770370483398
Dominican Republic,DOM,2011,89.9850082397461
Dominican Republic,DOM,2012,90.0848236083984
Dominican Republic,DOM,2013,90.4581298828125
Dominican Republic,DOM,2014,91.3715972900391
Dominican Republic,DOM,2015,91.6507110595703
Dominican Republic,DOM,2016,93.7936019897461
Early-demographic dividend,,1975,60.0127792358398
Early-demographic dividend,,1976,60.1746215820313
Early-demographic dividend,,1977,60.746150970459
Early-demographic dividend,,1978,61.2707710266113
Early-demographic dividend,,1979,61.7873802185059
Early-demographic dividend,,1980,61.8583984375
Early-demographic dividend,,1981,62.353458404541
Early-demographic dividend,,1982,63.2220993041992
Early-demographic dividend,,1983,63.673698425293
Early-demographic dividend,,1984,64.2602310180664
Early-demographic dividend,,1985,64.7603073120117
Early-demographic dividend,,1986,65.221809387207
Early-demographic dividend,,1987,66.0450134277344
Early-demographic dividend,,1988,67.1306076049805
Early-demographic dividend,,1989,67.6824188232422
Early-demographic dividend,,1990,68.3278884887695
Early-demographic dividend,,1991,68.5722732543945
Early-demographic dividend,,1992,69.6697082519531
Early-demographic dividend,,1993,70.4637680053711
Early-demographic dividend,,1994,71.1001663208008
Early-demographic dividend,,1995,71.7110900878906
Early-demographic dividend,,1996,72.2621994018555
Early-demographic dividend,,1997,72.7905120849609
Early-demographic dividend,,1998,75.9544906616211
Early-demographic dividend,,1999,76.3849792480469
Early-demographic dividend,,2000,76.890266418457
Early-demographic dividend,,2001,77.12158203125
Early-demographic dividend,,2002,77.7983169555664
Early-demographic dividend,,2003,78.8193817138672
Early-demographic dividend,,2004,79.4590225219727
Early-demographic dividend,,2005,79.482177734375
Early-demographic dividend,,2006,79.5531616210938
Early-demographic dividend,,2007,79.9562072753906
Early-demographic dividend,,2008,81.1423263549805
Early-demographic dividend,,2009,81.7824401855469
Early-demographic dividend,,2010,82.0965576171875
Early-demographic dividend,,2011,81.9611587524414
Early-demographic dividend,,2012,82.4948196411133
Early-demographic dividend,,2013,82.8549728393555
Early-demographic dividend,,2014,83.3799133300781
Early-demographic dividend,,2015,83.983528137207
Early-demographic dividend,,2016,84.4452209472656
Early-demographic dividend,,2017,84.6783905029297
Early-demographic dividend,,2018,84.9629592895508
Early-demographic dividend,,2019,85.3153610229492
East Asia & Pacific,,1976,78.2023468017578
East Asia & Pacific,,1977,78.3306732177734
East Asia & Pacific,,1978,79.0681076049805
East Asia & Pacific,,1979,79.7833099365234
East Asia & Pacific,,1980,80.0830307006836
East Asia & Pacific,,1981,81.2048721313477
East Asia & Pacific,,1982,81.7502975463867
East Asia & Pacific,,1983,82.5353164672852
East Asia & Pacific,,1984,83.1856536865234
East Asia & Pacific,,1985,83.8027114868164
East Asia & Pacific,,1986,84.3940505981445
East Asia & Pacific,,1987,85.3372573852539
East Asia & Pacific,,1988,87.955207824707
East Asia & Pacific,,1989,88.3482894897461
East Asia & Pacific,,1990,88.0442733764648
East Asia & Pacific,,1991,89.0538101196289
East Asia & Pacific,,1992,89.3806915283203
East Asia & Pacific,,1993,89.6436386108398
East Asia & Pacific,,1994,90.0188369750977
East Asia & Pacific,,1995,90.3858108520508
East Asia & Pacific,,1996,90.7060317993164
East Asia & Pacific,,1997,93.6159820556641
East Asia & Pacific,,1998,93.8170776367188
East Asia & Pacific,,1999,94.0335464477539
East Asia & Pacific,,2000,94.2477798461914
East Asia & Pacific,,2001,94.4638137817383
East Asia & Pacific,,2002,94.6950912475586
East Asia & Pacific,,2003,94.908821105957
East Asia & Pacific,,2004,95.1638031005859
East Asia & Pacific,,2005,95.4110565185547
East Asia & Pacific,,2006,95.6749496459961
East Asia & Pacific,,2007,96.2348327636719
East Asia & Pacific,,2008,96.3862075805664
East Asia & Pacific,,2009,96.5442504882813
East Asia & Pacific,,2010,96.4998397827148
East Asia & Pacific,,2011,96.2758102416992
East Asia & Pacific,,2012,96.4297332763672
East Asia & Pacific,,2013,96.5032577514648
East Asia & Pacific,,2014,96.8126983642578
East Asia & Pacific,,2015,97.0019226074219
East Asia & Pacific,,2016,97.0746002197266
East Asia & Pacific,,2017,97.189453125
East Asia & Pacific,,2018,97.2609786987305
East Asia & Pacific,,2019,97.3468017578125
East Asia & Pacific (IDA & IBRD),,1976,76.8000793457031
East Asia & Pacific (IDA & IBRD),,1977,76.9150466918945
East Asia & Pacific (IDA & IBRD),,1978,77.7388687133789
East Asia & Pacific (IDA & IBRD),,1979,78.5418167114258
East Asia & Pacific (IDA & IBRD),,1980,78.8963012695313
East Asia & Pacific (IDA & IBRD),,1981,80.1309585571289
East Asia & Pacific (IDA & IBRD),,1982,80.7496719360352
East Asia & Pacific (IDA & IBRD),,1983,81.6355209350586
East Asia & Pacific (IDA & IBRD),,1984,82.3634414672852
East Asia & Pacific (IDA & IBRD),,1985,83.0521392822266
East Asia & Pacific (IDA & IBRD),,1986,83.7101974487305
East Asia & Pacific (IDA & IBRD),,1987,84.7076721191406
East Asia & Pacific (IDA & IBRD),,1988,87.6374588012695
East Asia & Pacific (IDA & IBRD),,1989,88.0655364990234
East Asia & Pacific (IDA & IBRD),,1990,87.7081298828125
East Asia & Pacific (IDA & IBRD),,1991,88.8338317871094
East Asia & Pacific (IDA & IBRD),,1992,89.1870574951172
East Asia & Pacific (IDA & IBRD),,1993,89.4766387939453
East Asia & Pacific (IDA & IBRD),,1994,89.8668518066406
East Asia & Pacific (IDA & IBRD),,1995,90.2501602172852
East Asia & Pacific (IDA & IBRD),,1996,90.5880508422852
East Asia & Pacific (IDA & IBRD),,1997,93.8648834228516
East Asia & Pacific (IDA & IBRD),,1998,94.0792617797852
East Asia & Pacific (IDA & IBRD),,1999,94.2731323242188
East Asia & Pacific (IDA & IBRD),,2000,94.5014419555664
East Asia & Pacific (IDA & IBRD),,2001,94.7502365112305
East Asia & Pacific (IDA & IBRD),,2002,94.970100402832
East Asia & Pacific (IDA & IBRD),,2003,95.1578979492188
East Asia & Pacific (IDA & IBRD),,2004,95.3806533813477
East Asia & Pacific (IDA & IBRD),,2005,95.618049621582
East Asia & Pacific (IDA & IBRD),,2006,95.8802185058594
East Asia & Pacific (IDA & IBRD),,2007,96.5003204345703
East Asia & Pacific (IDA & IBRD),,2008,96.6343688964844
East Asia & Pacific (IDA & IBRD),,2009,96.7891693115234
East Asia & Pacific (IDA & IBRD),,2010,96.8078994750977
East Asia & Pacific (IDA & IBRD),,2011,96.6102676391602
East Asia & Pacific (IDA & IBRD),,2012,96.7517395019531
East Asia & Pacific (IDA & IBRD),,2013,96.8190689086914
East Asia & Pacific (IDA & IBRD),,2014,97.0563125610352
East Asia & Pacific (IDA & IBRD),,2015,97.244270324707
East Asia & Pacific (IDA & IBRD),,2016,97.310676574707
East Asia & Pacific (IDA & IBRD),,2017,97.4208068847656
East Asia & Pacific (IDA & IBRD),,2018,97.4886703491211
East Asia & Pacific (IDA & IBRD),,2019,97.5739364624023
East Asia & Pacific (excluding high income),,1976,77.0743179321289
East Asia & Pacific (excluding high income),,1977,77.1875534057617
East Asia & Pacific (excluding high income),,1978,78.0003967285156
East Asia & Pacific (excluding high income),,1979,78.79296875
East Asia & Pacific (excluding high income),,1980,79.1431503295898
East Asia & Pacific (excluding high income),,1981,80.3647079467773
East Asia & Pacific (excluding high income),,1982,80.9770736694336
East Asia & Pacific (excluding high income),,1983,81.8532562255859
East Asia & Pacific (excluding high income),,1984,82.5735397338867
East Asia & Pacific (excluding high income),,1985,83.255256652832
East Asia & Pacific (excluding high income),,1986,83.9054107666016
East Asia & Pacific (excluding high income),,1987,84.8918380737305
East Asia & Pacific (excluding high income),,1988,87.7874221801758
East Asia & Pacific (excluding high income),,1989,88.2110137939453
East Asia & Pacific (excluding high income),,1990,87.8580780029297
East Asia & Pacific (excluding high income),,1991,88.9709701538086
East Asia & Pacific (excluding high income),,1992,89.3197937011719
East Asia & Pacific (excluding high income),,1993,89.6052169799805
East Asia & Pacific (excluding high income),,1994,89.9902114868164
East Asia & Pacific (excluding high income),,1995,90.3687896728516
East Asia & Pacific (excluding high income),,1996,90.7016525268555
East Asia & Pacific (excluding high income),,1997,93.9387588500977
East Asia & Pacific (excluding high income),,1998,94.1505508422852
East Asia & Pacific (excluding high income),,1999,94.3419494628906
East Asia & Pacific (excluding high income),,2000,94.5671615600586
East Asia & Pacific (excluding high income),,2001,94.8128128051758
East Asia & Pacific (excluding high income),,2002,95.029670715332
East Asia & Pacific (excluding high income),,2003,95.2147827148438
East Asia & Pacific (excluding high income),,2004,95.4345474243164
East Asia & Pacific (excluding high income),,2005,95.6689834594727
East Asia & Pacific (excluding high income),,2006,95.9279098510742
East Asia & Pacific (excluding high income),,2007,96.5407791137695
East Asia & Pacific (excluding high income),,2008,96.6733016967773
East Asia & Pacific (excluding high income),,2009,96.8263473510742
East Asia & Pacific (excluding high income),,2010,96.8448791503906
East Asia & Pacific (excluding high income),,2011,96.6495819091797
East Asia & Pacific (excluding high income),,2012,96.789436340332
East Asia & Pacific (excluding high income),,2013,96.8559875488281
East Asia & Pacific (excluding high income),,2014,97.0904998779297
East Asia & Pacific (excluding high income),,2015,97.2763137817383
East Asia & Pacific (excluding high income),,2016,97.3419418334961
East Asia & Pacific (excluding high income),,2017,97.4507904052734
East Asia & Pacific (excluding high income),,2018,97.5178604125977
East Asia & Pacific (excluding high income),,2019,97.6021270751953
Ecuador,ECU,1982,86.7869720458984
Ecuador,ECU,1990,90.4967727661133
Ecuador,ECU,2001,92.3271331787109
Ecuador,ECU,2007,93.3891983032227
Ecuador,ECU,2008,93.7494506835938
Ecuador,ECU,2009,93.6637802124023
Ecuador,ECU,2010,93.3168716430664
Ecuador,ECU,2011,93.0525207519531
Ecuador,ECU,2012,93.2542419433594
Ecuador,ECU,2013,94.4257278442383
Ecuador,ECU,2014,95.2571716308594
Ecuador,ECU,2015,95.7262191772461
Ecuador,ECU,2016,95.4450225830078
Ecuador,ECU,2017,93.7790603637695
Egypt,EGY,1976,53.6151885986328
Egypt,EGY,1986,56.9761581420898
Egypt,EGY,1996,67.1517791748047
Egypt,EGY,2005,77.9101333618164
Egypt,EGY,2006,74.6218032836914
Egypt,EGY,2010,80.2686462402344
Egypt,EGY,2012,81.6792221069336
Egypt,EGY,2013,81.6940612792969
Egypt,EGY,2017,76.4952163696289
El Salvador,SLV,1992,77.3724136352539
El Salvador,SLV,2006,86.6953430175781
El Salvador,SLV,2007,84.8640670776367
El Salvador,SLV,2008,87.0546798706055
El Salvador,SLV,2009,86.8252105712891
El Salvador,SLV,2010,87.0997009277344
El Salvador,SLV,2011,88.3916473388672
El Salvador,SLV,2013,89.2350082397461
El Salvador,SLV,2015,90.0099411010742
El Salvador,SLV,2016,90.2992706298828
El Salvador,SLV,2017,90.6313781738281
El Salvador,SLV,2018,91.1023406982422
Equatorial Guinea,GNQ,2000,94.8426132202148
Equatorial Guinea,GNQ,2010,97.1839981079102
Eritrea,ERI,2002,65.3901214599609
Eritrea,ERI,2008,75.0724105834961
Eritrea,ERI,2018,84.3732376098633
Estonia,EST,1989,99.8759765625
Estonia,EST,2000,99.7759475708008
Estonia,EST,2011,99.8589782714844
Eswatini,SWZ,1976,57.384391784668
Eswatini,SWZ,1986,69.6834716796875
Eswatini,SWZ,2000,83.1546173095703
Eswatini,SWZ,2010,83.900146484375
Eswatini,SWZ,2018,88.2875823974609
Ethiopia,ETH,1994,35.9825286865234
Ethiopia,ETH,2004,50
Ethiopia,ETH,2005,41.9366188049316
Ethiopia,ETH,2007,49.1346588134766
Ethiopia,ETH,2017,59.2414588928223
Europe & Central Asia,,1994,97.3861999511719
Europe & Central Asia,,1995,97.4613800048828
Europe & Central Asia,,1996,97.5425033569336
Europe & Central Asia,,1997,97.6099624633789
Europe & Central Asia,,1998,97.6392517089844
Europe & Central Asia,,1999,97.6972885131836
Europe & Central Asia,,2000,97.7811737060547
Europe & Central Asia,,2001,97.8410110473633
Europe & Central Asia,,2002,97.9929428100586
Europe & Central Asia,,2003,98.0469589233398
Europe & Central Asia,,2004,98.1095504760742
Europe & Central Asia,,2005,98.1073684692383
Europe & Central Asia,,2006,98.2379608154297
Europe & Central Asia,,2007,98.2029724121094
Europe & Central Asia,,2008,98.3314514160156
Europe & Central Asia,,2009,98.3209533691406
Europe & Central Asia,,2010,98.4011764526367
Europe & Central Asia,,2011,98.5786437988281
Europe & Central Asia,,2012,98.6338882446289
Europe & Central Asia,,2013,98.6768798828125
Europe & Central Asia,,2014,98.7046203613281
Europe & Central Asia,,2015,98.7357482910156
Europe & Central Asia,,2016,98.7805404663086
Europe & Central Asia,,2017,98.7983474731445
Europe & Central Asia,,2018,98.8318862915039
Europe & Central Asia,,2019,98.8602600097656
Europe & Central Asia (IDA & IBRD),,1983,97.4604873657227
Europe & Central Asia (IDA & IBRD),,1984,97.8277435302734
Europe & Central Asia (IDA & IBRD),,1985,97.9138793945313
Europe & Central Asia (IDA & IBRD),,1986,97.9282302856445
Europe & Central Asia (IDA & IBRD),,1987,97.9798278808594
Europe & Central Asia (IDA & IBRD),,1988,97.9967193603516
Europe & Central Asia (IDA & IBRD),,1989,98.0454711914063
Europe & Central Asia (IDA & IBRD),,1990,98.1377029418945
Europe & Central Asia (IDA & IBRD),,1991,98.1407623291016
Europe & Central Asia (IDA & IBRD),,1992,98.1892013549805
Europe & Central Asia (IDA & IBRD),,1993,98.2342987060547
Europe & Central Asia (IDA & IBRD),,1994,98.2780838012695
Europe & Central Asia (IDA & IBRD),,1995,98.3225708007813
Europe & Central Asia (IDA & IBRD),,1996,98.3836517333984
Europe & Central Asia (IDA & IBRD),,1997,98.4184188842773
Europe & Central Asia (IDA & IBRD),,1998,98.5024566650391
Europe & Central Asia (IDA & IBRD),,1999,98.5188064575195
Europe & Central Asia (IDA & IBRD),,2000,98.7253875732422
Europe & Central Asia (IDA & IBRD),,2001,98.7652435302734
Europe & Central Asia (IDA & IBRD),,2002,98.7997207641602
Europe & Central Asia (IDA & IBRD),,2003,98.8254699707031
