Entity,Code,Year,9.b.1 - Proportion of medium and high-tech manufacturing value added in total value added (%) - NV_IND_TECH
Angola,AGO,2000,4.52
Angola,AGO,2001,4.52
Angola,AGO,2002,4.52
Angola,AGO,2003,4.52
Angola,AGO,2004,4.52
Angola,AGO,2005,4.52
Angola,AGO,2006,4.52
Angola,AGO,2007,4.52
Angola,AGO,2008,4.52
Angola,AGO,2009,4.52
Angola,AGO,2010,4.52
Angola,AGO,2011,4.52
Angola,AGO,2012,4.52
Angola,AGO,2013,4.52
Angola,AGO,2014,4.52
Angola,AGO,2015,3.76
Angola,AGO,2016,3.37
Angola,AGO,2017,3.37
Angola,AGO,2018,3.37
Angola,AGO,2019,3.37
Argentina,ARG,2000,28.6
Argentina,ARG,2001,26.98
Argentina,ARG,2002,26
Argentina,ARG,2003,26
Argentina,ARG,2004,25.77
Argentina,ARG,2005,26.52
Argentina,ARG,2006,27.33
Argentina,ARG,2007,27.42
Argentina,ARG,2008,26.92
Argentina,ARG,2009,26.42
Argentina,ARG,2010,27.2
Argentina,ARG,2011,27.22
Argentina,ARG,2012,26.98
Argentina,ARG,2013,27.34
Argentina,ARG,2014,26.11
Argentina,ARG,2015,26.03
Argentina,ARG,2016,27.62
Argentina,ARG,2017,28.09
Argentina,ARG,2018,27.61
Argentina,ARG,2019,26.34
Armenia,ARM,2000,9.53
Armenia,ARM,2001,9.96
Armenia,ARM,2002,7.75
Armenia,ARM,2003,7.55
Armenia,ARM,2004,4.08
Armenia,ARM,2005,3.91
Armenia,ARM,2006,3.9
Armenia,ARM,2007,3.91
Armenia,ARM,2008,3.91
Armenia,ARM,2009,4.51
Armenia,ARM,2010,4.51
Armenia,ARM,2011,4.51
Armenia,ARM,2012,4.51
Armenia,ARM,2013,4.51
Armenia,ARM,2014,4.51
Armenia,ARM,2015,4.09
Armenia,ARM,2016,4.33
Armenia,ARM,2017,4.63
Armenia,ARM,2018,7.05
Armenia,ARM,2019,7.05
Asia,,2000,48.49
Asia,,2001,47.39
Asia,,2002,48.68
Asia,,2003,49.05
Asia,,2004,48.93
Asia,,2005,48.75
Asia,,2006,48.5
Asia,,2007,48.14
Asia,,2008,46.97
Asia,,2009,46.32
Asia,,2010,46.46
Asia,,2011,45.99
Asia,,2012,45.9
Asia,,2013,45.16
Asia,,2014,45.42
Asia,,2015,45.55
Asia,,2016,45.37
Asia,,2017,45.55
Asia,,2018,45.42
Asia,,2019,45.14
Australia,AUS,2000,27.24
Australia,AUS,2001,26.03
Australia,AUS,2002,24.73
Australia,AUS,2003,23.91
Australia,AUS,2004,24.66
Australia,AUS,2005,24.49
Australia,AUS,2006,25.08
Australia,AUS,2007,26.48
Australia,AUS,2008,26.18
Australia,AUS,2009,28.03
Australia,AUS,2010,27.82
Australia,AUS,2011,29.62
Australia,AUS,2012,30.91
Australia,AUS,2013,30.88
Australia,AUS,2014,30.7
Australia,AUS,2015,29.45
Australia,AUS,2016,29.42
Australia,AUS,2017,29.61
Australia,AUS,2018,30.19
Australia,AUS,2019,28.48
Australia and New Zealand,,2000,24.9
Australia and New Zealand,,2001,23.85
Australia and New Zealand,,2002,23.08
Australia and New Zealand,,2003,22.91
Australia and New Zealand,,2004,23.52
Australia and New Zealand,,2005,23.11
Australia and New Zealand,,2006,23.69
Australia and New Zealand,,2007,24.93
Australia and New Zealand,,2008,24.87
Australia and New Zealand,,2009,26.43
Australia and New Zealand,,2010,26.36
Australia and New Zealand,,2011,27.95
Australia and New Zealand,,2012,28.85
Australia and New Zealand,,2013,28.97
Australia and New Zealand,,2014,28.66
Australia and New Zealand,,2015,27.27
Australia and New Zealand,,2016,27.47
Australia and New Zealand,,2017,28.08
Australia and New Zealand,,2018,28.36
Australia and New Zealand,,2019,26.95
Austria,AUT,2000,38.81
Austria,AUT,2001,38.24
Austria,AUT,2002,38.36
Austria,AUT,2003,39.7
Austria,AUT,2004,39.84
Austria,AUT,2005,41.67
Austria,AUT,2006,42.15
Austria,AUT,2007,42.62
Austria,AUT,2008,43.78
Austria,AUT,2009,42.7
Austria,AUT,2010,44.84
Austria,AUT,2011,46.03
Austria,AUT,2012,45.71
Austria,AUT,2013,45.97
Austria,AUT,2014,46.46
Austria,AUT,2015,46.17
Austria,AUT,2016,46.51
Austria,AUT,2017,46.47
Austria,AUT,2018,45.45
Austria,AUT,2019,45.35
Azerbaijan,AZE,2000,16.53
Azerbaijan,AZE,2001,23.82
Azerbaijan,AZE,2002,24.89
Azerbaijan,AZE,2003,19.82
Azerbaijan,AZE,2004,18.47
Azerbaijan,AZE,2005,38.5
Azerbaijan,AZE,2006,24.22
Azerbaijan,AZE,2007,19.92
Azerbaijan,AZE,2008,13.17
Azerbaijan,AZE,2009,13.88
Azerbaijan,AZE,2010,10.07
Azerbaijan,AZE,2011,12.49
Azerbaijan,AZE,2012,12.5
Azerbaijan,AZE,2013,15.72
Azerbaijan,AZE,2014,17.54
Azerbaijan,AZE,2015,29.91
Azerbaijan,AZE,2016,28.18
Azerbaijan,AZE,2017,20.37
Azerbaijan,AZE,2018,18.18
Azerbaijan,AZE,2019,14.23
Bahamas,BHS,2000,27.77
Bahamas,BHS,2001,27.77
Bahamas,BHS,2002,27.77
Bahamas,BHS,2003,27.77
Bahamas,BHS,2004,27.77
Bahamas,BHS,2005,27.77
Bahamas,BHS,2006,27.77
Bahamas,BHS,2007,27.77
Bahamas,BHS,2008,27.77
Bahamas,BHS,2009,27.77
Bahamas,BHS,2010,27.77
Bahamas,BHS,2011,27.77
Bahamas,BHS,2012,27.77
Bahamas,BHS,2013,27.77
Bahamas,BHS,2014,27.77
Bahamas,BHS,2015,27.77
Bahamas,BHS,2016,27.77
Bahamas,BHS,2017,27.77
Bahamas,BHS,2018,27.77
Bahamas,BHS,2019,27.77
Bahrain,BHR,2000,12.56
Bahrain,BHR,2001,18.67
Bahrain,BHR,2002,18.15
Bahrain,BHR,2003,21.46
Bahrain,BHR,2004,21.82
Bahrain,BHR,2005,23.81
Bahrain,BHR,2006,25.71
Bahrain,BHR,2007,23.55
Bahrain,BHR,2008,28.25
Bahrain,BHR,2009,28.25
Bahrain,BHR,2010,25.39
Bahrain,BHR,2011,25.54
Bahrain,BHR,2012,24.56
Bahrain,BHR,2013,25.26
Bahrain,BHR,2014,26.23
Bahrain,BHR,2015,25.32
Bahrain,BHR,2016,28.06
Bahrain,BHR,2017,24.63
Bahrain,BHR,2018,24.63
Bahrain,BHR,2019,24.63
Bangladesh,BGD,2000,21.08
Bangladesh,BGD,2001,21.08
Bangladesh,BGD,2002,21.08
Bangladesh,BGD,2003,20.55
Bangladesh,BGD,2004,20.55
Bangladesh,BGD,2005,20.55
Bangladesh,BGD,2006,20.17
Bangladesh,BGD,2007,17.53
Bangladesh,BGD,2008,17.53
Bangladesh,BGD,2009,17.53
Bangladesh,BGD,2010,9.14
Bangladesh,BGD,2011,9.14
Bangladesh,BGD,2012,9.76
Bangladesh,BGD,2013,9.47
Bangladesh,BGD,2014,9.47
Bangladesh,BGD,2015,9.47
Bangladesh,BGD,2016,7.81
Bangladesh,BGD,2017,7.81
Bangladesh,BGD,2018,10.37
Bangladesh,BGD,2019,7.81
Barbados,BRB,2000,38.11
Barbados,BRB,2001,38.11
Barbados,BRB,2002,38.11
Barbados,BRB,2003,38.11
Barbados,BRB,2004,38.11
Barbados,BRB,2005,38.11
Barbados,BRB,2006,38.11
Barbados,BRB,2007,38.11
Barbados,BRB,2008,38.11
Barbados,BRB,2009,38.11
Barbados,BRB,2010,38.11
Barbados,BRB,2011,38.11
Barbados,BRB,2012,38.11
Barbados,BRB,2013,38.11
Barbados,BRB,2014,38.11
Barbados,BRB,2015,38.11
Barbados,BRB,2016,38.11
Barbados,BRB,2017,38.11
Barbados,BRB,2018,38.11
Barbados,BRB,2019,38.11
Belarus,BLR,2000,42
Belarus,BLR,2001,42
Belarus,BLR,2002,42
Belarus,BLR,2003,42
Belarus,BLR,2004,42
Belarus,BLR,2005,42
Belarus,BLR,2006,42
Belarus,BLR,2007,42
Belarus,BLR,2008,42
Belarus,BLR,2009,36.84
Belarus,BLR,2010,39.98
Belarus,BLR,2011,47.13
Belarus,BLR,2012,43.26
Belarus,BLR,2013,36.45
Belarus,BLR,2014,37.99
Belarus,BLR,2015,41.05
Belarus,BLR,2016,38.83
Belarus,BLR,2017,40.01
Belarus,BLR,2018,42.21
Belarus,BLR,2019,42.21
Belgium,BEL,2000,43.92
Belgium,BEL,2001,44.16
Belgium,BEL,2002,44
Belgium,BEL,2003,43.17
Belgium,BEL,2004,42.72
Belgium,BEL,2005,43.7
Belgium,BEL,2006,45.15
Belgium,BEL,2007,42.25
Belgium,BEL,2008,43.38
Belgium,BEL,2009,42.65
Belgium,BEL,2010,35.04
Belgium,BEL,2011,37.59
Belgium,BEL,2012,48.05
Belgium,BEL,2013,50.77
Belgium,BEL,2014,49.78
Belgium,BEL,2015,49.43
Belgium,BEL,2016,49.95
Belgium,BEL,2017,49.82
Belgium,BEL,2018,51.18
Belgium,BEL,2019,50.88
Belize,BLZ,2000,18.46
Belize,BLZ,2001,18.46
Belize,BLZ,2002,18.46
Belize,BLZ,2003,18.46
Belize,BLZ,2004,18.46
Belize,BLZ,2005,18.46
Belize,BLZ,2006,18.46
Belize,BLZ,2007,18.46
Belize,BLZ,2008,18.46
Belize,BLZ,2009,18.46
Belize,BLZ,2010,18.46
Belize,BLZ,2011,18.46
Belize,BLZ,2012,18.46
Belize,BLZ,2013,18.46
Belize,BLZ,2014,18.46
Belize,BLZ,2015,18.46
Belize,BLZ,2016,18.46
Belize,BLZ,2017,18.46
Belize,BLZ,2018,18.46
Belize,BLZ,2019,18.46
Bermuda,BMU,2000,17.05
Bermuda,BMU,2001,17.05
Bermuda,BMU,2002,17.05
Bermuda,BMU,2003,17.05
Bermuda,BMU,2004,17.05
Bermuda,BMU,2005,17.05
Bermuda,BMU,2006,15.73
Bermuda,BMU,2007,16.92
Bermuda,BMU,2008,17.05
Bermuda,BMU,2009,17.05
Bermuda,BMU,2010,17.05
Bermuda,BMU,2011,17.05
Bermuda,BMU,2012,17.05
Bermuda,BMU,2013,27.92
Bermuda,BMU,2014,34.51
Bermuda,BMU,2015,36.5
Bermuda,BMU,2016,36.84
Bermuda,BMU,2017,31.58
Bermuda,BMU,2018,38.52
Bermuda,BMU,2019,38.52
Bolivia,BOL,2000,4.91
Bolivia,BOL,2001,5.05
Bolivia,BOL,2002,5.05
Bolivia,BOL,2003,5.05
Bolivia,BOL,2004,5.05
Bolivia,BOL,2005,5.05
Bolivia,BOL,2006,11.67
Bolivia,BOL,2007,11.67
Bolivia,BOL,2008,11.67
Bolivia,BOL,2009,11.67
Bolivia,BOL,2010,11.59
Bolivia,BOL,2011,11.68
Bolivia,BOL,2012,9.62
Bolivia,BOL,2013,9.62
Bolivia,BOL,2014,9.62
Bolivia,BOL,2015,9.62
Bolivia,BOL,2016,9.62
Bolivia,BOL,2017,9.62
Bolivia,BOL,2018,9.62
Bolivia,BOL,2019,9.62
Bosnia and Herzegovina,BIH,2000,29.17
Bosnia and Herzegovina,BIH,2001,16.14
Bosnia and Herzegovina,BIH,2002,16.14
Bosnia and Herzegovina,BIH,2003,16.14
Bosnia and Herzegovina,BIH,2004,16.14
Bosnia and Herzegovina,BIH,2005,16.14
Bosnia and Herzegovina,BIH,2006,16.14
Bosnia and Herzegovina,BIH,2007,16.14
Bosnia and Herzegovina,BIH,2008,16.14
Bosnia and Herzegovina,BIH,2009,16.14
Bosnia and Herzegovina,BIH,2010,16.14
Bosnia and Herzegovina,BIH,2011,17.17
Bosnia and Herzegovina,BIH,2012,19.26
Bosnia and Herzegovina,BIH,2013,17.69
Bosnia and Herzegovina,BIH,2014,17.92
Bosnia and Herzegovina,BIH,2015,18.47
Bosnia and Herzegovina,BIH,2016,17.41
Bosnia and Herzegovina,BIH,2017,18.06
Bosnia and Herzegovina,BIH,2018,19.15
Bosnia and Herzegovina,BIH,2019,19.04
Botswana,BWA,2000,1.24
Botswana,BWA,2001,1.24
Botswana,BWA,2002,77.68
Botswana,BWA,2003,77.68
Botswana,BWA,2004,77.68
Botswana,BWA,2005,7.16
Botswana,BWA,2006,7.16
Botswana,BWA,2007,7.16
Botswana,BWA,2008,8.04
Botswana,BWA,2009,8.28
Botswana,BWA,2010,9.69
Botswana,BWA,2011,5.89
Botswana,BWA,2012,5.9
Botswana,BWA,2013,5.9
Botswana,BWA,2014,5.85
Botswana,BWA,2015,5.81
Botswana,BWA,2016,5.76
Botswana,BWA,2017,5.79
Botswana,BWA,2018,5.75
Botswana,BWA,2019,7.92
Brazil,BRA,2000,35.02
Brazil,BRA,2001,35.79
Brazil,BRA,2002,35.05
Brazil,BRA,2003,33.76
Brazil,BRA,2004,35
Brazil,BRA,2005,33.59
Brazil,BRA,2006,33.95
Brazil,BRA,2007,35.73
Brazil,BRA,2008,36.6
Brazil,BRA,2009,34.84
Brazil,BRA,2010,36.19
Brazil,BRA,2011,36.32
Brazil,BRA,2012,35.33
Brazil,BRA,2013,36.39
Brazil,BRA,2014,34.15
Brazil,BRA,2015,35.46
Brazil,BRA,2016,32.78
Brazil,BRA,2017,35.02
Brazil,BRA,2018,33.74
Brazil,BRA,2019,33.74
Brunei,BRN,2000,3.32
Brunei,BRN,2001,3.32
Brunei,BRN,2002,3.32
Brunei,BRN,2003,3.32
Brunei,BRN,2004,3.32
Brunei,BRN,2005,3.32
Brunei,BRN,2006,3.32
Brunei,BRN,2007,3.32
Brunei,BRN,2008,3.32
Brunei,BRN,2009,3.32
Brunei,BRN,2010,3.32
Brunei,BRN,2011,3.32
Brunei,BRN,2012,3.32
Brunei,BRN,2013,3.32
Brunei,BRN,2014,3.32
Brunei,BRN,2015,3.32
Brunei,BRN,2016,3.32
Brunei,BRN,2017,3.32
Brunei,BRN,2018,3.32
Brunei,BRN,2019,3.32
Bulgaria,BGR,2000,30.39
Bulgaria,BGR,2001,30.53
Bulgaria,BGR,2002,32.51
Bulgaria,BGR,2003,29.68
Bulgaria,BGR,2004,25.41
Bulgaria,BGR,2005,26.95
Bulgaria,BGR,2006,27.46
Bulgaria,BGR,2007,27.33
Bulgaria,BGR,2008,29.26
Bulgaria,BGR,2009,27.86
Bulgaria,BGR,2010,24.7
Bulgaria,BGR,2011,24.77
Bulgaria,BGR,2012,29.29
Bulgaria,BGR,2013,32.06
Bulgaria,BGR,2014,31.42
Bulgaria,BGR,2015,28.43
Bulgaria,BGR,2016,28.64
Bulgaria,BGR,2017,30.17
Bulgaria,BGR,2018,34.22
Bulgaria,BGR,2019,32.42
Burundi,BDI,2000,2.53
Burundi,BDI,2001,2.58
Burundi,BDI,2002,2.42
Burundi,BDI,2003,2.78
Burundi,BDI,2004,2.98
Burundi,BDI,2005,3.31
Burundi,BDI,2006,3.38
Burundi,BDI,2007,3.66
Burundi,BDI,2008,2.15
Burundi,BDI,2009,3.3
Burundi,BDI,2010,3.08
Burundi,BDI,2011,2.05
Burundi,BDI,2012,2.21
Burundi,BDI,2013,2.79
Burundi,BDI,2014,2.79
Burundi,BDI,2015,2.79
Burundi,BDI,2016,2.57
Burundi,BDI,2017,2.57
Burundi,BDI,2018,2.57
Burundi,BDI,2019,2.57
Cambodia,KHM,2000,0.26
Cambodia,KHM,2001,0.26
Cambodia,KHM,2002,0.26
Cambodia,KHM,2003,0.26
Cambodia,KHM,2004,0.26
Cambodia,KHM,2005,0.26
Cambodia,KHM,2006,0.26
Cambodia,KHM,2007,0.26
Cambodia,KHM,2008,0.26
Cambodia,KHM,2009,0.26
Cambodia,KHM,2010,0.26
Cambodia,KHM,2011,0.26
Cambodia,KHM,2012,0.26
Cambodia,KHM,2013,0.26
Cambodia,KHM,2014,0.26
Cambodia,KHM,2015,0.26
Cambodia,KHM,2016,0.26
Cambodia,KHM,2017,0.26
Cambodia,KHM,2018,0.26
Cambodia,KHM,2019,0.26
Cameroon,CMR,2000,1.82
Cameroon,CMR,2001,3.33
Cameroon,CMR,2002,11.01
Cameroon,CMR,2003,10.54
Cameroon,CMR,2004,10.54
Cameroon,CMR,2005,10.54
Cameroon,CMR,2006,7.9
Cameroon,CMR,2007,7.9
Cameroon,CMR,2008,7.61
Cameroon,CMR,2009,7.61
Cameroon,CMR,2010,7.61
Cameroon,CMR,2011,7.61
Cameroon,CMR,2012,7.61
Cameroon,CMR,2013,7.61
Cameroon,CMR,2014,7.61
Cameroon,CMR,2015,7.61
Cameroon,CMR,2016,7.61
Cameroon,CMR,2017,7.61
Cameroon,CMR,2018,7.61
Cameroon,CMR,2019,7.61
Canada,CAN,2000,44
Canada,CAN,2001,42.01
Canada,CAN,2002,41.59
Canada,CAN,2003,40.94
Canada,CAN,2004,35.21
Canada,CAN,2005,36.06
Canada,CAN,2006,36.27
Canada,CAN,2007,36.98
Canada,CAN,2008,35.84
Canada,CAN,2009,35.83
Canada,CAN,2010,35.73
Canada,CAN,2011,36.65
Canada,CAN,2012,37.24
Canada,CAN,2013,36.36
Canada,CAN,2014,37.77
Canada,CAN,2015,39.35
Canada,CAN,2016,38.07
Canada,CAN,2017,36.76
Canada,CAN,2018,36.29
Canada,CAN,2019,36.29
Cape Verde,CPV,2000,30.6
Cape Verde,CPV,2001,30.6
Cape Verde,CPV,2002,30.6
Cape Verde,CPV,2003,30.6
Cape Verde,CPV,2004,30.6
Cape Verde,CPV,2005,27.1
Cape Verde,CPV,2006,27.1
Cape Verde,CPV,2007,27.1
Cape Verde,CPV,2008,27.1
Cape Verde,CPV,2009,27.1
Cape Verde,CPV,2010,27.1
Cape Verde,CPV,2011,27.1
Cape Verde,CPV,2012,27.1
Cape Verde,CPV,2013,27.1
Cape Verde,CPV,2014,27.1
Cape Verde,CPV,2015,27.1
Cape Verde,CPV,2016,27.1
Cape Verde,CPV,2017,27.1
Cape Verde,CPV,2018,27.1
Cape Verde,CPV,2019,27.1
Caribbean,,2000,65.4
Caribbean,,2001,70.16
Caribbean,,2002,71.88
Caribbean,,2003,73.15
Caribbean,,2004,72.24
Caribbean,,2005,69.84
Caribbean,,2006,67.84
Caribbean,,2007,66.08
Caribbean,,2008,65.82
Caribbean,,2009,67.43
Caribbean,,2010,67.24
Caribbean,,2011,66.08
Caribbean,,2012,65.21
Caribbean,,2013,65.41
Caribbean,,2014,65.24
Caribbean,,2015,65.3
Caribbean,,2016,65.86
Caribbean,,2017,64.91
Caribbean,,2018,64.61
Caribbean,,2019,65.27
Caucasus and Central Asia,,2000,9.74
Caucasus and Central Asia,,2001,9.37
Caucasus and Central Asia,,2002,10.27
Caucasus and Central Asia,,2003,10.46
Caucasus and Central Asia,,2004,9.42
Caucasus and Central Asia,,2005,11.44
Caucasus and Central Asia,,2006,10.31
Caucasus and Central Asia,,2007,9.92
Caucasus and Central Asia,,2008,13.04
Caucasus and Central Asia,,2009,13.14
Caucasus and Central Asia,,2010,13.19
Caucasus and Central Asia,,2011,13.8
Caucasus and Central Asia,,2012,14.54
Caucasus and Central Asia,,2013,16.33
Caucasus and Central Asia,,2014,16.51
Caucasus and Central Asia,,2015,15.69
Caucasus and Central Asia,,2016,14.78
Caucasus and Central Asia,,2017,15.89
Caucasus and Central Asia,,2018,16.5
Caucasus and Central Asia,,2019,16.02
Central African Republic,CAF,2000,9.25
Central African Republic,CAF,2001,9.25
Central African Republic,CAF,2002,9.25
Central African Republic,CAF,2003,9.25
Central African Republic,CAF,2004,9.25
Central African Republic,CAF,2005,9.25
Central African Republic,CAF,2006,9.25
Central African Republic,CAF,2007,9.25
Central African Republic,CAF,2008,9.25
Central African Republic,CAF,2009,9.25
Central African Republic,CAF,2010,9.25
Central African Republic,CAF,2011,9.25
Central African Republic,CAF,2012,9.25
Central African Republic,CAF,2013,9.25
Central African Republic,CAF,2014,9.25
Central African Republic,CAF,2015,9.25
Central African Republic,CAF,2016,9.25
Central African Republic,CAF,2017,9.25
Central African Republic,CAF,2018,9.25
Central African Republic,CAF,2019,9.25
Central America,,2000,40.8
Central America,,2001,41.29
Central America,,2002,40.74
Central America,,2003,41.31
Central America,,2004,37.78
Central America,,2005,38.03
Central America,,2006,38.1
Central America,,2007,36.8
Central America,,2008,35.79
Central America,,2009,33.63
Central America,,2010,34.85
Central America,,2011,36.44
Central America,,2012,37.81
Central America,,2013,37.19
Central America,,2014,37.94
Central America,,2015,37
Central America,,2016,39.76
Central America,,2017,40.89
Central America,,2018,41.44
Central America,,2019,41.41
Central Asia,,2000,8.49
Central Asia,,2001,7.75
Central Asia,,2002,8.71
Central Asia,,2003,9.16
Central Asia,,2004,8.44
Central Asia,,2005,8.97
Central Asia,,2006,8.67
Central Asia,,2007,8.83
Central Asia,,2008,13.33
Central Asia,,2009,12.95
Central Asia,,2010,13.68
Central Asia,,2011,13.86
Central Asia,,2012,14.88
Central Asia,,2013,16.64
Central Asia,,2014,16.88
Central Asia,,2015,14.9
Central Asia,,2016,14.41
Central Asia,,2017,16.19
Central Asia,,2018,16.99
Central Asia,,2019,16.72
Central and Southern Asia,,2000,36.64
Central and Southern Asia,,2001,37.91
Central and Southern Asia,,2002,35.84
Central and Southern Asia,,2003,35.85
Central and Southern Asia,,2004,34.63
Central and Southern Asia,,2005,35.77
Central and Southern Asia,,2006,34.07
Central and Southern Asia,,2007,32.29
Central and Southern Asia,,2008,34.87
Central and Southern Asia,,2009,37.38
Central and Southern Asia,,2010,36.11
Central and Southern Asia,,2011,36.76
Central and Southern Asia,,2012,35.53
Central and Southern Asia,,2013,33.72
Central and Southern Asia,,2014,34.64
Central and Southern Asia,,2015,37.11
Central and Southern Asia,,2016,35.96
Central and Southern Asia,,2017,36.21
Central and Southern Asia,,2018,36.3
Central and Southern Asia,,2019,35.84
Chile,CHL,2000,26.57
Chile,CHL,2001,27.09
Chile,CHL,2002,30.36
Chile,CHL,2003,38.18
Chile,CHL,2004,37.51
Chile,CHL,2005,15.96
Chile,CHL,2006,14.16
Chile,CHL,2007,11.15
Chile,CHL,2008,19.43
Chile,CHL,2009,17.11
Chile,CHL,2010,21.08
Chile,CHL,2011,18.33
Chile,CHL,2012,12.8
Chile,CHL,2013,15.96
Chile,CHL,2014,17.1
Chile,CHL,2015,14.06
Chile,CHL,2016,7.96
Chile,CHL,2017,20.12
Chile,CHL,2018,18.7
Chile,CHL,2019,18.7
China,CHN,2000,42.88
China,CHN,2001,42.73
China,CHN,2002,43.88
China,CHN,2003,43.65
China,CHN,2004,43.14
China,CHN,2005,42.44
China,CHN,2006,42.33
China,CHN,2007,42.07
China,CHN,2008,41.38
China,CHN,2009,41.38
China,CHN,2010,41.38
China,CHN,2011,41.45
China,CHN,2012,41.45
China,CHN,2013,41.45
China,CHN,2014,41.45
China,CHN,2015,41.45
China,CHN,2016,41.45
China,CHN,2017,41.45
China,CHN,2018,41.45
China,CHN,2019,41.45
"China, Hong Kong Special Administrative Region",,2000,39.5
"China, Hong Kong Special Administrative Region",,2001,36.61
"China, Hong Kong Special Administrative Region",,2002,30
"China, Hong Kong Special Administrative Region",,2003,26.31
"China, Hong Kong Special Administrative Region",,2004,27.13
"China, Hong Kong Special Administrative Region",,2005,29.57
"China, Hong Kong Special Administrative Region",,2006,33.08
"China, Hong Kong Special Administrative Region",,2007,29.84
"China, Hong Kong Special Administrative Region",,2008,32.68
"China, Hong Kong Special Administrative Region",,2009,32.58
"China, Hong Kong Special Administrative Region",,2010,38.07
"China, Hong Kong Special Administrative Region",,2011,36.11
"China, Hong Kong Special Administrative Region",,2012,34.13
"China, Hong Kong Special Administrative Region",,2013,33.93
"China, Hong Kong Special Administrative Region",,2014,36.06
"China, Hong Kong Special Administrative Region",,2015,36.61
"China, Hong Kong Special Administrative Region",,2016,37.38
"China, Hong Kong Special Administrative Region",,2017,38.47
"China, Hong Kong Special Administrative Region",,2018,38.07
"China, Hong Kong Special Administrative Region",,2019,38.07
Colombia,COL,2000,21.94
Colombia,COL,2001,22.19
Colombia,COL,2002,22.11
Colombia,COL,2003,21.42
Colombia,COL,2004,20.81
Colombia,COL,2005,20.92
Colombia,COL,2006,20.25
Colombia,COL,2007,19.91
Colombia,COL,2008,20.02
Colombia,COL,2009,20.98
Colombia,COL,2010,25.06
Colombia,COL,2011,21.06
Colombia,COL,2012,21.4
Colombia,COL,2013,20.76
Colombia,COL,2014,20.72
Colombia,COL,2015,22.54
Colombia,COL,2016,23.33
Colombia,COL,2017,23.27
Colombia,COL,2018,22.61
Colombia,COL,2019,22.61
Congo,COG,2000,10.4
Congo,COG,2001,11.89
Congo,COG,2002,13.14
Congo,COG,2003,13.14
Congo,COG,2004,13.14
Congo,COG,2005,13.14
Congo,COG,2006,2.42
Congo,COG,2007,2.42
Congo,COG,2008,2.42
Congo,COG,2009,2.42
Congo,COG,2010,2.42
Congo,COG,2011,2.42
Congo,COG,2012,2.42
