Entity,Code,Year,9.2.2 - Manufacturing employment as a proportion of total employment (%) - SL_TLF_MANF
Dominican Republic,DOM,2002,14.4
Dominican Republic,DOM,2003,14.7
Dominican Republic,DOM,2004,15.4
Dominican Republic,DOM,2005,15
Dominican Republic,DOM,2006,14.3
Dominican Republic,DOM,2007,14.3
Dominican Republic,DOM,2008,13.4
Dominican Republic,DOM,2009,10.8
Dominican Republic,DOM,2010,10.8
Dominican Republic,DOM,2011,10.5
Dominican Republic,DOM,2012,10.6
Dominican Republic,DOM,2013,10.1
Dominican Republic,DOM,2014,10
Dominican Republic,DOM,2015,9.9
Dominican Republic,DOM,2016,10.2
Dominican Republic,DOM,2017,10
Dominican Republic,DOM,2018,9.9
Dominican Republic,DOM,2019,10.1
Dominican Republic,DOM,2020,10.5
Eastern Africa,,2000,4.8
Eastern Africa,,2001,4.6
Eastern Africa,,2002,4.4
Eastern Africa,,2003,4.3
Eastern Africa,,2004,4.1
Eastern Africa,,2005,4
Eastern Africa,,2006,4.1
Eastern Africa,,2007,4
Eastern Africa,,2008,4
Eastern Africa,,2009,4
Eastern Africa,,2010,4
Eastern Africa,,2011,4
Eastern Africa,,2012,4
Eastern Africa,,2013,4
Eastern Africa,,2014,4
Eastern Africa,,2015,4
Eastern Africa,,2016,4
Eastern Africa,,2017,4
Eastern Africa,,2018,4
Eastern Africa,,2019,4
Eastern Africa,,2020,3.8
Eastern Asia,,2000,19.3
Eastern Asia,,2001,19
Eastern Asia,,2002,18.2
Eastern Asia,,2003,18.2
Eastern Asia,,2004,18.7
Eastern Asia,,2005,19.4
Eastern Asia,,2006,20.2
Eastern Asia,,2007,21.1
Eastern Asia,,2008,21.2
Eastern Asia,,2009,21.3
Eastern Asia,,2010,21.7
Eastern Asia,,2011,22
Eastern Asia,,2012,22.2
Eastern Asia,,2013,22
Eastern Asia,,2014,21.6
Eastern Asia,,2015,20.9
Eastern Asia,,2016,20.5
Eastern Asia,,2017,19.8
Eastern Asia,,2018,19.7
Eastern Asia,,2019,18.9
Eastern Asia,,2020,17.8
Eastern Asia (excluding Japan and China),,2000,19.4
Eastern Asia (excluding Japan and China),,2001,19
Eastern Asia (excluding Japan and China),,2002,18.4
Eastern Asia (excluding Japan and China),,2003,18.2
Eastern Asia (excluding Japan and China),,2004,17.9
Eastern Asia (excluding Japan and China),,2005,17.7
Eastern Asia (excluding Japan and China),,2006,17.2
Eastern Asia (excluding Japan and China),,2007,16.8
Eastern Asia (excluding Japan and China),,2008,16.7
Eastern Asia (excluding Japan and China),,2009,16.1
Eastern Asia (excluding Japan and China),,2010,16.3
Eastern Asia (excluding Japan and China),,2011,16.2
Eastern Asia (excluding Japan and China),,2012,16
Eastern Asia (excluding Japan and China),,2013,17.1
Eastern Asia (excluding Japan and China),,2014,16.1
Eastern Asia (excluding Japan and China),,2015,16
Eastern Asia (excluding Japan and China),,2016,16
Eastern Asia (excluding Japan and China),,2017,15.6
Eastern Asia (excluding Japan and China),,2018,15.3
Eastern Asia (excluding Japan and China),,2019,15.1
Eastern Asia (excluding Japan and China),,2020,15.1
Eastern Asia (excluding Japan),,2000,19.2
Eastern Asia (excluding Japan),,2001,18.9
Eastern Asia (excluding Japan),,2002,18.1
Eastern Asia (excluding Japan),,2003,18.1
Eastern Asia (excluding Japan),,2004,18.7
Eastern Asia (excluding Japan),,2005,19.5
Eastern Asia (excluding Japan),,2006,20.4
Eastern Asia (excluding Japan),,2007,21.4
Eastern Asia (excluding Japan),,2008,21.5
Eastern Asia (excluding Japan),,2009,21.6
Eastern Asia (excluding Japan),,2010,22
Eastern Asia (excluding Japan),,2011,22.4
Eastern Asia (excluding Japan),,2012,22.7
Eastern Asia (excluding Japan),,2013,22.4
Eastern Asia (excluding Japan),,2014,21.9
Eastern Asia (excluding Japan),,2015,21.3
Eastern Asia (excluding Japan),,2016,20.8
Eastern Asia (excluding Japan),,2017,20.1
Eastern Asia (excluding Japan),,2018,20
Eastern Asia (excluding Japan),,2019,19.2
Eastern Asia (excluding Japan),,2020,18
Eastern Europe,,2000,19.6
Eastern Europe,,2001,19.9
Eastern Europe,,2002,20
Eastern Europe,,2003,19.3
Eastern Europe,,2004,19.1
Eastern Europe,,2005,18.6
Eastern Europe,,2006,18.5
Eastern Europe,,2007,18.5
Eastern Europe,,2008,17.6
Eastern Europe,,2009,16.6
Eastern Europe,,2010,16.3
Eastern Europe,,2011,16.2
Eastern Europe,,2012,16.2
Eastern Europe,,2013,16
Eastern Europe,,2014,16.1
Eastern Europe,,2015,16
Eastern Europe,,2016,16.1
Eastern Europe,,2017,16.3
Eastern Europe,,2018,16.3
Eastern Europe,,2019,16.4
Eastern Europe,,2020,16.2
Eastern and South-Eastern Asia,,2000,17.7
Eastern and South-Eastern Asia,,2001,17.5
Eastern and South-Eastern Asia,,2002,16.9
Eastern and South-Eastern Asia,,2003,16.8
Eastern and South-Eastern Asia,,2004,17.2
Eastern and South-Eastern Asia,,2005,17.9
Eastern and South-Eastern Asia,,2006,18.5
Eastern and South-Eastern Asia,,2007,19.2
Eastern and South-Eastern Asia,,2008,19.2
Eastern and South-Eastern Asia,,2009,19.1
Eastern and South-Eastern Asia,,2010,19.4
Eastern and South-Eastern Asia,,2011,19.6
Eastern and South-Eastern Asia,,2012,19.8
Eastern and South-Eastern Asia,,2013,19.6
Eastern and South-Eastern Asia,,2014,19.4
Eastern and South-Eastern Asia,,2015,19
Eastern and South-Eastern Asia,,2016,18.7
Eastern and South-Eastern Asia,,2017,18.3
Eastern and South-Eastern Asia,,2018,18.3
Eastern and South-Eastern Asia,,2019,17.7
Eastern and South-Eastern Asia,,2020,16.9
Ecuador,ECU,2000,15.6
Ecuador,ECU,2001,13.3
Ecuador,ECU,2002,14.5
Ecuador,ECU,2003,11.5
Ecuador,ECU,2004,11.5
Ecuador,ECU,2005,10.9
Ecuador,ECU,2006,11.2
Ecuador,ECU,2007,11
Ecuador,ECU,2008,11.2
Ecuador,ECU,2009,10.8
Ecuador,ECU,2010,11.2
Ecuador,ECU,2011,10.7
Ecuador,ECU,2012,10.4
Ecuador,ECU,2013,10.8
Ecuador,ECU,2014,10.8
Ecuador,ECU,2015,11
Ecuador,ECU,2016,10.8
Ecuador,ECU,2017,10.8
Ecuador,ECU,2018,10.9
Ecuador,ECU,2019,10.3
Ecuador,ECU,2020,9.5
Ecuador,ECU,2021,9.9
Egypt,EGY,2000,11.9
Egypt,EGY,2001,12.1
Egypt,EGY,2002,11.6
Egypt,EGY,2003,10.9
Egypt,EGY,2004,11.1
Egypt,EGY,2005,11.5
Egypt,EGY,2006,11.7
Egypt,EGY,2007,11.1
Egypt,EGY,2008,11.3
Egypt,EGY,2009,11.6
Egypt,EGY,2010,12.1
Egypt,EGY,2011,9.8
Egypt,EGY,2012,11.1
Egypt,EGY,2013,10.7
Egypt,EGY,2014,11.1
Egypt,EGY,2015,11.2
Egypt,EGY,2016,11.5
Egypt,EGY,2017,12
Egypt,EGY,2018,12.5
Egypt,EGY,2019,13
Egypt,EGY,2020,13
El Salvador,SLV,2000,18.7
El Salvador,SLV,2001,17.6
El Salvador,SLV,2002,18
El Salvador,SLV,2003,17.8
El Salvador,SLV,2004,16.8
El Salvador,SLV,2005,16.2
El Salvador,SLV,2006,15.8
El Salvador,SLV,2007,16.7
El Salvador,SLV,2008,17.1
El Salvador,SLV,2009,15.2
El Salvador,SLV,2010,15.5
El Salvador,SLV,2011,15.5
El Salvador,SLV,2012,15.4
El Salvador,SLV,2013,14.6
El Salvador,SLV,2014,14.9
El Salvador,SLV,2015,16
El Salvador,SLV,2016,15.2
El Salvador,SLV,2017,15.5
El Salvador,SLV,2018,15
El Salvador,SLV,2019,14.9
El Salvador,SLV,2020,16.1
Estonia,EST,2000,24
Estonia,EST,2001,24.1
Estonia,EST,2002,21.3
Estonia,EST,2003,21.5
Estonia,EST,2004,23.7
Estonia,EST,2005,22.9
Estonia,EST,2006,21
Estonia,EST,2007,20.4
Estonia,EST,2008,20.4
Estonia,EST,2009,18.9
Estonia,EST,2010,18.8
Estonia,EST,2011,19.7
Estonia,EST,2012,18.8
Estonia,EST,2013,18.7
Estonia,EST,2014,18.3
Estonia,EST,2015,18.8
Estonia,EST,2016,18.7
Estonia,EST,2017,19
Estonia,EST,2018,18.6
Estonia,EST,2019,18.1
Estonia,EST,2020,18.1
Eswatini,SWZ,2016,15.8
Ethiopia,ETH,2005,5.3
Ethiopia,ETH,2013,5.1
Europe,,2000,19.7
Europe,,2001,19.6
Europe,,2002,19.4
Europe,,2003,18.7
Europe,,2004,18.4
Europe,,2005,17.9
Europe,,2006,17.7
Europe,,2007,17.6
Europe,,2008,16.6
Europe,,2009,15.7
Europe,,2010,15.4
Europe,,2011,15.3
Europe,,2012,15.2
Europe,,2013,15
Europe,,2014,15
Europe,,2015,14.9
Europe,,2016,14.9
Europe,,2017,15
Europe,,2018,15
Europe,,2019,15
Europe,,2020,14.8
Europe and Northern America,,2000,18.2
Europe and Northern America,,2001,17.9
Europe and Northern America,,2002,17.5
Europe and Northern America,,2003,17
Europe and Northern America,,2004,16.6
Europe and Northern America,,2005,16.1
Europe and Northern America,,2006,15.9
Europe and Northern America,,2007,15.8
Europe and Northern America,,2008,15
Europe and Northern America,,2009,14.2
Europe and Northern America,,2010,13.9
Europe and Northern America,,2011,13.9
Europe and Northern America,,2012,13.8
Europe and Northern America,,2013,13.7
Europe and Northern America,,2014,13.6
Europe and Northern America,,2015,13.5
Europe and Northern America,,2016,13.5
Europe and Northern America,,2017,13.5
Europe and Northern America,,2018,13.4
Europe and Northern America,,2019,13.4
Europe and Northern America,,2020,13.3
Falkland Islands,FLK,2012,1.6
Falkland Islands,FLK,2016,0
Fiji,FJI,2005,13.7
Fiji,FJI,2006,20.2
Fiji,FJI,2007,16.8
Fiji,FJI,2011,9.3
Fiji,FJI,2014,6.9
Fiji,FJI,2016,5.6
Finland,FIN,2000,20.3
Finland,FIN,2001,19.9
Finland,FIN,2002,19.7
Finland,FIN,2003,18.9
Finland,FIN,2004,18.7
Finland,FIN,2005,18.2
Finland,FIN,2006,18.1
Finland,FIN,2007,17.9
Finland,FIN,2008,16.5
Finland,FIN,2009,15.4
Finland,FIN,2010,14.8
Finland,FIN,2011,14.5
Finland,FIN,2012,14.4
Finland,FIN,2013,14.3
Finland,FIN,2014,13.5
Finland,FIN,2015,13.5
Finland,FIN,2016,13.4
Finland,FIN,2017,13.2
Finland,FIN,2018,13.3
Finland,FIN,2019,12.8
Finland,FIN,2020,13
France,FRA,2000,18.8
France,FRA,2001,18.5
France,FRA,2002,17.8
France,FRA,2003,16.4
France,FRA,2004,16.4
France,FRA,2005,16.1
France,FRA,2006,15.9
France,FRA,2007,15.5
France,FRA,2008,14.4
France,FRA,2009,13.7
France,FRA,2010,13.1
France,FRA,2011,13.2
France,FRA,2012,12.8
France,FRA,2013,12.5
France,FRA,2014,12.1
France,FRA,2015,12.2
France,FRA,2016,12.1
France,FRA,2017,12.2
France,FRA,2018,11.7
France,FRA,2019,11.8
France,FRA,2020,11.5
French Polynesia,PYF,2002,8.1
French Polynesia,PYF,2007,6.2
Gambia,GMB,2012,9.4
Gambia,GMB,2018,2.3
Georgia,GEO,2000,5.9
Georgia,GEO,2001,5.5
Georgia,GEO,2002,4.6
Georgia,GEO,2003,4.9
Georgia,GEO,2004,5.1
Georgia,GEO,2005,5.2
Georgia,GEO,2006,4.7
Georgia,GEO,2007,4.9
Georgia,GEO,2009,4.9
Georgia,GEO,2010,5.3
Georgia,GEO,2011,5.2
Georgia,GEO,2012,5.2
Georgia,GEO,2013,5.3
Georgia,GEO,2014,5.2
Georgia,GEO,2015,5
Georgia,GEO,2016,5.4
Georgia,GEO,2017,5.9
Georgia,GEO,2018,6.2
Georgia,GEO,2019,5.8
Georgia,GEO,2020,8.1
Germany,DEU,2000,23.8
Germany,DEU,2001,23.6
Germany,DEU,2002,23.5
Germany,DEU,2003,23
Germany,DEU,2004,23.1
Germany,DEU,2005,22.1
Germany,DEU,2006,21.9
Germany,DEU,2007,22.1
Germany,DEU,2008,21
Germany,DEU,2009,20.4
Germany,DEU,2010,20
Germany,DEU,2011,19.8
Germany,DEU,2012,19.7
Germany,DEU,2013,19.4
Germany,DEU,2014,19.6
Germany,DEU,2015,19.3
Germany,DEU,2016,19.2
Germany,DEU,2017,19
Germany,DEU,2018,19.1
Germany,DEU,2019,18.9
Germany,DEU,2020,19.9
Ghana,GHA,2000,10.6
Ghana,GHA,2006,11.4
Ghana,GHA,2010,10.7
Ghana,GHA,2013,8.9
Ghana,GHA,2015,14
Ghana,GHA,2017,13.7
Greece,GRC,2000,14
Greece,GRC,2001,14.2
Greece,GRC,2002,13.9
Greece,GRC,2003,13.2
Greece,GRC,2004,13.1
Greece,GRC,2005,12.8
Greece,GRC,2006,12.6
Greece,GRC,2007,12.4
Greece,GRC,2008,11.8
Greece,GRC,2009,11.4
Greece,GRC,2010,10.7
Greece,GRC,2011,10.1
Greece,GRC,2012,9.5
Greece,GRC,2013,9.2
Greece,GRC,2014,9
Greece,GRC,2015,9.3
Greece,GRC,2016,9.5
Greece,GRC,2017,9.6
Greece,GRC,2018,9.4
Greece,GRC,2019,9.6
Greece,GRC,2020,9.6
Guatemala,GTM,2000,16.7
Guatemala,GTM,2002,15
Guatemala,GTM,2003,17.2
Guatemala,GTM,2004,14
Guatemala,GTM,2006,15.9
Guatemala,GTM,2010,15.7
Guatemala,GTM,2011,14.2
Guatemala,GTM,2012,13.4
Guatemala,GTM,2013,11.7
Guatemala,GTM,2014,14
Guatemala,GTM,2015,12.8
Guatemala,GTM,2016,13.5
Guatemala,GTM,2017,12.7
Guatemala,GTM,2018,12.8
Guatemala,GTM,2019,11.7
Guinea,GIN,2002,2.8
Guinea-Bissau,GNB,2018,6.7
Guyana,GUY,2002,12.8
Guyana,GUY,2018,10.9
Guyana,GUY,2019,10.5
Haiti,HTI,2003,6.7
Haiti,HTI,2012,1.4
Honduras,HND,2001,16
Honduras,HND,2002,15.9
Honduras,HND,2003,15.7
Honduras,HND,2004,15.8
Honduras,HND,2005,16.6
Honduras,HND,2006,15.2
Honduras,HND,2007,15
Honduras,HND,2008,14.7
Honduras,HND,2009,13.3
Honduras,HND,2010,12.9
Honduras,HND,2011,13.6
Honduras,HND,2012,13.6
Honduras,HND,2013,12.8
Honduras,HND,2014,15.8
Honduras,HND,2015,15
Honduras,HND,2016,15
Honduras,HND,2017,13.8
Honduras,HND,2018,13.6
Honduras,HND,2019,13.7
Honduras,HND,2020,16.2
Hungary,HUN,2000,24.2
Hungary,HUN,2001,24.8
Hungary,HUN,2002,24.9
Hungary,HUN,2003,23.6
Hungary,HUN,2004,23
Hungary,HUN,2005,22.4
Hungary,HUN,2006,22
Hungary,HUN,2007,22.2
Hungary,HUN,2008,21.9
Hungary,HUN,2009,20.9
Hungary,HUN,2010,20.8
Hungary,HUN,2011,21.3
Hungary,HUN,2012,20.7
Hungary,HUN,2013,21
Hungary,HUN,2014,21.6
Hungary,HUN,2015,21.4
Hungary,HUN,2016,21.7
Hungary,HUN,2017,22.4
Hungary,HUN,2018,22.5
Hungary,HUN,2019,22.1
Hungary,HUN,2020,21.6
Iceland,ISL,2000,15
Iceland,ISL,2001,14.8
Iceland,ISL,2002,14.1
Iceland,ISL,2003,13.5
Iceland,ISL,2004,14.2
Iceland,ISL,2005,13
Iceland,ISL,2006,11.9
Iceland,ISL,2007,10.9
Iceland,ISL,2008,10.5
Iceland,ISL,2009,11
Iceland,ISL,2010,10.7
Iceland,ISL,2011,11.2
Iceland,ISL,2012,11.5
Iceland,ISL,2013,11.4
Iceland,ISL,2014,11.1
Iceland,ISL,2015,10.2
Iceland,ISL,2016,10.1
Iceland,ISL,2017,9.7
Iceland,ISL,2018,9.1
Iceland,ISL,2019,9.3
Iceland,ISL,2020,9.6
India,IND,2000,10.7
India,IND,2005,11.8
India,IND,2010,11.1
India,IND,2012,12.5
India,IND,2018,12.2
India,IND,2019,12.1
India,IND,2020,11.3
Indonesia,IDN,2000,13
Indonesia,IDN,2001,13.3
Indonesia,IDN,2002,13.2
Indonesia,IDN,2003,12.4
Indonesia,IDN,2004,11.8
Indonesia,IDN,2005,12.7
Indonesia,IDN,2006,12.5
Indonesia,IDN,2007,12.4
Indonesia,IDN,2008,12.2
Indonesia,IDN,2009,12.2
Indonesia,IDN,2010,12.5
Indonesia,IDN,2011,13
Indonesia,IDN,2012,13.6
Indonesia,IDN,2013,13.5
Indonesia,IDN,2014,13.5
Indonesia,IDN,2015,13.7
Indonesia,IDN,2016,13.5
Indonesia,IDN,2017,14.1
Indonesia,IDN,2018,14.4
Indonesia,IDN,2019,14.4
Indonesia,IDN,2020,13.8
Indonesia,IDN,2021,13.9
Iran,IRN,2005,13.6
Iran,IRN,2006,12.9
Iran,IRN,2007,12.7
Iran,IRN,2008,15.9
Iran,IRN,2009,16.2
Iran,IRN,2010,15.6
Iran,IRN,2011,15.3
Iran,IRN,2012,15.4
Iran,IRN,2013,17.2
Iran,IRN,2014,17
Iran,IRN,2015,17
Iran,IRN,2016,17.2
Iran,IRN,2017,17
Iran,IRN,2018,17.5
Iran,IRN,2019,17.6
Iran,IRN,2020,17.4
Ireland,IRL,2000,17.5
Ireland,IRL,2001,17.4
Ireland,IRL,2002,16.2
Ireland,IRL,2003,16
Ireland,IRL,2004,15.3
Ireland,IRL,2005,13.9
Ireland,IRL,2006,13.2
Ireland,IRL,2007,13.1
Ireland,IRL,2008,12.1
Ireland,IRL,2009,11.6
Ireland,IRL,2010,11.2
Ireland,IRL,2011,11.3
Ireland,IRL,2012,11.2
Ireland,IRL,2013,11.3
Ireland,IRL,2014,11.2
Ireland,IRL,2015,11.4
Ireland,IRL,2016,11.7
Ireland,IRL,2017,11.5
Ireland,IRL,2018,11
Ireland,IRL,2019,11
Ireland,IRL,2020,11.5
Isle of Man,IMN,2001,7.9
Isle of Man,IMN,2006,5.1
Isle of Man,IMN,2011,2
Isle of Man,IMN,2016,4.6
Israel,ISR,2000,17.3
Israel,ISR,2001,16.8
Israel,ISR,2002,16
Israel,ISR,2003,15.7
Israel,ISR,2004,15.6
Israel,ISR,2005,15.3
Israel,ISR,2006,15.1
Israel,ISR,2007,15.2
Israel,ISR,2008,15.1
Israel,ISR,2009,14.3
Israel,ISR,2010,13.9
Israel,ISR,2011,13.4
Israel,ISR,2012,11.5
Israel,ISR,2013,11.6
Israel,ISR,2014,11.6
Israel,ISR,2015,11.3
Israel,ISR,2016,11.2
Israel,ISR,2017,10.9
Italy,ITA,2000,23.1
Italy,ITA,2001,22.8
Italy,ITA,2002,22.7
Italy,ITA,2003,22.4
Italy,ITA,2004,21.8
Italy,ITA,2005,21.4
Italy,ITA,2006,21
Italy,ITA,2007,21
Italy,ITA,2008,19.9
Italy,ITA,2009,19.3
Italy,ITA,2010,18.6
Italy,ITA,2011,18.7
Italy,ITA,2012,18.3
Italy,ITA,2013,18.3
Italy,ITA,2014,18.6
Italy,ITA,2015,18.4
Italy,ITA,2016,18.2
Italy,ITA,2017,18.2
Italy,ITA,2018,18.4
Italy,ITA,2019,18.5
Italy,ITA,2020,18.7
Jamaica,JAM,2000,7
Jamaica,JAM,2001,7.3
Jamaica,JAM,2002,6.8
Jamaica,JAM,2003,7
Jamaica,JAM,2004,6.8
Jamaica,JAM,2005,6.7
Jamaica,JAM,2006,6.5
Jamaica,JAM,2007,6.1
Jamaica,JAM,2008,7.3
Jamaica,JAM,2009,6.9
Jamaica,JAM,2010,6.8
Jamaica,JAM,2011,6.8
Jamaica,JAM,2012,6.9
Jamaica,JAM,2013,6.5
Jamaica,JAM,2014,6.5
Jamaica,JAM,2015,6.4
Jamaica,JAM,2016,6.6
Jamaica,JAM,2017,6.6
Jamaica,JAM,2018,6.6
Jamaica,JAM,2019,6.3
Jamaica,JAM,2020,6.1
Japan,JPN,2000,20.6
Japan,JPN,2001,20.1
Japan,JPN,2002,19.3
Japan,JPN,2003,18.7
Japan,JPN,2004,18.2
Japan,JPN,2005,18
Japan,JPN,2006,18.2
Japan,JPN,2007,18.2
Japan,JPN,2008,18
Japan,JPN,2009,17.1
Japan,JPN,2010,16.8
Japan,JPN,2011,16.7
Japan,JPN,2012,16.5
Japan,JPN,2013,16.5
Japan,JPN,2014,16.4
Japan,JPN,2015,16.3
Japan,JPN,2016,16.1
Japan,JPN,2017,16.1
Japan,JPN,2018,15.9
Japan,JPN,2019,15.8
Japan,JPN,2020,15.7
Japan,JPN,2021,15.6
Jersey,JEY,2000,4.6
Jersey,JEY,2001,4.5
Jersey,JEY,2002,4.3
Jersey,JEY,2003,3.9
Jersey,JEY,2004,3.5
Jersey,JEY,2005,3.3
Jersey,JEY,2006,3
Jersey,JEY,2007,2.9
Jersey,JEY,2008,2.6
Jersey,JEY,2013,2
Jordan,JOR,2002,12.7
Jordan,JOR,2004,14.2
Jordan,JOR,2017,10.9
Jordan,JOR,2018,9.6
Jordan,JOR,2019,8.9
Jordan,JOR,2020,9
Kazakhstan,KAZ,2001,7.7
Kazakhstan,KAZ,2002,7.5
Kazakhstan,KAZ,2003,7.3
Kazakhstan,KAZ,2004,7.2
Kazakhstan,KAZ,2005,7.4
Kazakhstan,KAZ,2006,7.5
Kazakhstan,KAZ,2007,7.5
Kazakhstan,KAZ,2008,7.3
Kazakhstan,KAZ,2009,6.9
Kazakhstan,KAZ,2010,7
Kazakhstan,KAZ,2011,6.5
Kazakhstan,KAZ,2012,6.4
Kazakhstan,KAZ,2013,6.4
Kazakhstan,KAZ,2015,6.4
Kazakhstan,KAZ,2017,6.8
Kenya,KEN,2005,3.6
Kenya,KEN,2019,6.9
Kiribati,KIR,2000,1.6
Kiribati,KIR,2005,2.3
Kiribati,KIR,2010,13.2
Kiribati,KIR,2015,14.3
Kiribati,KIR,2019,5.2
Kuwait,KWT,2003,5.1
Kuwait,KWT,2005,4.4
Kuwait,KWT,2008,4.4
Kuwait,KWT,2016,19.8
Kuwait,KWT,2017,5.7
Kyrgyzstan,KGZ,2000,6.4
Kyrgyzstan,KGZ,2001,6.2
Kyrgyzstan,KGZ,2002,6.7
Kyrgyzstan,KGZ,2003,7.3
Kyrgyzstan,KGZ,2004,7.7
Kyrgyzstan,KGZ,2005,7.9
Kyrgyzstan,KGZ,2006,8.5
Kyrgyzstan,KGZ,2007,8.4
Kyrgyzstan,KGZ,2008,8.2
Kyrgyzstan,KGZ,2012,7.6
Kyrgyzstan,KGZ,2013,6.9
Kyrgyzstan,KGZ,2014,7
Kyrgyzstan,KGZ,2015,7.4
Kyrgyzstan,KGZ,2016,7.6
Kyrgyzstan,KGZ,2017,10.1
Kyrgyzstan,KGZ,2018,11.8
Kyrgyzstan,KGZ,2019,11.8
Kyrgyzstan,KGZ,2020,11.6
Landlocked developing countries (LLDCs),,2000,6.5
Landlocked developing countries (LLDCs),,2001,6.5
Landlocked developing countries (LLDCs),,2002,6.5
Landlocked developing countries (LLDCs),,2003,6.6
Landlocked developing countries (LLDCs),,2004,6.6
Landlocked developing countries (LLDCs),,2005,6.5
Landlocked developing countries (LLDCs),,2006,6.5
Landlocked developing countries (LLDCs),,2007,6.6
Landlocked developing countries (LLDCs),,2008,6.6
Landlocked developing countries (LLDCs),,2009,6.6
Landlocked developing countries (LLDCs),,2010,6.6
Landlocked developing countries (LLDCs),,2011,6.5
Landlocked developing countries (LLDCs),,2012,6.5
Landlocked developing countries (LLDCs),,2013,6.5
Landlocked developing countries (LLDCs),,2014,6.5
Landlocked developing countries (LLDCs),,2015,6.5
Landlocked developing countries (LLDCs),,2016,6.4
Landlocked developing countries (LLDCs),,2017,6.6
Landlocked developing countries (LLDCs),,2018,6.6
Landlocked developing countries (LLDCs),,2019,6.6
Landlocked developing countries (LLDCs),,2020,6.3
Laos,LAO,2010,5.1
Laos,LAO,2017,7.9
Latin America and the Caribbean,,2000,14.5
Latin America and the Caribbean,,2001,14.3
Latin America and the Caribbean,,2002,14
Latin America and the Caribbean,,2003,13.8
Latin America and the Caribbean,,2004,13.9
Latin America and the Caribbean,,2005,13.9
Latin America and the Caribbean,,2006,13.8
Latin America and the Caribbean,,2007,14
Latin America and the Caribbean,,2008,13.8
Latin America and the Caribbean,,2009,13.2
Latin America and the Caribbean,,2010,13
Latin America and the Caribbean,,2011,12.7
Latin America and the Caribbean,,2012,12.8
Latin America and the Caribbean,,2013,12.5
Latin America and the Caribbean,,2014,12.6
Latin America and the Caribbean,,2015,12.5
Latin America and the Caribbean,,2016,12.1
Latin America and the Caribbean,,2017,12.1
Latin America and the Caribbean,,2018,12
Latin America and the Caribbean,,2019,11.9
Latin America and the Caribbean,,2020,11.7
Latvia,LVA,2000,18.5
Latvia,LVA,2001,17.1
Latvia,LVA,2002,16.4
Latvia,LVA,2003,16.6
Latvia,LVA,2004,16.2
Latvia,LVA,2005,15.2
Latvia,LVA,2006,15.1
Latvia,LVA,2007,14.4
Latvia,LVA,2008,14.8
Latvia,LVA,2009,13.2
Latvia,LVA,2010,13.2
Latvia,LVA,2011,13.3
Latvia,LVA,2012,14
Latvia,LVA,2013,14.1
Latvia,LVA,2014,13.4
Latvia,LVA,2015,13
Latvia,LVA,2016,13.8
Latvia,LVA,2017,13.5
Latvia,LVA,2018,12.9
Latvia,LVA,2019,12.7
Latvia,LVA,2020,12.8
Least developed countries (LDCs),,2000,5.7
Least developed countries (LDCs),,2001,5.9
Least developed countries (LDCs),,2002,6
Least developed countries (LDCs),,2003,6.1
Least developed countries (LDCs),,2004,6.3
Least developed countries (LDCs),,2005,6.4
Least developed countries (LDCs),,2006,6.5
Least developed countries (LDCs),,2007,6.6
Least developed countries (LDCs),,2008,6.7
Least developed countries (LDCs),,2009,6.8
Least developed countries (LDCs),,2010,6.9
Least developed countries (LDCs),,2011,6.9
Least developed countries (LDCs),,2012,7
Least developed countries (LDCs),,2013,7
Least developed countries (LDCs),,2014,7.1
Least developed countries (LDCs),,2015,7.2
Least developed countries (LDCs),,2016,7.2
Least developed countries (LDCs),,2017,7.3
Least developed countries (LDCs),,2018,7.3
Least developed countries (LDCs),,2019,7.3
Least developed countries (LDCs),,2020,7
Lebanon,LBN,2019,10.9
Lesotho,LSO,2008,18
Lesotho,LSO,2019,27.9
Liberia,LBR,2010,6.4
Liberia,LBR,2017,2.1
Lithuania,LTU,2000,18.2
Lithuania,LTU,2001,18.1
Lithuania,LTU,2002,17.8
Lithuania,LTU,2003,18.1
Lithuania,LTU,2004,17.9
Lithuania,LTU,2005,18
Lithuania,LTU,2006,17.7
Lithuania,LTU,2007,17.5
Lithuania,LTU,2008,17.1
Lithuania,LTU,2009,15.8
Lithuania,LTU,2010,15.4
Lithuania,LTU,2011,15.6
Lithuania,LTU,2012,15.7
Lithuania,LTU,2013,15.4
Lithuania,LTU,2014,15.1
Lithuania,LTU,2015,15.2
Lithuania,LTU,2016,15.4
Lithuania,LTU,2017,15.4
Lithuania,LTU,2018,16
Lithuania,LTU,2019,15.9
Lithuania,LTU,2020,15.8
Luxembourg,LUX,2000,11.5
Luxembourg,LUX,2001,11.2
Luxembourg,LUX,2002,10.3
Luxembourg,LUX,2003,9.8
Luxembourg,LUX,2004,9.5
Luxembourg,LUX,2005,8.7
Luxembourg,LUX,2006,8.1
Luxembourg,LUX,2007,7.9
Luxembourg,LUX,2008,6.3
Luxembourg,LUX,2009,6.2
Luxembourg,LUX,2010,5.6
Luxembourg,LUX,2011,5.8
Luxembourg,LUX,2012,5.3
Luxembourg,LUX,2013,4.9
Luxembourg,LUX,2014,5.4
Luxembourg,LUX,2015,4.6
Luxembourg,LUX,2016,4.2
Luxembourg,LUX,2017,3.4
Luxembourg,LUX,2018,4.2
Luxembourg,LUX,2019,3.8
Luxembourg,LUX,2020,3.8
Macao,MAC,2000,19.5
