Entity,Code,Year,9.3.2 - Proportion of small-scale industries with a loan or line of credit (%) - FC_ACC_SSID
Poland,POL,2019,33.81
Polynesia,OWID_PYA,2022,38.73
Portugal,PRT,2019,57.02
Romania,ROU,2009,29.92
Romania,ROU,2013,40.36
Romania,ROU,2019,39.68
Russia,RUS,2009,5.83
Russia,RUS,2012,10.62
Russia,RUS,2019,40.42
Rwanda,RWA,2006,36.7
Rwanda,RWA,2011,29.19
Rwanda,RWA,2019,14.75
Saint Kitts and Nevis,KNA,2010,29.51
Saint Lucia,LCA,2010,41.03
Saint Vincent and the Grenadines,VCT,2010,65.93
Samoa,WSM,2009,32.55
Senegal,SEN,2007,7.1
Senegal,SEN,2014,10.47
Serbia,SRB,2009,62.86
Serbia,SRB,2013,55.19
Serbia,SRB,2019,48.22
Sierra Leone,SLE,2009,6.04
Sierra Leone,SLE,2017,3.02
Slovakia,SVK,2009,50.75
Slovakia,SVK,2013,45.79
Slovakia,SVK,2019,24.35
Slovenia,SVN,2009,67.23
Slovenia,SVN,2013,66
Slovenia,SVN,2019,68.71
Small Island Developing States (SIDS),,2022,38.92
Solomon Islands,SLB,2015,63.64
South Africa,ZAF,2007,21.1
South Africa,ZAF,2020,5.52
South America,,2022,47
South Sudan,SSD,2014,7.96
South-eastern Asia,,2022,25.14
Southern Africa,,2022,26.49
Southern Asia,,2022,22.36
Southern Europe,,2022,40.03
Sri Lanka,LKA,2011,26.11
Sub-Saharan Africa,,2022,15.68
Sub-Saharan Africa (inc. Sudan),,2022,15.38
Sudan,SDN,2014,2.42
Suriname,SUR,2010,44.56
Suriname,SUR,2018,21.09
Sweden,SWE,2014,41.34
Sweden,SWE,2020,39.68
Tajikistan,TJK,2008,21.9
Tajikistan,TJK,2013,14.31
Tajikistan,TJK,2019,19.89
Tanzania,TZA,2006,10.38
Tanzania,TZA,2013,11.11
Thailand,THA,2016,9.04
Timor,TLS,2009,5.83
Timor,TLS,2015,20.15
Togo,TGO,2009,24.1
Togo,TGO,2016,19.41
Tonga,TON,2009,44.91
Trinidad and Tobago,TTO,2010,53.9
Tunisia,TUN,2013,39.96
Tunisia,TUN,2020,37.36
Turkey,TUR,2008,45.56
Turkey,TUR,2013,46.3
Turkey,TUR,2019,31.3
Uganda,UGA,2006,10.17
Uganda,UGA,2013,6.31
Ukraine,UKR,2008,17.63
Ukraine,UKR,2013,16.82
Ukraine,UKR,2019,12.46
Uruguay,URY,2006,40.9
Uruguay,URY,2010,25.55
Uruguay,URY,2017,43.5
Uzbekistan,UZB,2008,8.48
Uzbekistan,UZB,2013,25.75
Uzbekistan,UZB,2019,20.7
Vanuatu,VUT,2009,56.73
Venezuela,VEN,2006,20.39
Venezuela,VEN,2010,45.26
Vietnam,VNM,2009,30.64
Vietnam,VNM,2015,37.28
Western Africa,,2022,13.99
Western Asia,,2022,27.29
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2022,16.96
Western Europe,,2022,54.98
World,OWID_WRL,2022,29.8
Yemen,YEM,2010,3.35
Yemen,YEM,2013,3.38
Zambia,ZMB,2007,4.09
Zambia,ZMB,2013,10.44
Zambia,ZMB,2019,7.56
Zimbabwe,ZWE,2011,7.43
Zimbabwe,ZWE,2016,5.69
