Entity,Code,Year,Completeness of birth registration (%)
Gambia,GMB,2018,57.9
Georgia,GEO,2005,92
Georgia,GEO,2011,98.5
Georgia,GEO,2013,99.6
Georgia,GEO,2015,99.6
Germany,DEU,2011,100
Germany,DEU,2014,100
Germany,DEU,2017,100
Ghana,GHA,2006,51
Ghana,GHA,2008,71.2
Ghana,GHA,2011,62.5
Ghana,GHA,2014,70.5
Greece,GRC,2010,100
Greece,GRC,2014,100
Greece,GRC,2017,100
Guatemala,GTM,2009,96.7
Guatemala,GTM,2015,96.4
Guinea,GIN,2005,43.2
Guinea,GIN,2012,57.9
Guinea,GIN,2016,75
Guinea,GIN,2018,62
Guinea-Bissau,GNB,2006,38.9
Guinea-Bissau,GNB,2010,24.1
Guinea-Bissau,GNB,2014,23.7
Guyana,GUY,2005,94.8
Guyana,GUY,2006,93
Guyana,GUY,2007,93.3
Guyana,GUY,2009,87.9
Guyana,GUY,2014,88.7
Haiti,HTI,2006,81.1
Haiti,HTI,2012,79.7
Haiti,HTI,2017,84.8
Heavily indebted poor countries (HIPC),,2010,50.8768382247115
Heavily indebted poor countries (HIPC),,2017,43.9854084664959
High income,,2010,99.989244481529
High income,,2017,100
Honduras,HND,2006,93.5
Honduras,HND,2012,93.6
Hungary,HUN,2011,100
Hungary,HUN,2014,100
Hungary,HUN,2017,100
IDA & IBRD total,,2017,67.4368907479412
IDA blend,,2017,45.999275776949
IDA only,,2010,47.7785574583602
IDA only,,2017,46.8616926766794
IDA total,,2010,47.658772853995
IDA total,,2017,46.543284597675
Iceland,ISL,2010,100
Iceland,ISL,2014,100
Iceland,ISL,2017,100
India,IND,2006,41.1
India,IND,2011,83.6
India,IND,2014,71.9
India,IND,2016,79.7
Indonesia,IDN,2002,55
Indonesia,IDN,2007,50.6
Indonesia,IDN,2012,66.6
Indonesia,IDN,2013,68.5
Indonesia,IDN,2016,72.5
Indonesia,IDN,2017,77.9
Indonesia,IDN,2018,71.9
Iran,IRN,2010,98.6
Iraq,IRQ,2006,95
Iraq,IRQ,2011,99.2
Iraq,IRQ,2018,98.8
Ireland,IRL,2010,100
Ireland,IRL,2014,100
Ireland,IRL,2017,100
Isle of Man,IMN,2009,85.3899287208
Israel,ISR,2012,100
Israel,ISR,2014,100
Israel,ISR,2017,100
Italy,ITA,2011,100
Italy,ITA,2014,100
Italy,ITA,2017,100
Jamaica,JAM,2005,89
Jamaica,JAM,2008,97.8
Jamaica,JAM,2010,98.1
Jamaica,JAM,2012,99.5
Jamaica,JAM,2017,98
Japan,JPN,2012,100
Japan,JPN,2013,100
Japan,JPN,2017,100
Jordan,JOR,2012,99.1
Jordan,JOR,2018,98
Kazakhstan,KAZ,2006,99
Kazakhstan,KAZ,2011,99.7
Kazakhstan,KAZ,2015,99.7
Kenya,KEN,2003,48
Kenya,KEN,2009,60
Kenya,KEN,2014,66.9
Kiribati,KIR,2008,92
Kiribati,KIR,2009,93.5
Kyrgyzstan,KGZ,2006,95.7
Kyrgyzstan,KGZ,2012,98.3
Kyrgyzstan,KGZ,2014,98
Kyrgyzstan,KGZ,2018,98.9
Laos,LAO,2006,72
Laos,LAO,2012,74.8
Laos,LAO,2017,73
Latin America & Caribbean,,2010,92.39259512281
Latin America & Caribbean,,2017,93.6931038377527
Latin America & Caribbean (IDA & IBRD),,2010,92.2997924842361
Latin America & Caribbean (IDA & IBRD),,2017,93.6092459256002
Latin America & Caribbean (excluding high income),,2010,92.8597481744899
Latin America & Caribbean (excluding high income),,2017,94.498575228561
Latvia,LVA,2011,100
Latvia,LVA,2014,100
Latvia,LVA,2017,100
Least developed countries: UN classification,,2010,45.3144855658529
Least developed countries: UN classification,,2017,43.4973432783005
Lebanon,LBN,2009,99.5
Lesotho,LSO,2004,26.3
Lesotho,LSO,2009,45.1
Lesotho,LSO,2014,43.3
Lesotho,LSO,2018,44.5
Liberia,LBR,2007,3.6
Liberia,LBR,2013,24.6
Liechtenstein,LIE,2011,100
Liechtenstein,LIE,2014,100
Liechtenstein,LIE,2017,100
Lithuania,LTU,2011,100
Lithuania,LTU,2014,100
Lithuania,LTU,2017,100
Low & middle income,,2017,67.3065734325287
Low income,,2010,48.0518070010198
Low income,,2017,39.2051928329598
Lower middle income,,2010,71.1466803852028
Lower middle income,,2017,67.9473545351966
Luxembourg,LUX,2010,100
Luxembourg,LUX,2014,100
Luxembourg,LUX,2017,100
Madagascar,MDG,2004,74.8
Madagascar,MDG,2009,79.7
Madagascar,MDG,2013,83
Madagascar,MDG,2018,78
Malawi,MWI,2014,5.6
Malawi,MWI,2016,67.2
Maldives,MDV,2000,73
Maldives,MDV,2009,92.5
Maldives,MDV,2017,98.8
Mali,MLI,2006,53.3
Mali,MLI,2010,80.8
Mali,MLI,2013,84.3
Mali,MLI,2015,87
Mali,MLI,2018,86.7
Malta,MLT,2011,100
Malta,MLT,2014,100
Malta,MLT,2017,100
Marshall Islands,MHL,2007,95.9
Marshall Islands,MHL,2017,83.8
Mauritania,MRT,2007,56
Mauritania,MRT,2011,58.8
Mauritania,MRT,2015,65.6
Mexico,MEX,2009,93.4
Mexico,MEX,2015,95
Middle income,,2017,73.1665221014671
Moldova,MDA,2000,98
Moldova,MDA,2012,99.6
Monaco,MCO,2006,100
Monaco,MCO,2014,100
Monaco,MCO,2017,100
Mongolia,MNG,2005,98
Mongolia,MNG,2010,99
Mongolia,MNG,2013,99
Mongolia,MNG,2018,99.6
Montenegro,MNE,2005,98
Montenegro,MNE,2006,98.9
Montenegro,MNE,2013,99.4
Morocco,MAR,2000,85
Morocco,MAR,2011,94
Morocco,MAR,2018,96.1
Mozambique,MOZ,2008,31
Mozambique,MOZ,2011,47.9
Mozambique,MOZ,2015,55
Myanmar,MMR,2003,64.9
Myanmar,MMR,2010,72.4
Myanmar,MMR,2016,81.3
Namibia,NAM,2007,67.1
Namibia,NAM,2011,78
Namibia,NAM,2013,63.9
Namibia,NAM,2016,78.1
Nauru,NRU,2007,82.6
Nauru,NRU,2013,95.9
Nepal,NPL,2006,35
Nepal,NPL,2011,42.3
Nepal,NPL,2014,58.1
Nepal,NPL,2016,56.2
Netherlands,NLD,2011,100
Netherlands,NLD,2014,100
Netherlands,NLD,2017,100
New Zealand,NZL,2012,100
New Zealand,NZL,2014,100
New Zealand,NZL,2017,100
Nicaragua,NIC,2001,81
Nicaragua,NIC,2012,84.7
Niger,NER,2006,31.8
Niger,NER,2012,63.9
Nigeria,NGA,2008,30
Nigeria,NGA,2011,41.5
Nigeria,NGA,2013,30.8
Nigeria,NGA,2017,47
Nigeria,NGA,2018,42.6
North America,,2010,100
North America,,2017,100
North Korea,PRK,2000,98.9
North Korea,PRK,2009,100
North Macedonia,MKD,2005,94
North Macedonia,MKD,2011,99.7
Norway,NOR,2011,100
Norway,NOR,2014,100
Norway,NOR,2017,100
OECD members,,2010,98.3590489174348
OECD members,,2017,98.9546302743053
Oman,OMN,2018,100
Other small states,,2010,64.3926917071172
Other small states,,2017,66.0722710372075
Pakistan,PAK,2007,26.6
Pakistan,PAK,2013,33.6
Pakistan,PAK,2018,42.2
Palestine,PSE,2006,96
Palestine,PSE,2010,99.3
Palestine,PSE,2014,99.3
Palestine,PSE,2015,95.9
Panama,PAN,2013,95.6
Papua New Guinea,PNG,2018,13.4
Paraguay,PRY,2011,76.1
Paraguay,PRY,2014,84.5
Paraguay,PRY,2017,69.1
Peru,PER,2006,93
Peru,PER,2007,93
Peru,PER,2008,94.3
Peru,PER,2012,95.6
Peru,PER,2014,96.7
Peru,PER,2016,98
Philippines,PHL,2000,83
Philippines,PHL,2010,90.2
Philippines,PHL,2017,91.8
Poland,POL,2011,100
Poland,POL,2014,100
Poland,POL,2017,100
Portugal,PRT,2011,100
Portugal,PRT,2014,100
Portugal,PRT,2017,100
Post-demographic dividend,,2010,99.9908227023693
Post-demographic dividend,,2017,100
Pre-demographic dividend,,2010,49.1404058408878
Pre-demographic dividend,,2017,49.1309017297913
Qatar,QAT,2015,100
Qatar,QAT,2017,100
Russia,RUS,2010,100
Russia,RUS,2017,100
Rwanda,RWA,2005,82.4
Rwanda,RWA,2010,63.2
Rwanda,RWA,2015,56
Saint Lucia,LCA,2012,92
Samoa,WSM,2009,47.7
Samoa,WSM,2014,58.6
San Marino,SMR,2009,100
San Marino,SMR,2014,100
San Marino,SMR,2017,100
Sao Tome and Principe,STP,2006,68.7
Sao Tome and Principe,STP,2009,75.1
Sao Tome and Principe,STP,2014,95.2
Senegal,SEN,2005,54.9
Senegal,SEN,2011,74.6
Senegal,SEN,2013,73
Senegal,SEN,2014,72.7
Senegal,SEN,2015,68.3
Senegal,SEN,2016,70.4
Senegal,SEN,2017,77.4
Senegal,SEN,2018,76.8
Senegal,SEN,2019,78.7
Serbia,SRB,2005,99
Serbia,SRB,2006,98.9
Serbia,SRB,2010,98.9
Serbia,SRB,2014,99.4
Sierra Leone,SLE,2005,48
Sierra Leone,SLE,2008,50.9
Sierra Leone,SLE,2010,78
Sierra Leone,SLE,2013,76.7
Sierra Leone,SLE,2017,81.1
Sierra Leone,SLE,2019,90.4
Slovakia,SVK,2010,100
Slovakia,SVK,2014,100
Slovakia,SVK,2018,100
Slovenia,SVN,2011,100
Slovenia,SVN,2014,100
Slovenia,SVN,2017,100
Small states,,2010,69.5926403310672
Small states,,2017,70.81691041776
Solomon Islands,SLB,2007,80
Solomon Islands,SLB,2015,88
Somalia,SOM,2006,3
South Africa,ZAF,2006,78
South Africa,ZAF,2008,92
South Africa,ZAF,2012,85
South Africa,ZAF,2017,89
South Asia,,2010,75.6870611831099
South Asia,,2017,69.6330805034514
South Asia (IDA & IBRD),,2010,75.6870611831099
South Asia (IDA & IBRD),,2017,69.6330805034514
South Sudan,SSD,2010,35.4
Spain,ESP,2011,100
Spain,ESP,2014,100
Spain,ESP,2017,100
Sri Lanka,LKA,2007,97.2
Sub-Saharan Africa,,2010,50.1155499623434
Sub-Saharan Africa,,2017,45.1387466608631
Sub-Saharan Africa (IDA & IBRD),,2010,50.1155499623434
Sub-Saharan Africa (IDA & IBRD),,2017,45.1387466608631
Sub-Saharan Africa (excluding high income),,2010,50.1155499623434
Sub-Saharan Africa (excluding high income),,2017,45.1387466608631
Sudan,SDN,2006,33
Sudan,SDN,2010,59.3
Sudan,SDN,2014,67.3
Suriname,SUR,2006,97
Suriname,SUR,2010,99
Suriname,SUR,2018,98.3
Sweden,SWE,2011,100
Sweden,SWE,2014,100
Sweden,SWE,2017,100
Switzerland,CHE,2011,100
Switzerland,CHE,2014,100
Switzerland,CHE,2017,100
Syria,SYR,2006,96
Tajikistan,TJK,2005,88
Tajikistan,TJK,2012,81.7
Tajikistan,TJK,2017,95.8
Tanzania,TZA,2005,8
Tanzania,TZA,2008,21.8
Tanzania,TZA,2010,16.3
Tanzania,TZA,2012,19.2
Tanzania,TZA,2016,26.4
Thailand,THA,2006,99.5
Thailand,THA,2012,99.4
Thailand,THA,2016,99.5
Timor,TLS,2003,53
Timor,TLS,2009,55.2
Timor,TLS,2010,55.2
Timor,TLS,2016,60.4
Togo,TGO,2006,78.1
Togo,TGO,2010,77.9
Togo,TGO,2014,78
Togo,TGO,2017,82.9
Tonga,TON,2012,93.4
Trinidad and Tobago,TTO,2006,96.6
Trinidad and Tobago,TTO,2011,96.5
Tunisia,TUN,2012,99
Tunisia,TUN,2018,99.9
Turkey,TUR,2003,84
Turkey,TUR,2008,93.7
Turkey,TUR,2013,99
Turkey,TUR,2018,98.4
Turkmenistan,TKM,2006,95.5
Turkmenistan,TKM,2016,99.6
Tuvalu,TUV,2007,49.9
Uganda,UGA,2006,21
Uganda,UGA,2011,29.9
Uganda,UGA,2016,32.2
Ukraine,UKR,2005,100
Ukraine,UKR,2012,99.8
United Arab Emirates,ARE,2012,100
United Kingdom,GBR,2010,100
United Kingdom,GBR,2014,100
United Kingdom,GBR,2017,100
United States,USA,2009,100
United States,USA,2013,100
United States,USA,2017,100
Uruguay,URY,2012,100
Uruguay,URY,2013,99.8
Uzbekistan,UZB,2006,99.9
Vanuatu,VUT,2007,43
Vanuatu,VUT,2013,43.4
Venezuela,VEN,2000,92
Venezuela,VEN,2011,80.8
Venezuela,VEN,2017,81
Vietnam,VNM,2005,92.7
Vietnam,VNM,2006,88
Vietnam,VNM,2011,95
Vietnam,VNM,2014,96.1
World,OWID_WRL,2010,74.912262092564
World,OWID_WRL,2017,70.6184287828214
Yemen,YEM,2006,22
Yemen,YEM,2012,17.1
Yemen,YEM,2013,30.7
Zambia,ZMB,2000,10
Zambia,ZMB,2007,14
Zambia,ZMB,2014,11.3
Zambia,ZMB,2018,14
Zimbabwe,ZWE,2006,73.9
Zimbabwe,ZWE,2009,38
Zimbabwe,ZWE,2011,48.8
Zimbabwe,ZWE,2014,32.3
Zimbabwe,ZWE,2015,43.5
Zimbabwe,ZWE,2017,38
Zimbabwe,ZWE,2019,48.7
