Entity,Code,Year,5.3.1 - Proportion of women aged 20-24 years who were married or in a union before age 15 (%) - SP_DYN_MRBF15
Small Island Developing States (SIDS),,2016,6.2
Small Island Developing States (SIDS),,2021,5.3
Solomon Islands,SLB,2015,5.6
Somalia,SOM,2020,16.7
South Africa,ZAF,2016,0.9
South Sudan,SSD,2010,8.9
South-eastern Asia,,2001,6
South-eastern Asia,,2006,4.8
South-eastern Asia,,2011,4
South-eastern Asia,,2016,2.7
South-eastern Asia,,2021,2.2
Southern Asia,,2001,26.1
Southern Asia,,2006,21.8
Southern Asia,,2011,17.4
Southern Asia,,2016,12.3
Southern Asia,,2021,7.1
Sri Lanka,LKA,2016,0.9
Sub-Saharan Africa,,2001,14.9
Sub-Saharan Africa,,2006,12.1
Sub-Saharan Africa,,2011,14.2
Sub-Saharan Africa,,2016,12.7
Sub-Saharan Africa,,2021,10.8
Sudan,SDN,2014,11.9
Suriname,SUR,2018,8.8
Syria,SYR,2006,2.5
Tajikistan,TJK,2017,0.1
Tanzania,TZA,2016,5.2
Thailand,THA,2019,3
Timor,TLS,2016,2.6
Togo,TGO,2017,6.4
Tonga,TON,2019,0.4
Trinidad and Tobago,TTO,2011,2.7
Tunisia,TUN,2018,0
Turkey,TUR,2018,2
Turkmenistan,TKM,2019,0.2
Turks and Caicos Islands,TCA,2020,0
Tuvalu,TUV,2020,0
Uganda,UGA,2016,7.3
Ukraine,UKR,2012,0.1
Uruguay,URY,2013,0.7
Uzbekistan,UZB,2006,0.3
Vanuatu,VUT,2013,2.5
Vietnam,VNM,2014,0.9
Western Asia,,2001,4.2
Western Asia,,2006,4.3
Western Asia,,2011,3.6
Western Asia,,2016,3.1
Western Asia,,2021,3.4
World,OWID_WRL,2001,9.6
World,OWID_WRL,2006,8.3
World,OWID_WRL,2011,7.4
World,OWID_WRL,2016,6.3
World,OWID_WRL,2021,4.7
Yemen,YEM,2013,9.4
Zambia,ZMB,2018,5.2
Zimbabwe,ZWE,2019,5.4
