Entity,Code,Year,2.b.1 - Agricultural export subsidies (millions of current United States dollars) - AG_PRD_XSUBDY
Central and Southern Asia,,2001,1440000
Central and Southern Asia,,2002,961000
Central and Southern Asia,,2003,9520000
Central and Southern Asia,,2004,18789000
Central and Southern Asia,,2005,30610000
Central and Southern Asia,,2006,10770000
Central and Southern Asia,,2007,32299999.999999996
Central and Southern Asia,,2008,64010000.00000001
Central and Southern Asia,,2009,101990000
Central and Southern Asia,,2010,8400000
Central and Southern Asia,,2011,23930000
Central and Southern Asia,,2012,17670000
Central and Southern Asia,,2013,12050000
Central and Southern Asia,,2014,0
Central and Southern Asia,,2015,0
Central and Southern Asia,,2016,0
Central and Southern Asia,,2017,0
Colombia,COL,1995,14786200
Colombia,COL,1996,18956690
Colombia,COL,1997,22800180
Colombia,COL,1998,20115000
Colombia,COL,1999,0
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,0
Colombia,COL,2005,0
Colombia,COL,2006,0
Colombia,COL,2007,0
Colombia,COL,2008,0
Colombia,COL,2009,0
Colombia,COL,2010,0
Colombia,COL,2011,0
Colombia,COL,2012,0
Colombia,COL,2013,0
Colombia,COL,2014,0
Colombia,COL,2015,0
Colombia,COL,2016,0
Colombia,COL,2017,0
Colombia,COL,2018,0
Cyprus,CYP,1995,3421600
Cyprus,CYP,1996,3040890
Cyprus,CYP,1997,1877810
Cyprus,CYP,1998,3458690
Cyprus,CYP,1999,3204360
Cyprus,CYP,2000,2590420
Cyprus,CYP,2001,3689900
Cyprus,CYP,2002,4181710
Cyprus,CYP,2003,2690920
Cyprus,CYP,2004,962650
Czechia,CZE,1995,40089420
Czechia,CZE,1996,39244920
Czechia,CZE,1997,40191280
Czechia,CZE,1998,41773580
Czechia,CZE,1999,34556430
Czechia,CZE,2000,24340120
Czechia,CZE,2001,32094640
Czechia,CZE,2002,74416930
Czechia,CZE,2003,99126520
Czechia,CZE,2004,51230070
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,1995,4479404370
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,1996,5126907190
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,1997,4463529200
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,1998,5373513680
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,1999,6617671820
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2000,2887614820
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2001,2601513870
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2002,3276312130
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2003,3782681490
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2004,3645234020
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,2640889980
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2006,2088635640
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2007,1373276900
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2008,896462360
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2009,755994100
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,436424280
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2011,404568720
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2012,285515160
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2013,203341770
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2014,182448700
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,180360300
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,158485710
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2017,120784220
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2018,120083150
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2019,23581760
Developing regions,,1995,107254430
Developing regions,,1996,112710350
Developing regions,,1997,156485440
Developing regions,,1998,90609640
Developing regions,,1999,74110310
Developing regions,,2000,88855360
Developing regions,,2001,63121110
Developing regions,,2002,58812410
Developing regions,,2003,63145100
Developing regions,,2004,62284190
Developing regions,,2005,93663560
Developing regions,,2006,82358960
Developing regions,,2007,111452600
Developing regions,,2008,130102489.99999999
Developing regions,,2009,168717110
Developing regions,,2010,76617680
Developing regions,,2011,103182750
Developing regions,,2012,81556210
Developing regions,,2013,65609100
Developing regions,,2014,48246480
Developing regions,,2015,37378160
Developing regions,,2016,51150390
Developing regions,,2017,77013700
Developing regions,,2018,65418009.99999999
Developing regions,,2019,34840960
Eastern Africa,,2007,99630
Eastern Africa,,2013,325730
Eastern Africa,,2014,489850
Eastern Africa,,2015,1141010
Eastern Africa,,2016,703390
Eastern Africa,,2017,145010
Eastern Africa,,2018,147360
Eastern Africa,,2019,56390
Eastern Asia,,1995,1426210
Eastern Asia,,1996,2983390
Eastern Asia,,1997,3258740
Eastern Asia,,1998,2568790
Eastern Asia,,1999,12617590
Eastern Asia,,2000,16888340
Eastern Asia,,2001,20139510
Eastern Asia,,2002,21261490
Eastern Asia,,2003,20644270
Eastern Asia,,2004,22351850
Eastern Asia,,2005,28219440
Eastern Asia,,2006,30477890
Eastern Asia,,2007,31207720
Eastern Asia,,2008,29672060
Eastern Asia,,2009,31121520
Eastern Asia,,2010,34072600
Eastern Asia,,2011,32004199.999999996
Eastern Asia,,2012,32810440
Eastern Asia,,2013,28359970
Eastern Asia,,2014,30001140
Eastern Asia,,2015,29102870
Eastern Asia,,2016,31643440
Eastern Asia,,2017,35031230
Eastern Asia,,2018,22469430
Eastern Asia,,2019,29154350
Eastern Asia (excluding Japan),,1995,1426210
Eastern Asia (excluding Japan),,1996,2983390
Eastern Asia (excluding Japan),,1997,3258740
Eastern Asia (excluding Japan),,1998,2568790
Eastern Asia (excluding Japan),,1999,12617590
Eastern Asia (excluding Japan),,2000,16888340
Eastern Asia (excluding Japan),,2001,20139510
Eastern Asia (excluding Japan),,2002,21261490
Eastern Asia (excluding Japan),,2003,20644270
Eastern Asia (excluding Japan),,2004,22351850
Eastern Asia (excluding Japan),,2005,28219440
Eastern Asia (excluding Japan),,2006,30477890
Eastern Asia (excluding Japan),,2007,31207720
Eastern Asia (excluding Japan),,2008,29672060
Eastern Asia (excluding Japan),,2009,31121520
Eastern Asia (excluding Japan),,2010,34072600
Eastern Asia (excluding Japan),,2011,32004199.999999996
Eastern Asia (excluding Japan),,2012,32810440
Eastern Asia (excluding Japan),,2013,28359970
Eastern Asia (excluding Japan),,2014,30001140
Eastern Asia (excluding Japan),,2015,29102870
Eastern Asia (excluding Japan),,2016,31643440
Eastern Asia (excluding Japan),,2017,35031230
Eastern Asia (excluding Japan),,2018,22469430
Eastern Asia (excluding Japan),,2019,29154350
Eastern Europe,,1995,107040550
Eastern Europe,,1996,93244030
Eastern Europe,,1997,84458360
Eastern Europe,,1998,94350790
Eastern Europe,,1999,131083430
Eastern Europe,,2000,90780530
Eastern Europe,,2001,71946340
Eastern Europe,,2002,117337480
Eastern Europe,,2003,171193170
Eastern Europe,,2004,99946240
Eastern Europe,,2005,3478500
Eastern Europe,,2006,3678500
Eastern and South-Eastern Asia,,1995,16626210
Eastern and South-Eastern Asia,,1996,9183390
Eastern and South-Eastern Asia,,1997,7758740
Eastern and South-Eastern Asia,,1998,2568790
Eastern and South-Eastern Asia,,1999,12617590
Eastern and South-Eastern Asia,,2000,16888340
Eastern and South-Eastern Asia,,2001,20139510
Eastern and South-Eastern Asia,,2002,21261490
Eastern and South-Eastern Asia,,2003,20644270
Eastern and South-Eastern Asia,,2004,22351850
Eastern and South-Eastern Asia,,2005,28219440
Eastern and South-Eastern Asia,,2006,30477890
Eastern and South-Eastern Asia,,2007,31207720
Eastern and South-Eastern Asia,,2008,29672060
Eastern and South-Eastern Asia,,2009,31121520
Eastern and South-Eastern Asia,,2010,34072600
Eastern and South-Eastern Asia,,2011,32004199.999999996
Eastern and South-Eastern Asia,,2012,32810440
Eastern and South-Eastern Asia,,2013,28359970
Eastern and South-Eastern Asia,,2014,30001140
Eastern and South-Eastern Asia,,2015,29102870
Eastern and South-Eastern Asia,,2016,31643440
Eastern and South-Eastern Asia,,2017,35031230
Eastern and South-Eastern Asia,,2018,22469430
Eastern and South-Eastern Asia,,2019,29154350
Europe,,1995,4412895510
Europe,,1996,4985463180
Europe,,1997,4343520600
Europe,,1998,5221106560
Europe,,1999,6530484140
Europe,,2000,2869712890
Europe,,2001,2538325700
Europe,,2002,3234669440
Europe,,2003,3711900020
Europe,,2004,3571518400
Europe,,2005,2556771500
Europe,,2006,2000212130
Europe,,2007,1289621680
Europe,,2008,793012400
Europe,,2009,673315590
Europe,,2010,349186170
Europe,,2011,313375690
Europe,,2012,184208020
Europe,,2013,120565660
Europe,,2014,107224770
Europe,,2015,115799470
Europe,,2016,115896670
Europe,,2017,111697880
Europe,,2018,112145930
Europe,,2019,14738640
Europe and Northern America,,1995,4475953450
Europe and Northern America,,1996,5111190310
Europe and Northern America,,1997,4455747790
Europe and Northern America,,1998,5367814500
Europe and Northern America,,1999,6610647690
Europe and Northern America,,2000,2885024400
Europe and Northern America,,2001,2592940970
Europe and Northern America,,2002,3266195430
Europe and Northern America,,2003,3776197570
Europe and Northern America,,2004,3643673370
Europe and Northern America,,2005,2640188780
Europe and Northern America,,2006,2088466039.9999998
Europe and Northern America,,2007,1373276900
Europe and Northern America,,2008,896273260
Europe and Northern America,,2009,754629340
Europe and Northern America,,2010,434807590
Europe and Northern America,,2011,402591720
Europe and Northern America,,2012,284717610
Europe and Northern America,,2013,202282770
Europe and Northern America,,2014,180633450
Europe and Northern America,,2015,179227150
Europe and Northern America,,2016,157904970
Europe and Northern America,,2017,119380460
Europe and Northern America,,2018,119841140
Europe and Northern America,,2019,23581760
European Union,,1995,3775857180
European Union,,1996,4445262790
European Union,,1997,3861497960
European Union,,1998,4757502470
European Union,,1999,5980755240
European Union,,2000,2545787620
European Union,,2001,2302529730
European Union,,2002,2948750730
European Union,,2003,3342534760
European Union,,2004,3269200920
European Union,,2005,2388325130
European Union,,2006,1834054840
European Union,,2007,1163230740
European Union,,2008,660343780
European Union,,2009,522891539.99999994
European Union,,2010,230184970
European Union,,2011,186972990
European Union,,2012,75871110
European Union,,2013,47810
European Union,,2014,0
European Union,,2015,0
European Union,,2016,0
European Union,,2017,0
European Union,,2018,0
European Union,,2019,0
Hungary,HUN,1995,58537930
Hungary,HUN,1996,30080450
Hungary,HUN,1997,22947370
Hungary,HUN,1998,23950370
Hungary,HUN,1999,22066590
Hungary,HUN,2000,13845810
Hungary,HUN,2001,11661840
Hungary,HUN,2002,12711010
Hungary,HUN,2003,19183560
Hungary,HUN,2004,14436790
Iceland,ISL,1995,55650
Iceland,ISL,1996,7520
Iceland,ISL,1997,1410
Iceland,ISL,1998,0
Iceland,ISL,1999,0
Iceland,ISL,2000,0
Iceland,ISL,2001,0
Iceland,ISL,2002,0
Iceland,ISL,2003,0
Iceland,ISL,2004,0
Iceland,ISL,2005,0
Iceland,ISL,2006,0
Iceland,ISL,2007,0
Iceland,ISL,2008,0
Iceland,ISL,2009,0
Iceland,ISL,2010,0
Iceland,ISL,2011,0
Iceland,ISL,2012,0
Iceland,ISL,2013,0
Iceland,ISL,2014,0
Iceland,ISL,2015,0
India,IND,1995,2070500
India,IND,1996,2100000
India,IND,1997,3900000
India,IND,1998,2500000
India,IND,1999,2400000
India,IND,2000,1100000
India,IND,2001,1440000
India,IND,2002,961000
India,IND,2003,9320000
India,IND,2004,12989000
India,IND,2005,12410000
India,IND,2006,10770000
India,IND,2007,28600000
India,IND,2008,64010000.00000001
India,IND,2009,101990000
India,IND,2010,8400000
India,IND,2011,23930000
India,IND,2012,17670000
India,IND,2013,12050000
Indonesia,IDN,1995,0
Indonesia,IDN,1996,0
Indonesia,IDN,1997,0
Indonesia,IDN,1998,0
Indonesia,IDN,1999,0
Indonesia,IDN,2000,0
Indonesia,IDN,2001,0
Indonesia,IDN,2002,0
Indonesia,IDN,2003,0
Indonesia,IDN,2004,0
Indonesia,IDN,2005,0
Indonesia,IDN,2006,0
Indonesia,IDN,2007,0
Indonesia,IDN,2008,0
Indonesia,IDN,2009,0
Indonesia,IDN,2010,0
Indonesia,IDN,2011,0
Indonesia,IDN,2012,0
Indonesia,IDN,2013,0
Indonesia,IDN,2014,0
Indonesia,IDN,2015,0
Indonesia,IDN,2016,0
Indonesia,IDN,2017,0
Indonesia,IDN,2018,0
Israel,ISR,1995,18820
Israel,ISR,1996,12676000
Israel,ISR,1997,5903600
Israel,ISR,1998,980000
Israel,ISR,1999,1409000
Israel,ISR,2000,0
Israel,ISR,2001,4883000
Israel,ISR,2002,5935000
Israel,ISR,2003,3793000
Israel,ISR,2004,598000
Israel,ISR,2005,701200
Israel,ISR,2006,169600
Israel,ISR,2007,0
Israel,ISR,2008,189100
Israel,ISR,2009,1364760
Israel,ISR,2010,1616690
Israel,ISR,2011,1977000
Israel,ISR,2012,797550
Israel,ISR,2013,1059000
Israel,ISR,2014,1815250
Israel,ISR,2015,1133150
Israel,ISR,2016,580740
Israel,ISR,2017,1403760
Israel,ISR,2018,242010
Israel,ISR,2019,0
Latin America and the Caribbean,,1995,18022020
Latin America and the Caribbean,,1996,39021220
Latin America and the Caribbean,,1997,79385500
Latin America and the Caribbean,,1998,43597900
Latin America and the Caribbean,,1999,17469480
Latin America and the Caribbean,,2000,33651770
Latin America and the Caribbean,,2001,19423970
Latin America and the Caribbean,,2002,19691740
Latin America and the Caribbean,,2003,10371620
Latin America and the Caribbean,,2004,3105010
Latin America and the Caribbean,,2005,14302140
Latin America and the Caribbean,,2006,21901260
Latin America and the Caribbean,,2007,21300000
Latin America and the Caribbean,,2008,12320000
Latin America and the Caribbean,,2009,13460000
Latin America and the Caribbean,,2010,15670000
Latin America and the Caribbean,,2011,11030000
Latin America and the Caribbean,,2012,720000
Latin America and the Caribbean,,2013,0
Latin America and the Caribbean,,2014,0
Latin America and the Caribbean,,2015,0
Latin America and the Caribbean,,2016,0
Latin America and the Caribbean,,2017,22600000
Latin America and the Caribbean,,2018,17600000
Latin America and the Caribbean,,2019,0
Mauritius,MUS,2007,99630
Mauritius,MUS,2013,325730
Mauritius,MUS,2014,489850
Mauritius,MUS,2015,1141010
Mauritius,MUS,2016,703390
Mauritius,MUS,2017,145010
Mauritius,MUS,2018,147360
Mauritius,MUS,2019,56390
Mexico,MEX,1995,0
Mexico,MEX,1996,0
Mexico,MEX,1997,46600000
Mexico,MEX,1998,7000000
Mexico,MEX,1999,4400000
Mexico,MEX,2000,17900000
Mexico,MEX,2001,5900000
Mexico,MEX,2002,9500000
Mexico,MEX,2003,800000
Mexico,MEX,2004,3100000
Mexico,MEX,2005,14300000
Mexico,MEX,2006,21900000
Mexico,MEX,2007,21300000
Mexico,MEX,2008,12320000
Mexico,MEX,2009,13460000
Mexico,MEX,2010,15670000
Mexico,MEX,2011,11030000
Mexico,MEX,2012,720000
Mexico,MEX,2013,0
Mexico,MEX,2014,0
Mexico,MEX,2015,0
Mexico,MEX,2016,0
Mexico,MEX,2017,22600000
Mexico,MEX,2018,17600000
Mexico,MEX,2019,0
Morocco,MAR,1995,585460
Morocco,MAR,1996,0
Morocco,MAR,1997,750600
Morocco,MAR,1998,527570
Morocco,MAR,1999,404310
Morocco,MAR,2000,202810
Morocco,MAR,2001,123240
Morocco,MAR,2002,3989.9999999999995
Morocco,MAR,2003,3965060
Morocco,MAR,2004,3586710
Morocco,MAR,2005,4017930
Morocco,MAR,2006,5866810
Morocco,MAR,2007,7363840
Morocco,MAR,2008,9107460
Morocco,MAR,2009,6323130
Morocco,MAR,2010,4356490
Morocco,MAR,2011,14210080
Morocco,MAR,2012,9873790
Morocco,MAR,2013,3944220
Morocco,MAR,2014,14635880
Morocco,MAR,2015,7134280
Morocco,MAR,2016,15633710
Morocco,MAR,2017,14960980
Morocco,MAR,2018,19412590
New Zealand,NZL,1995,10500
New Zealand,NZL,1996,0
New Zealand,NZL,1997,0
New Zealand,NZL,1998,0
New Zealand,NZL,1999,0
New Zealand,NZL,2000,0
Northern Africa,,1995,586200
Northern Africa,,1996,1849170
Northern Africa,,1997,6141280
Northern Africa,,1998,6576970
Northern Africa,,1999,6036460
Northern Africa,,2000,6313120
Northern Africa,,2001,3813350
Northern Africa,,2002,3278310
Northern Africa,,2003,9635080
Northern Africa,,2004,7277890
Northern Africa,,2005,10126310
Northern Africa,,2006,8498580
Northern Africa,,2007,15648350
Northern Africa,,2008,13285530
Northern Africa,,2009,9955020
Northern Africa,,2010,7653230
Northern Africa,,2011,16463740.000000002
Northern Africa,,2012,12720680
Northern Africa,,2013,7649350
Northern Africa,,2014,17755490
Northern Africa,,2015,7134280
Northern Africa,,2016,18803550
Northern Africa,,2017,19237460
Northern Africa,,2018,25201220
Northern Africa,,2019,5630220
Northern Africa (exc. Sudan),,1995,586200
Northern Africa (exc. Sudan),,1996,1849170
Northern Africa (exc. Sudan),,1997,6141280
Northern Africa (exc. Sudan),,1998,6576970
Northern Africa (exc. Sudan),,1999,6036460
Northern Africa (exc. Sudan),,2000,6313120
Northern Africa (exc. Sudan),,2001,3813350
Northern Africa (exc. Sudan),,2002,3278310
Northern Africa (exc. Sudan),,2003,9635080
Northern Africa (exc. Sudan),,2004,7277890
Northern Africa (exc. Sudan),,2005,10126310
Northern Africa (exc. Sudan),,2006,8498580
Northern Africa (exc. Sudan),,2007,15648350
Northern Africa (exc. Sudan),,2008,13285530
Northern Africa (exc. Sudan),,2009,9955020
Northern Africa (exc. Sudan),,2010,7653230
Northern Africa (exc. Sudan),,2011,16463740.000000002
Northern Africa (exc. Sudan),,2012,12720680
Northern Africa (exc. Sudan),,2013,7649350
Northern Africa (exc. Sudan),,2014,17755490
Northern Africa (exc. Sudan),,2015,7134280
Northern Africa (exc. Sudan),,2016,18803550
Northern Africa (exc. Sudan),,2017,19237460
Northern Africa (exc. Sudan),,2018,25201220
Northern Africa (exc. Sudan),,2019,5630220
Northern Africa and Western Asia,,1995,33898900
Northern Africa and Western Asia,,1996,34775150
Northern Africa and Western Asia,,1997,52619970
Northern Africa and Western Asia,,1998,40095830
Northern Africa and Western Asia,,1999,38646200
Northern Africa and Western Asia,,2000,36235930
Northern Africa and Western Asia,,2001,30690520
Northern Africa and Western Asia,,2002,27014890
Northern Africa and Western Asia,,2003,29093140
Northern Africa and Western Asia,,2004,19598990
Northern Africa and Western Asia,,2005,21233180
Northern Africa and Western Asia,,2006,19379410
Northern Africa and Western Asia,,2007,26545250
Northern Africa and Western Asia,,2008,24289520
Northern Africa and Western Asia,,2009,23510350
Northern Africa and Western Asia,,2010,20091780
Northern Africa and Western Asia,,2011,38195550
Northern Africa and Western Asia,,2012,31153330
Northern Africa and Western Asia,,2013,25932390
Northern Africa and Western Asia,,2014,19570740
Northern Africa and Western Asia,,2015,8267429.999999999
Northern Africa and Western Asia,,2016,19384290
Northern Africa and Western Asia,,2017,20641220
Northern Africa and Western Asia,,2018,25443230
Northern Africa and Western Asia,,2019,5630220
Northern America,,1995,63057940
Northern America,,1996,125727130
Northern America,,1997,112227190
Northern America,,1998,146707930
Northern America,,1999,80163550
Northern America,,2000,15311510
Northern America,,2001,54615270
Northern America,,2002,31525990
Northern America,,2003,64297540
Northern America,,2004,72154970
Northern America,,2005,83417280
Northern America,,2006,88253910
Northern America,,2007,83655220
Northern America,,2008,103260860
Northern America,,2009,81313740
Northern America,,2010,85621420
Northern America,,2011,89216030
Northern America,,2012,100509580
Northern America,,2013,81717110
Northern America,,2014,73408680
Northern America,,2015,63427680
Northern America,,2016,42008300
Northern America,,2017,7682590
Northern America,,2018,7695220
Northern America,,2019,8843130
Northern Europe,,1995,83305370
Northern Europe,,1996,78350930
Northern Europe,,1997,102314290
Northern Europe,,1998,77215700
Northern Europe,,1999,128462359.99999999
Northern Europe,,2000,44672470
Northern Europe,,2001,32207639.999999996
Northern Europe,,2002,32741390.000000004
Northern Europe,,2003,45125740
Northern Europe,,2004,54859690
Northern Europe,,2005,51377570
Northern Europe,,2006,53326400
Northern Europe,,2007,40858690
Northern Europe,,2008,36471630
Northern Europe,,2009,39565330
Northern Europe,,2010,45399150
Northern Europe,,2011,40377490
Northern Europe,,2012,39776540
Northern Europe,,2013,44919150
Northern Europe,,2014,30720410
Northern Europe,,2015,16356649.999999998
Northern Europe,,2016,19821430
Northern Europe,,2017,15631040
Northern Europe,,2018,15406370
Northern Europe,,2019,14738640
Norway,NOR,1995,83249720
Norway,NOR,1996,78343410
Norway,NOR,1997,102312880
Norway,NOR,1998,77215700
Norway,NOR,1999,128462359.99999999
Norway,NOR,2000,44672470
Norway,NOR,2001,32207639.999999996
