Entity,Code,Year,16.a.1 - Proportion of countries that applied for accreditation as independent National Human Rights Institutions in compliance with the Paris Principles (%) - SG_NHR_INTEXST
Least developed countries (LDCs),,2015,43.8
Least developed countries (LDCs),,2016,43.8
Least developed countries (LDCs),,2017,47.9
Least developed countries (LDCs),,2018,50
Least developed countries (LDCs),,2019,50
Least developed countries (LDCs),,2020,50
Northern Africa (exc. Sudan),,2000,40
Northern Africa (exc. Sudan),,2005,40
Northern Africa (exc. Sudan),,2010,80
Northern Africa (exc. Sudan),,2015,100
Northern Africa (exc. Sudan),,2016,100
Northern Africa (exc. Sudan),,2017,100
Northern Africa (exc. Sudan),,2018,100
Northern Africa (exc. Sudan),,2019,100
Northern Africa (exc. Sudan),,2020,100
Northern Africa and Western Asia,,2000,8.333333
Northern Africa and Western Asia,,2005,12.5
Northern Africa and Western Asia,,2010,41.666667
Northern Africa and Western Asia,,2015,58.333333
Northern Africa and Western Asia,,2016,62.5
Northern Africa and Western Asia,,2017,62.5
Northern Africa and Western Asia,,2018,62.5
Northern Africa and Western Asia,,2019,62.5
Northern Africa and Western Asia,,2020,62.5
Oceania,,2000,8.333333
Oceania,,2005,8.333333
Oceania,,2010,0
Oceania,,2015,0
Oceania,,2016,8.333333
Oceania,,2017,8.333333
Oceania,,2018,8.33333333333333
Oceania,,2019,8.33333333333333
Oceania,,2020,8.33333
Oceania (exc. Australia and New Zealand),,2000,8.3
Oceania (exc. Australia and New Zealand),,2005,8.3
Oceania (exc. Australia and New Zealand),,2010,0
Oceania (exc. Australia and New Zealand),,2015,0
Oceania (exc. Australia and New Zealand),,2016,8.3
Oceania (exc. Australia and New Zealand),,2017,8.3
Oceania (exc. Australia and New Zealand),,2018,8.3
Oceania (exc. Australia and New Zealand),,2019,8.33333
Oceania (exc. Australia and New Zealand),,2020,8.33333
Small Island Developing States (SIDS),,2000,2.6
Small Island Developing States (SIDS),,2005,10.5
Small Island Developing States (SIDS),,2010,15.8
Small Island Developing States (SIDS),,2015,18.4
Small Island Developing States (SIDS),,2016,21.1
Small Island Developing States (SIDS),,2017,21.1
Small Island Developing States (SIDS),,2018,21.052631578947366
Small Island Developing States (SIDS),,2019,21.052631578947366
Small Island Developing States (SIDS),,2020,21.052631578947366
South-eastern Asia,,2000,18.2
South-eastern Asia,,2005,36.4
South-eastern Asia,,2010,45.5
South-eastern Asia,,2015,54.5
South-eastern Asia,,2016,54.5
South-eastern Asia,,2017,54.5
South-eastern Asia,,2018,54.54545454545454
South-eastern Asia,,2019,54.54545454545454
South-eastern Asia,,2020,54.54545454545454
Southern Asia,,2000,33.3
Southern Asia,,2005,44.4
Southern Asia,,2010,66.7
Southern Asia,,2015,77.8
Southern Asia,,2016,77.8
Southern Asia,,2017,77.8
Southern Asia,,2018,77.77777777777777
Southern Asia,,2019,77.77777777777777
Southern Asia,,2020,77.77777777777777
Sub-Saharan Africa,,2000,18.75
Sub-Saharan Africa,,2005,39.583333
Sub-Saharan Africa,,2010,41.666667
Sub-Saharan Africa,,2015,47.916667
Sub-Saharan Africa,,2016,50
Sub-Saharan Africa,,2017,54
Sub-Saharan Africa,,2018,57.14285714285714
Sub-Saharan Africa,,2019,58.33333
Sub-Saharan Africa,,2020,58.33333
Sub-Saharan Africa (inc. Sudan),,2000,18.4
Sub-Saharan Africa (inc. Sudan),,2005,38.8
Sub-Saharan Africa (inc. Sudan),,2010,40.8
Sub-Saharan Africa (inc. Sudan),,2015,46.9
Sub-Saharan Africa (inc. Sudan),,2016,48.9
Sub-Saharan Africa (inc. Sudan),,2017,53.1
Sub-Saharan Africa (inc. Sudan),,2018,57.14285714285714
Sub-Saharan Africa (inc. Sudan),,2019,57.14285714285714
Sub-Saharan Africa (inc. Sudan),,2020,57.14285714285714
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2000,0
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,7.7
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,23.1
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2015,38.5
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2016,46.2
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2017,46.2
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2018,46.15384615384615
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2019,46.15384615384615
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2020,46.15384615384615
World,OWID_WRL,2000,21.3
World,OWID_WRL,2005,35.5
World,OWID_WRL,2010,45.2
World,OWID_WRL,2015,54.3
World,OWID_WRL,2016,57.3
World,OWID_WRL,2017,58.9
World,OWID_WRL,2018,59.89847715736041
World,OWID_WRL,2019,60.40609
World,OWID_WRL,2020,61.42132
