Entity,Code,Year,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
Democratic Republic of Congo,COD,2011,3.69672632217407
Democratic Republic of Congo,COD,2014,17.4769840240479
Democratic Republic of Congo,COD,2017,25.8256759643555
Denmark,DNK,2011,99.7367935180664
Denmark,DNK,2014,100
Denmark,DNK,2017,99.9173736572266
Djibouti,DJI,2011,12.2738819122314
Dominican Republic,DOM,2011,38.2046699523926
Dominican Republic,DOM,2014,54.0909881591797
Dominican Republic,DOM,2017,56.2391929626465
East Asia & Pacific,,2011,59.8521118164063
East Asia & Pacific,,2014,71.9971618652344
East Asia & Pacific,,2017,73.693977355957
East Asia & Pacific (excluding high income),,2011,55.0748710632324
East Asia & Pacific (excluding high income),,2014,69.1357727050781
East Asia & Pacific (excluding high income),,2017,70.6188125610352
Ecuador,ECU,2011,36.7355003356934
Ecuador,ECU,2014,46.2124252319336
Ecuador,ECU,2017,51.2460174560547
Egypt,EGY,2011,9.71998023986816
Egypt,EGY,2014,14.1267967224121
Egypt,EGY,2017,32.7843589782715
El Salvador,SLV,2011,13.7646150588989
El Salvador,SLV,2014,36.7197113037109
El Salvador,SLV,2017,30.3529472351074
Estonia,EST,2011,96.8242797851563
Estonia,EST,2014,97.6716690063477
Estonia,EST,2017,97.9939727783203
Eswatini,SWZ,2011,28.5694427490234
Ethiopia,ETH,2014,21.7915821075439
Ethiopia,ETH,2017,34.8275680541992
Euro area,,2011,90.423942565918
Euro area,,2014,94.6796646118164
Euro area,,2017,95.3034896850586
Europe & Central Asia,,2011,69.2895202636719
Europe & Central Asia,,2014,77.7266845703125
Europe & Central Asia,,2017,81.4561996459961
Europe & Central Asia (excluding high income),,2011,44.8187484741211
Europe & Central Asia (excluding high income),,2014,57.7871551513672
Europe & Central Asia (excluding high income),,2017,65.2943344116211
Finland,FIN,2011,99.651252746582
Finland,FIN,2014,100
Finland,FIN,2017,99.7854156494141
France,FRA,2011,96.98388671875
France,FRA,2014,96.5827560424805
France,FRA,2017,94.0040435791016
Gabon,GAB,2011,18.9465179443359
Gabon,GAB,2014,33.0141830444336
Gabon,GAB,2017,58.6019973754883
Georgia,GEO,2011,32.9809684753418
Georgia,GEO,2014,39.6650695800781
Georgia,GEO,2017,61.2304458618164
Germany,DEU,2011,98.1336212158203
Germany,DEU,2014,98.7604064941406
Germany,DEU,2017,99.1411895751953
Ghana,GHA,2011,29.4253520965576
Ghana,GHA,2014,40.5057945251465
Ghana,GHA,2017,57.7175254821777
Greece,GRC,2011,77.9398574829102
Greece,GRC,2014,87.5186462402344
Greece,GRC,2017,85.4665222167969
Guatemala,GTM,2011,22.318883895874
Guatemala,GTM,2014,41.3492164611816
Guatemala,GTM,2017,44.1070098876953
Guinea,GIN,2011,3.68784999847412
Guinea,GIN,2014,6.96001720428467
Guinea,GIN,2017,23.4860343933105
Haiti,HTI,2011,22.0072689056396
Haiti,HTI,2014,18.8586769104004
Haiti,HTI,2017,32.6211853027344
High income,,2011,88.2574462890625
High income,,2014,92.8272476196289
High income,,2017,93.7058715820313
Honduras,HND,2011,20.512264251709
Honduras,HND,2014,31.4863586425781
Honduras,HND,2017,45.3429718017578
Hong Kong,HKG,2011,88.68603515625
Hong Kong,HKG,2014,96.1476364135742
Hong Kong,HKG,2017,95.2832565307617
Hungary,HUN,2011,72.6743240356445
Hungary,HUN,2014,72.2568283081055
Hungary,HUN,2017,74.9449691772461
India,IND,2011,35.2318382263184
India,IND,2014,53.1415519714355
India,IND,2017,79.8753280639648
Indonesia,IDN,2011,19.5819911956787
Indonesia,IDN,2014,36.0589904785156
Indonesia,IDN,2017,48.8574523925781
Iran,IRN,2011,73.6838531494141
Iran,IRN,2014,92.2802505493164
Iran,IRN,2017,93.9819183349609
Iraq,IRQ,2011,10.5537452697754
Iraq,IRQ,2014,10.9723491668701
Iraq,IRQ,2017,22.6651515960693
Ireland,IRL,2011,93.8883514404297
Ireland,IRL,2014,94.7101440429688
Ireland,IRL,2017,95.3404541015625
Israel,ISR,2011,90.468635559082
Israel,ISR,2014,89.9527740478516
Israel,ISR,2017,92.8149642944336
Italy,ITA,2011,71.0085296630859
Italy,ITA,2014,87.3345794677734
Italy,ITA,2017,93.7850189208984
Jamaica,JAM,2011,70.9915008544922
Jamaica,JAM,2014,78.4582061767578
Japan,JPN,2011,96.4220428466797
Japan,JPN,2014,96.6455841064453
Japan,JPN,2017,98.2433929443359
Jordan,JOR,2011,25.471097946167
Jordan,JOR,2014,24.6159114837646
Jordan,JOR,2017,42.4930229187012
Kazakhstan,KAZ,2011,42.105094909668
Kazakhstan,KAZ,2014,53.9074172973633
Kazakhstan,KAZ,2017,58.6975326538086
Kenya,KEN,2011,42.3434562683105
Kenya,KEN,2014,74.6578369140625
Kenya,KEN,2017,81.5675659179688
Kosovo,OWID_KOS,2011,44.3099632263184
Kosovo,OWID_KOS,2014,47.803150177002
Kosovo,OWID_KOS,2017,52.2733993530273
Kuwait,KWT,2011,86.7732467651367
Kuwait,KWT,2014,72.9081802368164
Kuwait,KWT,2017,79.8401565551758
Kyrgyzstan,KGZ,2011,3.75726437568665
Kyrgyzstan,KGZ,2014,18.4706020355225
Kyrgyzstan,KGZ,2017,39.9420013427734
Laos,LAO,2011,26.7734565734863
Laos,LAO,2017,29.05641746521
Latin America & Caribbean,,2011,39.3828887939453
Latin America & Caribbean,,2014,51.9022827148438
Latin America & Caribbean,,2017,55.1437568664551
Latin America & Caribbean (excluding high income),,2011,39.2986183166504
Latin America & Caribbean (excluding high income),,2014,51.4463424682617
Latin America & Caribbean (excluding high income),,2017,54.4080963134766
Latvia,LVA,2011,89.6588287353516
Latvia,LVA,2014,90.2182540893555
Latvia,LVA,2017,93.2224731445313
Lebanon,LBN,2011,37.0273246765137
Lebanon,LBN,2014,46.9271354675293
Lebanon,LBN,2017,44.7514228820801
Lesotho,LSO,2011,18.4970245361328
Lesotho,LSO,2017,45.5638160705566
Liberia,LBR,2011,18.8014659881592
Liberia,LBR,2017,35.7138404846191
Libya,LBY,2017,65.6675186157227
Lithuania,LTU,2011,73.7551956176758
Lithuania,LTU,2014,77.9062881469727
Lithuania,LTU,2017,82.8838500976563
Low & middle income,,2011,41.7560920715332
Low & middle income,,2014,55.1994781494141
Low & middle income,,2017,63.0111236572266
Low income,,2011,13.3605985641479
Low income,,2014,22.8845558166504
Low income,,2017,34.8548431396484
Lower middle income,,2011,28.8557415008545
Lower middle income,,2014,41.8609085083008
Lower middle income,,2017,57.8322486877441
Luxembourg,LUX,2011,94.5867919921875
Luxembourg,LUX,2014,96.1686935424805
Luxembourg,LUX,2017,98.7678527832031
Madagascar,MDG,2011,5.52322292327881
Madagascar,MDG,2014,8.5513391494751
Madagascar,MDG,2017,17.8678703308105
Malawi,MWI,2011,16.5406112670898
Malawi,MWI,2014,18.0924186706543
Malawi,MWI,2017,33.7139320373535
Malaysia,MYS,2011,66.1738128662109
Malaysia,MYS,2014,80.6746215820313
Malaysia,MYS,2017,85.34375
Mali,MLI,2011,8.21385288238525
Mali,MLI,2014,20.0760402679443
Mali,MLI,2017,35.4166793823242
Malta,MLT,2011,95.2700729370117
Malta,MLT,2014,96.327995300293
Malta,MLT,2017,97.3629150390625
Mauritania,MRT,2011,17.4618148803711
Mauritania,MRT,2014,22.8658828735352
Mauritania,MRT,2017,20.8725070953369
Mauritius,MUS,2011,80.1232070922852
Mauritius,MUS,2014,82.2082672119141
Mauritius,MUS,2017,89.842529296875
Mexico,MEX,2011,27.4293842315674
Mexico,MEX,2014,39.1408462524414
Mexico,MEX,2017,36.9319190979004
Middle East & North Africa,,2011,37.6304817199707
Middle East & North Africa,,2017,47.5306854248047
Middle East & North Africa (excluding high income),,2011,32.9032554626465
Middle East & North Africa (excluding high income),,2017,43.4780883789063
Middle income,,2011,43.443603515625
Middle income,,2014,57.5355987548828
Middle income,,2017,65.3129196166992
Moldova,MDA,2011,18.0663204193115
Moldova,MDA,2014,17.7557468414307
Moldova,MDA,2017,43.7856521606445
Mongolia,MNG,2011,77.7170867919922
Mongolia,MNG,2014,91.8217849731445
Mongolia,MNG,2017,92.9711685180664
Montenegro,MNE,2011,50.4380149841309
Montenegro,MNE,2014,59.8260116577148
Montenegro,MNE,2017,68.3617935180664
Morocco,MAR,2017,28.6444606781006
Mozambique,MOZ,2017,41.6701049804688
Myanmar,MMR,2014,22.7841949462891
Myanmar,MMR,2017,25.9922981262207
Namibia,NAM,2014,58.8338966369629
Namibia,NAM,2017,80.6334991455078
Nepal,NPL,2011,25.308557510376
Nepal,NPL,2014,33.8013496398926
Nepal,NPL,2017,45.3855743408203
Netherlands,NLD,2011,98.6585311889648
Netherlands,NLD,2014,99.2956008911133
Netherlands,NLD,2017,99.6376190185547
New Zealand,NZL,2011,99.4367294311523
New Zealand,NZL,2014,99.5255355834961
New Zealand,NZL,2017,99.1784439086914
Nicaragua,NIC,2011,14.2183322906494
Nicaragua,NIC,2014,19.4384841918945
Nicaragua,NIC,2017,30.8619918823242
Niger,NER,2011,1.52169871330261
Niger,NER,2014,6.70658779144287
Niger,NER,2017,15.5232448577881
Nigeria,NGA,2011,29.667537689209
Nigeria,NGA,2014,44.4419860839844
Nigeria,NGA,2017,39.6668586730957
North America,,2011,88.7681503295898
North America,,2014,94.1571502685547
North America,,2017,93.8115386962891
North Macedonia,MKD,2011,73.6989440917969
North Macedonia,MKD,2014,71.7985000610352
North Macedonia,MKD,2017,76.5687713623047
Norway,NOR,2014,100
Norway,NOR,2017,99.7451400756836
OECD members,,2011,89.987060546875
OECD members,,2014,94.0168304443359
OECD members,,2017,94.6795196533203
Oman,OMN,2011,73.6024169921875
Pakistan,PAK,2011,10.3062963485718
Pakistan,PAK,2014,13.0361919403076
Pakistan,PAK,2017,21.2932453155518
Palestine,PSE,2011,19.4280319213867
Palestine,PSE,2014,24.2438068389893
Palestine,PSE,2017,25.0221767425537
Panama,PAN,2011,24.9264945983887
Panama,PAN,2014,43.6621398925781
Panama,PAN,2017,46.4942588806152
Paraguay,PRY,2011,21.7201461791992
Paraguay,PRY,2017,48.6468620300293
Peru,PER,2011,20.4586849212646
Peru,PER,2014,28.9752330780029
Peru,PER,2017,42.6031799316406
Philippines,PHL,2011,26.5559253692627
Philippines,PHL,2014,31.2858352661133
Philippines,PHL,2017,34.4984092712402
Poland,POL,2011,70.1942901611328
Poland,POL,2014,77.862174987793
Poland,POL,2017,86.7333068847656
Portugal,PRT,2011,81.2294235229492
Portugal,PRT,2014,87.3863525390625
Portugal,PRT,2017,92.3409881591797
Puerto Rico,PRI,2014,69.7352676391602
Qatar,QAT,2011,65.8753890991211
Romania,ROU,2011,44.591625213623
Romania,ROU,2014,60.8371543884277
Romania,ROU,2017,57.7518043518066
Russia,RUS,2011,48.1784896850586
Russia,RUS,2014,67.3830947875977
Russia,RUS,2017,75.7588882446289
Rwanda,RWA,2011,32.7638206481934
Rwanda,RWA,2014,42.1169128417969
Rwanda,RWA,2017,50.0197944641113
Saudi Arabia,SAU,2011,46.4206619262695
Saudi Arabia,SAU,2014,69.4095840454102
Saudi Arabia,SAU,2017,71.6981201171875
Senegal,SEN,2011,5.82114124298096
Senegal,SEN,2014,15.4245719909668
Senegal,SEN,2017,42.3440170288086
Serbia,SRB,2011,62.2162208557129
Serbia,SRB,2014,83.0923385620117
Serbia,SRB,2017,71.441047668457
Sierra Leone,SLE,2011,15.3417558670044
Sierra Leone,SLE,2014,15.5800104141235
Sierra Leone,SLE,2017,19.8087596893311
Singapore,SGP,2011,98.2218933105469
Singapore,SGP,2014,96.3526000976563
Singapore,SGP,2017,97.9311676025391
Slovakia,SVK,2011,79.5830154418945
Slovakia,SVK,2014,77.2413940429688
Slovakia,SVK,2017,84.1815872192383
Slovenia,SVN,2011,97.1437149047852
Slovenia,SVN,2014,97.244514465332
Slovenia,SVN,2017,97.5334014892578
Somalia,SOM,2014,38.660327911377
South Africa,ZAF,2011,53.6450729370117
South Africa,ZAF,2014,70.3174514770508
South Africa,ZAF,2017,69.2184906005859
South Asia,,2011,32.3819427490234
South Asia,,2014,46.5409545898438
South Asia,,2017,69.5591125488281
South Korea,KOR,2011,93.0468673706055
South Korea,KOR,2014,94.3608169555664
South Korea,KOR,2017,94.8510131835938
South Sudan,SSD,2017,8.5700044631958
Spain,ESP,2011,93.2776031494141
Spain,ESP,2014,97.575309753418
Spain,ESP,2017,93.7557067871094
Sri Lanka,LKA,2011,68.5261688232422
Sri Lanka,LKA,2014,82.6913833618164
Sri Lanka,LKA,2017,73.6464614868164
Sub-Saharan Africa,,2011,23.245304107666
Sub-Saharan Africa,,2014,34.189380645752
Sub-Saharan Africa,,2017,42.6074295043945
Sub-Saharan Africa (excluding high income),,2011,23.245304107666
Sub-Saharan Africa (excluding high income),,2014,34.189380645752
Sub-Saharan Africa (excluding high income),,2017,42.6074295043945
Sudan,SDN,2011,6.89979791641235
Sudan,SDN,2014,15.2684326171875
Sweden,SWE,2011,98.9919509887695
Sweden,SWE,2014,99.7199172973633
Sweden,SWE,2017,99.7422103881836
Switzerland,CHE,2014,97.9856414794922
Switzerland,CHE,2017,98.4296646118164
Syria,SYR,2011,23.2530860900879
Tajikistan,TJK,2011,2.53485727310181
Tajikistan,TJK,2014,11.4592332839966
Tajikistan,TJK,2017,47.0243949890137
Tanzania,TZA,2011,17.2577686309814
Tanzania,TZA,2014,39.7794761657715
Tanzania,TZA,2017,46.7515640258789
Thailand,THA,2011,72.6664352416992
Thailand,THA,2014,78.1365509033203
Thailand,THA,2017,81.5940017700195
Togo,TGO,2011,10.1852397918701
Togo,TGO,2014,18.2514629364014
Togo,TGO,2017,45.2893524169922
Trinidad and Tobago,TTO,2011,75.9220581054688
Trinidad and Tobago,TTO,2017,80.7833480834961
Tunisia,TUN,2014,27.4323101043701
Tunisia,TUN,2017,36.906566619873
Turkey,TUR,2011,57.6014289855957
Turkey,TUR,2014,56.6774826049805
Turkey,TUR,2017,68.5903091430664
Turkmenistan,TKM,2011,0.404911547899246
Turkmenistan,TKM,2017,40.5764122009277
Uganda,UGA,2011,20.4614200592041
Uganda,UGA,2014,44.4471549987793
Uganda,UGA,2017,59.1991500854492
Ukraine,UKR,2011,41.2685737609863
Ukraine,UKR,2014,52.7148132324219
Ukraine,UKR,2017,62.9023323059082
United Arab Emirates,ARE,2011,59.7323722839355
United Arab Emirates,ARE,2014,83.7433242797852
United Arab Emirates,ARE,2017,88.2103881835938
United Kingdom,GBR,2011,97.201286315918
United Kingdom,GBR,2014,98.9310531616211
United Kingdom,GBR,2017,96.3663177490234
United States,USA,2011,87.9578628540039
United States,USA,2014,93.5838012695313
United States,USA,2017,93.122184753418
Upper middle income,,2011,57.0175285339355
Upper middle income,,2014,71.5957641601563
Upper middle income,,2017,73.0862808227539
Uruguay,URY,2011,23.5426006317139
Uruguay,URY,2014,45.5857276916504
Uruguay,URY,2017,63.8680038452148
Uzbekistan,UZB,2011,22.5039176940918
Uzbekistan,UZB,2014,40.7100143432617
Uzbekistan,UZB,2017,37.0897369384766
Venezuela,VEN,2011,44.1166610717773
Venezuela,VEN,2014,57.0263252258301
Venezuela,VEN,2017,73.4945068359375
Vietnam,VNM,2011,21.3694934844971
Vietnam,VNM,2014,30.9509449005127
Vietnam,VNM,2017,30.7957916259766
World,OWID_WRL,2011,50.6282691955566
World,OWID_WRL,2014,62.0025825500488
World,OWID_WRL,2017,68.51611328125
Yemen,YEM,2011,3.65995383262634
Yemen,YEM,2014,6.44848203659058
Zambia,ZMB,2011,21.3649101257324
Zambia,ZMB,2014,35.6448707580566
Zambia,ZMB,2017,45.8632583618164
Zimbabwe,ZWE,2011,39.6512107849121
Zimbabwe,ZWE,2014,32.3892517089844
Zimbabwe,ZWE,2017,55.2851371765137
