Entity,Code,Year,"12.6.1 - Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number) - EN_SCP_FRMN - Minimum"
South Georgia and the South Sandwich Islands,SGS,2020,0
South Korea,KOR,2020,38
South Sudan,SSD,2020,0
South-eastern Asia,,2020,244
Southern Africa,,2020,170
Southern Asia,,2020,72
Southern Europe,,2020,196
Spain,ESP,2020,72
Sri Lanka,LKA,2020,32
Sub-Saharan Africa,,2020,218
Sub-Saharan Africa (inc. Sudan),,2020,218
Sudan,SDN,2020,0
Suriname,SUR,2020,0
Svalbard and Jan Mayen,SJM,2020,0
Sweden,SWE,2020,120
Switzerland,CHE,2020,89
Syria,SYR,2020,0
Tajikistan,TJK,2020,0
Tanzania,TZA,2020,0
Thailand,THA,2020,53
Timor,TLS,2020,0
Togo,TGO,2020,0
Tokelau,TKL,2020,0
Tonga,TON,2020,0
Trinidad and Tobago,TTO,2020,0
Tunisia,TUN,2020,0
Turkey,TUR,2020,16
Turkmenistan,TKM,2020,0
Turks and Caicos Islands,TCA,2020,0
Tuvalu,TUV,2020,0
Uganda,UGA,2020,9
Ukraine,UKR,2020,2
United Arab Emirates,ARE,2020,17
United Kingdom,GBR,2020,212
United States,USA,2020,475
United States Minor Outlying Islands,UMI,2020,0
United States Virgin Islands,VIR,2020,0
Uruguay,URY,2020,7
Uzbekistan,UZB,2020,0
Vanuatu,VUT,2020,0
Vatican,VAT,2020,0
Venezuela,VEN,2020,2
Vietnam,VNM,2020,27
Wallis and Futuna,WLF,2020,0
Western Africa,,2020,14
Western Asia,,2020,58
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2020,44
Western Europe,,2020,383
Western Sahara,ESH,2020,0
World,OWID_WRL,2020,3375
Yemen,YEM,2020,0
Zambia,ZMB,2020,0
Zimbabwe,ZWE,2020,4
