Entity,Code,Year,12.c.1 - Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%) - ER_FFS_CMPT_GDP
Australia,AUS,2018,0.56192
Australia,AUS,2019,0.55392
Australia,AUS,2020,0.53746
Australia and New Zealand,,2015,0.31135
Australia and New Zealand,,2016,0.49147
Australia and New Zealand,,2017,0.54431
Australia and New Zealand,,2018,0.48918
Australia and New Zealand,,2019,0.48117
Australia and New Zealand,,2020,0.46804
Austria,AUT,2015,0.19719
Austria,AUT,2016,0.20009
Austria,AUT,2017,0.20189
Austria,AUT,2018,0.21303
Austria,AUT,2019,0.21789
Austria,AUT,2020,0.14461
Azerbaijan,AZE,2015,0.8629
Azerbaijan,AZE,2016,2.3597
Azerbaijan,AZE,2017,0.00012
Azerbaijan,AZE,2018,1.71551
Azerbaijan,AZE,2019,1.46575
Azerbaijan,AZE,2020,0.29441
Bahamas,BHS,2015,0.47943
Bahamas,BHS,2016,0.85356
Bahamas,BHS,2017,0.70365
Bahamas,BHS,2018,0.94836
Bahamas,BHS,2019,0.97833
Bahamas,BHS,2020,0.59021
Bahrain,BHR,2015,5.39316
Bahrain,BHR,2016,3.43989
Bahrain,BHR,2017,3.99936
Bahrain,BHR,2018,1.32648
Bahrain,BHR,2019,2.26603
Bahrain,BHR,2020,0.95552
Bangladesh,BGD,2015,0.88074
Bangladesh,BGD,2016,0.53711
Bangladesh,BGD,2017,0.68267
Bangladesh,BGD,2018,1.32003
Bangladesh,BGD,2019,0.72524
Bangladesh,BGD,2020,0.51893
Barbados,BRB,2015,0.17844
Barbados,BRB,2016,0.42004
Barbados,BRB,2017,0
Barbados,BRB,2018,0
Barbados,BRB,2019,0
Barbados,BRB,2020,0
Belarus,BLR,2015,0.03137
Belarus,BLR,2016,0.12764
Belarus,BLR,2017,0.19329
Belarus,BLR,2018,0.145
Belarus,BLR,2019,0.14274
Belarus,BLR,2020,0.12353
Belgium,BEL,2015,0.53458
Belgium,BEL,2016,0.55549
Belgium,BEL,2017,0.67112
Belgium,BEL,2018,0.69576
Belgium,BEL,2019,0.72468
Belgium,BEL,2020,0.73798
Belize,BLZ,2015,0
Belize,BLZ,2016,0
Belize,BLZ,2017,0
Belize,BLZ,2018,0
Belize,BLZ,2019,0
Belize,BLZ,2020,0
Benin,BEN,2015,0.95112
Benin,BEN,2016,0.81528
Benin,BEN,2017,0.90213
Benin,BEN,2018,1.17237
Benin,BEN,2019,1.27828
Benin,BEN,2020,0.91491
Bhutan,BTN,2015,2.89724
Bhutan,BTN,2016,0.58161
Bhutan,BTN,2017,0
Bhutan,BTN,2018,0
Bhutan,BTN,2019,0
Bhutan,BTN,2020,0.03176
Bolivia,BOL,2015,1.82128
Bolivia,BOL,2016,0.99973
Bolivia,BOL,2017,1.55048
Bolivia,BOL,2018,3.03345
Bolivia,BOL,2019,1.6988
Bolivia,BOL,2020,0.77669
Bosnia and Herzegovina,BIH,2015,0.0402
Bosnia and Herzegovina,BIH,2016,0.04731
Bosnia and Herzegovina,BIH,2017,0.07397
Bosnia and Herzegovina,BIH,2018,0.07625
Bosnia and Herzegovina,BIH,2019,0.21814
Bosnia and Herzegovina,BIH,2020,0.08748
Botswana,BWA,2015,0
Botswana,BWA,2016,0
Botswana,BWA,2017,0
Botswana,BWA,2018,0
Botswana,BWA,2019,0
Botswana,BWA,2020,0
Brazil,BRA,2015,0.9317
Brazil,BRA,2016,0.77995
Brazil,BRA,2017,0.56191
Brazil,BRA,2018,0.53456
Brazil,BRA,2019,0.44079
Brazil,BRA,2020,0.34307
Brunei,BRN,2015,1.34005
Brunei,BRN,2016,0.6768
Brunei,BRN,2017,1.21728
Brunei,BRN,2018,1.86257
Brunei,BRN,2019,1.3317
Brunei,BRN,2020,0.46173
Bulgaria,BGR,2015,3.59658
Bulgaria,BGR,2016,2.09673
Bulgaria,BGR,2017,4.37625
Bulgaria,BGR,2018,4.99992
Bulgaria,BGR,2019,4.13414
Bulgaria,BGR,2020,4.16976
Burkina Faso,BFA,2015,0.03027
Burkina Faso,BFA,2016,0.00969
Burkina Faso,BFA,2017,0.03973
Burkina Faso,BFA,2018,0.11755
Burkina Faso,BFA,2019,0.14709
Burkina Faso,BFA,2020,0.09645
Burundi,BDI,2015,0.50777
Burundi,BDI,2016,0.57944
Burundi,BDI,2017,0.50916
Burundi,BDI,2018,0.60977
Burundi,BDI,2019,0.12616
Burundi,BDI,2020,0
Cambodia,KHM,2015,0
Cambodia,KHM,2016,0
Cambodia,KHM,2017,0
Cambodia,KHM,2018,0
Cambodia,KHM,2019,0.15731
Cambodia,KHM,2020,0.11285
Cameroon,CMR,2015,0.1304
Cameroon,CMR,2016,0.06576
Cameroon,CMR,2017,0.08075
Cameroon,CMR,2018,0.18874
Cameroon,CMR,2019,0.21165
Cameroon,CMR,2020,0.17812
Canada,CAN,2015,0.14163
Canada,CAN,2016,0.15413
Canada,CAN,2017,0.15245
Canada,CAN,2018,0.13236
Canada,CAN,2019,0.13133
Canada,CAN,2020,0.20949
Cape Verde,CPV,2015,0
Cape Verde,CPV,2016,0
Cape Verde,CPV,2017,0
Cape Verde,CPV,2018,0
Cape Verde,CPV,2019,0
Cape Verde,CPV,2020,0
Caribbean,,2015,0.2612
Caribbean,,2016,0.19471
Caribbean,,2017,0.20293
Caribbean,,2018,0.26085
Caribbean,,2019,0.2448
Caribbean,,2020,0.14031
Central African Republic,CAF,2015,0
Central African Republic,CAF,2016,0.01134
Central African Republic,CAF,2017,0.03902
Central African Republic,CAF,2018,0.00975
Central African Republic,CAF,2019,0.01151
Central African Republic,CAF,2020,0.25028
Central America,,2015,0.38018
Central America,,2016,1.3207
Central America,,2017,0.36714
Central America,,2018,0.35535
Central America,,2019,1.35138
Central America,,2020,0.8842
Central Asia,,2015,4.71535
Central Asia,,2016,3.97899
Central Asia,,2017,4.97808
Central Asia,,2018,6.2663
Central Asia,,2019,4.27264
Central Asia,,2020,2.95083
Central and Southern Asia,,2015,2.31399
Central and Southern Asia,,2016,1.46658
Central and Southern Asia,,2017,2.03254
Central and Southern Asia,,2018,2.79605
Central and Southern Asia,,2019,2.60736
Central and Southern Asia,,2020,1.22914
Chad,TCD,2015,0.08337
Chad,TCD,2016,0.00481
Chad,TCD,2017,0.13502
Chad,TCD,2018,0.35101
Chad,TCD,2019,0.42236
Chad,TCD,2020,0.33476
Chile,CHL,2015,0.45272
Chile,CHL,2016,0.56098
Chile,CHL,2017,0.65368
Chile,CHL,2018,0.52164
Chile,CHL,2019,0.51761
Chile,CHL,2020,0.44738
China,CHN,2015,0.4218
China,CHN,2016,0.23821
China,CHN,2017,0.2331
China,CHN,2018,0.21732
China,CHN,2019,0.1896
China,CHN,2020,0.19185
"China, Hong Kong Special Administrative Region",,2015,0.01129
"China, Hong Kong Special Administrative Region",,2016,0
"China, Hong Kong Special Administrative Region",,2017,0.18787
"China, Hong Kong Special Administrative Region",,2018,0.43956
"China, Hong Kong Special Administrative Region",,2019,0.55886
"China, Hong Kong Special Administrative Region",,2020,0.22492
Colombia,COL,2015,0.44486
Colombia,COL,2016,0.42446
Colombia,COL,2017,0.56628
Colombia,COL,2018,0.71012
Colombia,COL,2019,0.4528
Colombia,COL,2020,0.27891
Comoros,COM,2015,0
Comoros,COM,2016,0
Comoros,COM,2017,0
Comoros,COM,2018,0.05121
Comoros,COM,2019,0.04532
Comoros,COM,2020,0
Congo,COG,2015,0.06915
Congo,COG,2016,0
Congo,COG,2017,0.00169
Congo,COG,2018,0.04248
Congo,COG,2019,0.04065
Congo,COG,2020,0
Costa Rica,CRI,2015,0.01311
Costa Rica,CRI,2016,0.04047
Costa Rica,CRI,2017,0.13441
Costa Rica,CRI,2018,0.21995
Costa Rica,CRI,2019,0.13578
Costa Rica,CRI,2020,0.24109
Cote d'Ivoire,CIV,2015,0.12984
Cote d'Ivoire,CIV,2016,0
Cote d'Ivoire,CIV,2017,0
Cote d'Ivoire,CIV,2018,0
Cote d'Ivoire,CIV,2019,0
Cote d'Ivoire,CIV,2020,0
Croatia,HRV,2015,0.18231
Croatia,HRV,2016,0.17941
Croatia,HRV,2017,0.24822
Croatia,HRV,2018,0.22919
Croatia,HRV,2019,0.13665
Croatia,HRV,2020,0.07341
Cyprus,CYP,2015,0.13981
Cyprus,CYP,2016,0.71219
Cyprus,CYP,2017,0.29645
Cyprus,CYP,2018,0
Cyprus,CYP,2019,0
Cyprus,CYP,2020,0.27424
Czechia,CZE,2015,0.12396
Czechia,CZE,2016,0.11152
Czechia,CZE,2017,0.12122
Czechia,CZE,2018,0.12543
Czechia,CZE,2019,0.14984
Czechia,CZE,2020,0.13382
Democratic Republic of Congo,COD,2015,0
Democratic Republic of Congo,COD,2016,0
Democratic Republic of Congo,COD,2017,0
Democratic Republic of Congo,COD,2018,0
Democratic Republic of Congo,COD,2019,0
Democratic Republic of Congo,COD,2020,0
Denmark,DNK,2015,0.29304
Denmark,DNK,2016,0.27513
Denmark,DNK,2017,0.36184
Denmark,DNK,2018,0.4012
Denmark,DNK,2019,0.39504
Denmark,DNK,2020,0.44876
Djibouti,DJI,2015,3.07816
Djibouti,DJI,2016,3.01949
Djibouti,DJI,2017,2.58307
Djibouti,DJI,2018,2.57013
Djibouti,DJI,2019,2.65407
Djibouti,DJI,2020,1.76546
Dominica,DMA,2015,0
Dominica,DMA,2016,0
Dominica,DMA,2017,0
Dominica,DMA,2018,0
Dominica,DMA,2019,0
Dominica,DMA,2020,0
Dominican Republic,DOM,2015,0.02892
Dominican Republic,DOM,2016,0
Dominican Republic,DOM,2017,0
Dominican Republic,DOM,2018,0
Dominican Republic,DOM,2019,0.01463
Dominican Republic,DOM,2020,0.00078
Eastern Africa,,2015,0.29248
Eastern Africa,,2016,0.21662
Eastern Africa,,2017,0.36991
Eastern Africa,,2018,0.43277
Eastern Africa,,2019,0.34466
Eastern Africa,,2020,0.2513
Eastern Asia,,2015,0.28677
Eastern Asia,,2016,0.17534
Eastern Asia,,2017,0.17366
Eastern Asia,,2018,0.16709
Eastern Asia,,2019,0.1524
Eastern Asia,,2020,0.15285
Eastern Europe,,2015,0.40127
Eastern Europe,,2016,0.4874
Eastern Europe,,2017,0.68244
Eastern Europe,,2018,0.95536
Eastern Europe,,2019,0.77653
Eastern Europe,,2020,0.61604
Eastern and South-Eastern Asia,,2015,0.34792
Eastern and South-Eastern Asia,,2016,0.23576
Eastern and South-Eastern Asia,,2017,0.23507
Eastern and South-Eastern Asia,,2018,0.24437
Eastern and South-Eastern Asia,,2019,0.23345
Eastern and South-Eastern Asia,,2020,0.25048
Ecuador,ECU,2015,2.56317
Ecuador,ECU,2016,1.56597
Ecuador,ECU,2017,2.45375
Ecuador,ECU,2018,3.50837
Ecuador,ECU,2019,2.54171
Ecuador,ECU,2020,0.76287
Egypt,EGY,2015,5.0714
Egypt,EGY,2016,3.49138
Egypt,EGY,2017,5.36048
Egypt,EGY,2018,6.48609
Egypt,EGY,2019,3.73367
Egypt,EGY,2020,1.9917
El Salvador,SLV,2015,1.2037
El Salvador,SLV,2016,1.04339
El Salvador,SLV,2017,1.464
El Salvador,SLV,2018,1.80905
El Salvador,SLV,2019,1.32163
El Salvador,SLV,2020,1.22347
Equatorial Guinea,GNQ,2015,0.02123
Equatorial Guinea,GNQ,2016,0.02591
Equatorial Guinea,GNQ,2017,0.15515
Equatorial Guinea,GNQ,2018,0.59127
Equatorial Guinea,GNQ,2019,0.59925
Equatorial Guinea,GNQ,2020,0.03653
Eritrea,ERI,2015,0
Eritrea,ERI,2016,0.00181
Eritrea,ERI,2017,0.00209
Eritrea,ERI,2018,0.00261
Eritrea,ERI,2019,0.00258
Eritrea,ERI,2020,0
Estonia,EST,2015,0.24986
Estonia,EST,2016,0.17494
Estonia,EST,2017,0.19475
Estonia,EST,2018,0.18595
Estonia,EST,2019,0.18789
Estonia,EST,2020,0.15124
Eswatini,SWZ,2015,0
Eswatini,SWZ,2016,0
Eswatini,SWZ,2017,0
Eswatini,SWZ,2018,0
Eswatini,SWZ,2019,0
Eswatini,SWZ,2020,0
Ethiopia,ETH,2015,0.78904
Ethiopia,ETH,2016,0.75537
Ethiopia,ETH,2017,1.09403
Ethiopia,ETH,2018,1.48586
Ethiopia,ETH,2019,1.07542
Ethiopia,ETH,2020,0.61965
Europe,,2015,0.40067
Europe,,2016,0.37415
Europe,,2017,0.4016
Europe,,2018,0.44741
Europe,,2019,0.41769
Europe,,2020,0.39519
Europe and Northern America,,2015,0.22562
Europe and Northern America,,2016,0.20762
Europe and Northern America,,2017,0.22039
Europe and Northern America,,2018,0.24363
Europe and Northern America,,2019,0.23306
Europe and Northern America,,2020,0.22188
Fiji,FJI,2015,0
Fiji,FJI,2016,0.57958
Fiji,FJI,2017,0.73599
Fiji,FJI,2018,0.93579
Fiji,FJI,2019,0.66517
Fiji,FJI,2020,0.07236
Finland,FIN,2015,0.57997
Finland,FIN,2016,0.59875
Finland,FIN,2017,0.59953
Finland,FIN,2018,0.65411
Finland,FIN,2019,0.57659
Finland,FIN,2020,0.60199
France,FRA,2015,0.21538
France,FRA,2016,0.24277
France,FRA,2017,0.27789
France,FRA,2018,0.35892
France,FRA,2019,0.36064
France,FRA,2020,0.37443
Gabon,GAB,2015,0.96255
Gabon,GAB,2016,0.8446
Gabon,GAB,2017,0.33545
Gabon,GAB,2018,0.31889
Gabon,GAB,2019,0.18083
Gabon,GAB,2020,0.28658
Gambia,GMB,2015,0
Gambia,GMB,2016,0
Gambia,GMB,2017,0
Gambia,GMB,2018,0
Gambia,GMB,2019,0
Gambia,GMB,2020,0
Georgia,GEO,2015,0.0701
Georgia,GEO,2016,0.05189
Georgia,GEO,2017,0.05294
Georgia,GEO,2018,0.05297
Georgia,GEO,2019,0.05233
Georgia,GEO,2020,0.3233
Germany,DEU,2015,0.28441
Germany,DEU,2016,0.29626
Germany,DEU,2017,0.26967
Germany,DEU,2018,0.27663
Germany,DEU,2019,0.24309
Germany,DEU,2020,0.28014
Ghana,GHA,2015,0.07685
Ghana,GHA,2016,0.05491
Ghana,GHA,2017,0.16555
Ghana,GHA,2018,0.2391
Ghana,GHA,2019,0.19819
Ghana,GHA,2020,0.31395
Greece,GRC,2015,1.25873
Greece,GRC,2016,1.10576
Greece,GRC,2017,1.20575
Greece,GRC,2018,1.18058
Greece,GRC,2019,1.08306
Greece,GRC,2020,1.17251
Grenada,GRD,2015,0
Grenada,GRD,2016,0
Grenada,GRD,2017,0
Grenada,GRD,2018,0
Grenada,GRD,2019,0
Grenada,GRD,2020,0
Guatemala,GTM,2015,0.05505
Guatemala,GTM,2016,0.05688
Guatemala,GTM,2017,0.23935
Guatemala,GTM,2018,0.30485
Guatemala,GTM,2019,0.13192
Guatemala,GTM,2020,0.00071
Guinea,GIN,2015,0.00296
Guinea,GIN,2016,0.00382
Guinea,GIN,2017,0.00426
Guinea,GIN,2018,0.01087
Guinea,GIN,2019,0.01118
Guinea,GIN,2020,0.00256
Guinea-Bissau,GNB,2015,0
Guinea-Bissau,GNB,2016,0
Guinea-Bissau,GNB,2017,0
Guinea-Bissau,GNB,2018,0.07527
Guinea-Bissau,GNB,2019,0.14046
Guinea-Bissau,GNB,2020,0.03385
Guyana,GUY,2015,0
Guyana,GUY,2016,0.00083
Guyana,GUY,2017,0.0009
Guyana,GUY,2018,0.00097
Guyana,GUY,2019,0.00096
Guyana,GUY,2020,0.00063
Haiti,HTI,2015,0
Haiti,HTI,2016,0
Haiti,HTI,2017,0
Haiti,HTI,2018,0.46093
Haiti,HTI,2019,1.37572
Haiti,HTI,2020,0.21707
Honduras,HND,2015,0.30831
Honduras,HND,2016,0.68069
Honduras,HND,2017,0.72252
Honduras,HND,2018,0.29817
Honduras,HND,2019,0.29499
Honduras,HND,2020,0.23162
Hungary,HUN,2015,0.33993
Hungary,HUN,2016,0.23486
Hungary,HUN,2017,0.2511
Hungary,HUN,2018,0.25758
Hungary,HUN,2019,0.20669
Hungary,HUN,2020,0.21007
Iceland,ISL,2015,0
Iceland,ISL,2016,0
Iceland,ISL,2017,0
Iceland,ISL,2018,0
Iceland,ISL,2019,0
Iceland,ISL,2020,0
India,IND,2015,0.59235
India,IND,2016,0.44348
India,IND,2017,0.44451
India,IND,2018,0.49708
India,IND,2019,0.36045
India,IND,2020,0.26867
Indonesia,IDN,2015,1.19636
Indonesia,IDN,2016,1.05861
Indonesia,IDN,2017,0.81246
Indonesia,IDN,2018,0.79551
Indonesia,IDN,2019,1.15297
Indonesia,IDN,2020,1.62628
Iran,IRN,2015,11.36441
Iran,IRN,2016,6.25462
Iran,IRN,2017,10.0473
Iran,IRN,2018,15.52977
Iran,IRN,2019,19.2038
Iran,IRN,2020,6.74388
Iraq,IRQ,2015,3.04603
Iraq,IRQ,2016,2.13793
Iraq,IRQ,2017,3.57286
Iraq,IRQ,2018,5.32513
Iraq,IRQ,2019,3.77942
Iraq,IRQ,2020,2.59117
Ireland,IRL,2015,0.77099
Ireland,IRL,2016,0.74345
Ireland,IRL,2017,0.74707
Ireland,IRL,2018,0.78172
Ireland,IRL,2019,0.71175
Ireland,IRL,2020,0.54562
Israel,ISR,2015,0.31353
Israel,ISR,2016,0.31713
Israel,ISR,2017,0.33612
Israel,ISR,2018,0.33707
Israel,ISR,2019,0.32988
Israel,ISR,2020,0.31748
Italy,ITA,2015,0.62509
Italy,ITA,2016,0.59894
Italy,ITA,2017,0.51345
Italy,ITA,2018,0.57884
Italy,ITA,2019,0.59093
Italy,ITA,2020,0.59057
Jamaica,JAM,2015,0.00248
Jamaica,JAM,2016,0.00259
Jamaica,JAM,2017,0.00269
Jamaica,JAM,2018,0.0028
Jamaica,JAM,2019,0.00279
Jamaica,JAM,2020,0.0028
Japan,JPN,2015,0.0646
Japan,JPN,2016,0.07404
Japan,JPN,2017,0.05896
Japan,JPN,2018,0.04899
Japan,JPN,2019,0.05283
Japan,JPN,2020,0.06603
Jordan,JOR,2015,0.81058
Jordan,JOR,2016,0
Jordan,JOR,2017,0
Jordan,JOR,2018,0.37102
Jordan,JOR,2019,0.37097
Jordan,JOR,2020,0.31127
Kazakhstan,KAZ,2015,1.74756
Kazakhstan,KAZ,2016,2.29583
Kazakhstan,KAZ,2017,2.80934
Kazakhstan,KAZ,2018,3.9023
Kazakhstan,KAZ,2019,2.8957
Kazakhstan,KAZ,2020,2.07325
Kenya,KEN,2015,0
Kenya,KEN,2016,0
Kenya,KEN,2017,0
Kenya,KEN,2018,0
Kenya,KEN,2019,0
Kenya,KEN,2020,0
Kiribati,KIR,2015,0
Kiribati,KIR,2016,0
Kiribati,KIR,2017,0
Kiribati,KIR,2018,0
Kiribati,KIR,2019,0
Kiribati,KIR,2020,0
Kosovo,OWID_KOS,2015,0
Kosovo,OWID_KOS,2016,0
Kosovo,OWID_KOS,2017,0.38555
Kosovo,OWID_KOS,2018,1.03029
Kosovo,OWID_KOS,2019,1.32198
Kosovo,OWID_KOS,2020,1.02412
Kuwait,KWT,2015,4.78051
Kuwait,KWT,2016,3.99719
Kuwait,KWT,2017,4.62016
Kuwait,KWT,2018,5.3088
Kuwait,KWT,2019,3.79516
Kuwait,KWT,2020,2.3217
Kyrgyzstan,KGZ,2015,6.50282
Kyrgyzstan,KGZ,2016,4.67837
Kyrgyzstan,KGZ,2017,6.82048
Kyrgyzstan,KGZ,2018,6.77747
Kyrgyzstan,KGZ,2019,7.01922
Kyrgyzstan,KGZ,2020,4.73245
Landlocked developing countries (LLDCs),,2015,2.22602
Landlocked developing countries (LLDCs),,2016,1.96191
Landlocked developing countries (LLDCs),,2017,2.30676
Landlocked developing countries (LLDCs),,2018,3.03497
Landlocked developing countries (LLDCs),,2019,2.11439
Landlocked developing countries (LLDCs),,2020,1.40664
Laos,LAO,2015,0
Laos,LAO,2016,0
Laos,LAO,2017,0.17728
Laos,LAO,2018,0.28828
Laos,LAO,2019,0.33311
Laos,LAO,2020,0.42797
Latin America and the Caribbean,,2015,1.21483
Latin America and the Caribbean,,2016,1.30399
Latin America and the Caribbean,,2017,0.92746
Latin America and the Caribbean,,2018,0.93846
Latin America and the Caribbean,,2019,0.92924
Latin America and the Caribbean,,2020,0.61051
Latvia,LVA,2015,0.99774
Latvia,LVA,2016,0.9398
Latvia,LVA,2017,0.86296
Latvia,LVA,2018,0.62204
Latvia,LVA,2019,0.58814
Latvia,LVA,2020,0.51994
Least developed countries (LDCs),,2015,0.59556
Least developed countries (LDCs),,2016,0.40481
Least developed countries (LDCs),,2017,0.64184
Least developed countries (LDCs),,2018,1.36599
Least developed countries (LDCs),,2019,0.77417
Least developed countries (LDCs),,2020,0.69567
Lebanon,LBN,2015,9.38131
Lebanon,LBN,2016,7.82902
Lebanon,LBN,2017,10.12312
Lebanon,LBN,2018,12.69426
Lebanon,LBN,2019,13.13085
Lebanon,LBN,2020,9.92319
Lesotho,LSO,2015,0.08879
Lesotho,LSO,2016,0.08581
Lesotho,LSO,2017,0.07973
Lesotho,LSO,2018,0.12771
Lesotho,LSO,2019,0.08023
Lesotho,LSO,2020,0.09056
Liberia,LBR,2015,0
Liberia,LBR,2016,0
Liberia,LBR,2017,0
Liberia,LBR,2018,0
Liberia,LBR,2019,0
Liberia,LBR,2020,0
Libya,LBY,2015,7.46414
Libya,LBY,2016,6.85584
Libya,LBY,2017,6.13568
Libya,LBY,2018,7.31596
Libya,LBY,2019,8.52451
Libya,LBY,2020,16.65472
Lithuania,LTU,2015,0.47879
Lithuania,LTU,2016,0.59335
Lithuania,LTU,2017,0.58841
Lithuania,LTU,2018,0.62938
Lithuania,LTU,2019,0.65355
Lithuania,LTU,2020,0.52994
Luxembourg,LUX,2015,0.0037
Luxembourg,LUX,2016,0.00351
Luxembourg,LUX,2017,0.00354
Luxembourg,LUX,2018,0.00363
Luxembourg,LUX,2019,0.00333
Luxembourg,LUX,2020,0.00346
Macao,MAC,2015,0
Macao,MAC,2016,0
Macao,MAC,2017,0
Macao,MAC,2018,0
Macao,MAC,2019,0
Macao,MAC,2020,0
Madagascar,MDG,2015,0.07946
Madagascar,MDG,2016,0.12167
Madagascar,MDG,2017,0.67971
Madagascar,MDG,2018,0.65925
Madagascar,MDG,2019,0.46468
Madagascar,MDG,2020,0.95139
Malawi,MWI,2015,0
Malawi,MWI,2016,0
Malawi,MWI,2017,0
Malawi,MWI,2018,0
Malawi,MWI,2019,0
Malawi,MWI,2020,0
Malaysia,MYS,2015,0.11499
Malaysia,MYS,2016,0.45429
Malaysia,MYS,2017,0.57116
Malaysia,MYS,2018,0.51489
Malaysia,MYS,2019,0.30979
Malaysia,MYS,2020,0.02881
Maldives,MDV,2015,0.86972
Maldives,MDV,2016,0.60771
Maldives,MDV,2017,2.95347
Maldives,MDV,2018,2.76624
Maldives,MDV,2019,2.49223
Maldives,MDV,2020,1.53797
Mali,MLI,2015,0.00216
Mali,MLI,2016,0.00204
Mali,MLI,2017,0.00197
Mali,MLI,2018,0.22934
Mali,MLI,2019,0.25806
Mali,MLI,2020,0.11202
Malta,MLT,2015,0
Malta,MLT,2016,0
Malta,MLT,2017,0
Malta,MLT,2018,0
Malta,MLT,2019,0
Malta,MLT,2020,0
Mauritania,MRT,2015,1.46916
Mauritania,MRT,2016,1.34163
Mauritania,MRT,2017,1.62965
Mauritania,MRT,2018,3.01762
Mauritania,MRT,2019,3.16842
Mauritania,MRT,2020,3.10917
Mauritius,MUS,2015,0
Mauritius,MUS,2016,0
Mauritius,MUS,2017,0.46541
Mauritius,MUS,2018,0.6355
Mauritius,MUS,2019,0.71263
Mauritius,MUS,2020,0.40032
Melanesia,OWID_MNS,2015,0
Melanesia,OWID_MNS,2016,0.07207
Melanesia,OWID_MNS,2017,0.09329
Melanesia,OWID_MNS,2018,0.60882
Melanesia,OWID_MNS,2019,0.78497
Melanesia,OWID_MNS,2020,0.8792
Mexico,MEX,2015,0.42218
Mexico,MEX,2016,1.54414
Mexico,MEX,2017,0.37758
Mexico,MEX,2018,0.35595
Mexico,MEX,2019,1.5861
Mexico,MEX,2020,1.0267
Micronesia (country),FSM,2015,0
Micronesia (country),FSM,2016,0
Micronesia (country),FSM,2017,0
Micronesia (country),FSM,2018,0
Micronesia (country),FSM,2019,0
Micronesia (country),FSM,2020,0.08568
Middle Africa,,2015,0.16596
Middle Africa,,2016,0.27245
Middle Africa,,2017,0.15199
Middle Africa,,2018,0.89276
Middle Africa,,2019,0.56384
Middle Africa,,2020,0.71795
Moldova,MDA,2015,0.83464
Moldova,MDA,2016,0.80005
Moldova,MDA,2017,0.8266
Moldova,MDA,2018,0.86812
Moldova,MDA,2019,0.73697
Moldova,MDA,2020,0.80368
Mongolia,MNG,2015,0
Mongolia,MNG,2016,0
Mongolia,MNG,2017,0.22618
Mongolia,MNG,2018,0.20466
Mongolia,MNG,2019,0.20964
Mongolia,MNG,2020,0.14053
Montenegro,MNE,2015,0
Montenegro,MNE,2016,0
Montenegro,MNE,2017,0
Montenegro,MNE,2018,0
Montenegro,MNE,2019,0
Montenegro,MNE,2020,0
Montserrat,MSR,2015,0
Montserrat,MSR,2016,0
Montserrat,MSR,2017,0
Montserrat,MSR,2018,0
Montserrat,MSR,2019,0
Montserrat,MSR,2020,0
Morocco,MAR,2015,0
Morocco,MAR,2016,0
Morocco,MAR,2017,0.03031
Morocco,MAR,2018,0.10674
Morocco,MAR,2019,0.13343
Morocco,MAR,2020,0.07798
Mozambique,MOZ,2015,0.91893
Mozambique,MOZ,2016,0
Mozambique,MOZ,2017,0
Mozambique,MOZ,2018,0
