Entity,Code,Year,"12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Recycling","12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Other type of waste management","12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Incineration","12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Landfilling"
Armenia,ARM,2015,3766.80005,,289.70001,551020.0625
Armenia,ARM,2016,12948.29981,,604.90002,601917.375
Armenia,ARM,2017,1636.90002,,582.79999,535594
Armenia,ARM,2018,4344.5,,1680.40002,504833.59375
Armenia,ARM,2019,16063,,929.40002,553544.625
Azerbaijan,AZE,2000,11435,,,15348
Azerbaijan,AZE,2001,395,,,4532
Azerbaijan,AZE,2002,728,,1007,1607
Azerbaijan,AZE,2003,1359,,9747,386
Azerbaijan,AZE,2004,3836,,969,100360
Azerbaijan,AZE,2005,4911,,38,622
Azerbaijan,AZE,2006,3263,,25999,1406220
Azerbaijan,AZE,2007,4926,,1241,1510
Azerbaijan,AZE,2008,4741,,8599,55840
Azerbaijan,AZE,2009,18739.09961,,10401.2002,144517.79688
Azerbaijan,AZE,2010,5548.2002,,58429.10156,87314.60156
Azerbaijan,AZE,2011,3619.1001,,37132.10156,97530.29688
Azerbaijan,AZE,2012,6316.6001,,113898.39844,84996.20313
Azerbaijan,AZE,2013,618.40002,,86426.5,65401.10156
Azerbaijan,AZE,2014,3163.3999,,111309.5,414633.59375
Azerbaijan,AZE,2015,5174.8999,,210858,166965.09375
Azerbaijan,AZE,2016,47845,,25923,634000
Azerbaijan,AZE,2017,5452,,35772,175613
Azerbaijan,AZE,2018,5725,,64222,213653
Azerbaijan,AZE,2019,13484,,66171,174795
Bahrain,BHR,2010,0,0,1739,29318
Bahrain,BHR,2011,0,8990,1955.47095,29642.66992
Bahrain,BHR,2012,0,10497,2119.22998,35515.80078
Bahrain,BHR,2013,0,1082,2341.46289,37736.39844
Bahrain,BHR,2014,0,903,2554.14111,53444.89844
Bahrain,BHR,2015,0,3412,2225.35889,7213.87012
Bahrain,BHR,2016,0,0,1790.80505,7365.2002
Bahrain,BHR,2017,0,0,1600,5105
Bahrain,BHR,2018,2777.8999,0,436.44,27924.5293
Bahrain,BHR,2019,25123,0,1489.18994,23315.75
Bahrain,BHR,2002,,,1095,4466
Bahrain,BHR,2003,,,1024,5661
Bahrain,BHR,2004,,,963,5430
Bahrain,BHR,2005,,,1051,10626
Bahrain,BHR,2006,,,893,11164
Bahrain,BHR,2007,,,1290,7432
Bahrain,BHR,2001,,,,31942
Bangladesh,BGD,2007,0,0,996,18924
Bangladesh,BGD,2012,0,,1447.30005,27498.69922
Belarus,BLR,2005,227400,81306,50200,19200
Belarus,BLR,2006,252900,57315,54200,16800
Belarus,BLR,2007,344700,63011,41400,34300
Belarus,BLR,2008,437100,50339,39600,61200
Belarus,BLR,2009,675200,50711,34600,100000
Belarus,BLR,2010,774900,52217,46000,136600
Belarus,BLR,2011,827600,42222,57100,83700
Belarus,BLR,2012,1324330,33465,29050,123680
Belarus,BLR,2013,1091670,28511,21250,124720
Belarus,BLR,2014,1242210,28387,59290,153560
Belarus,BLR,2015,889780,39744,24510,99280
Belarus,BLR,2016,1201580,38479,33810,115960
Belarus,BLR,2017,1047870,9428,49820,110730
Belarus,BLR,2018,2041936,9157,29069,123918
Belarus,BLR,2019,1505210,9460,30330,177170
Belize,BLZ,2000,,,775,
Benin,BEN,2002,,,1698,0
Benin,BEN,2000,,,,0
Benin,BEN,2001,,,,0
Bermuda,BMU,2010,365,,5,215
Bermuda,BMU,2011,352,,7,242
Bermuda,BMU,2012,362,,5,209
Bermuda,BMU,2013,356,,8,179
Bermuda,BMU,2014,376,,5,234
Bermuda,BMU,2015,401,,6.6,261.5
Bermuda,BMU,2016,400,,10,190
Bermuda,BMU,2017,310,,5,215
Bermuda,BMU,2018,633,,0,729
Bermuda,BMU,2019,642,,0,1056
Bhutan,BTN,2017,0,12544,428,0
Botswana,BWA,2013,,,386.67999,
Botswana,BWA,2015,,,719.19,
Botswana,BWA,2017,,,1061.53796,
Cameroon,CMR,2004,206.3,,202.2,5307
Cameroon,CMR,2005,14.3,,369.5,9046
Cameroon,CMR,2006,357.79999,,311.10001,9675
Cameroon,CMR,2007,410.79999,,299.79999,7492
Cameroon,CMR,2008,365.29999,,355,8663
Cameroon,CMR,2009,434.39999,,1148.19995,7133
Chile,CHL,2000,,401587,,
Chile,CHL,2001,,263994,,
Chile,CHL,2002,,183416,,
Chile,CHL,2003,,88188,,
Chile,CHL,2004,,65551,,
Chile,CHL,2005,,45211,,
Chile,CHL,2006,,0,,
Chile,CHL,2007,,0,,
Chile,CHL,2008,,29958.59961,,
Chile,CHL,2009,,85472,,
"China, Hong Kong Special Administrative Region",,2000,3258,0,12054,25620
"China, Hong Kong Special Administrative Region",,2001,3547,0,10364,10950
"China, Hong Kong Special Administrative Region",,2002,2969,0,10182,8760
"China, Hong Kong Special Administrative Region",,2003,5116,0,9342,11315
"China, Hong Kong Special Administrative Region",,2004,3154,0,9021,6954
"China, Hong Kong Special Administrative Region",,2005,4234,0,9037,5475
"China, Hong Kong Special Administrative Region",,2006,4882,0,7487,6935
"China, Hong Kong Special Administrative Region",,2007,9118,0,7220,5840
"China, Hong Kong Special Administrative Region",,2008,7381,0,6779,6789
"China, Hong Kong Special Administrative Region",,2009,8396,0,6325,7361
"China, Hong Kong Special Administrative Region",,2010,10371,0,5396,8150
"China, Hong Kong Special Administrative Region",,2011,12420,217447,6029,5805
"China, Hong Kong Special Administrative Region",,2012,12872,55370.60156,5930,4170
"China, Hong Kong Special Administrative Region",,2013,12766,35874.10156,6376,4118
"China, Hong Kong Special Administrative Region",,2014,11680,15010.2002,6480,4521
"China, Hong Kong Special Administrative Region",,2015,12918,0,8266,3094
Croatia,HRV,2000,,0,,
Croatia,HRV,2008,,58697,,
Croatia,HRV,2010,,40000,,
Croatia,HRV,2011,,2677462,,
Croatia,HRV,2012,,105874,,
Cuba,CUB,2010,6956,6427427,16924,12421
Cuba,CUB,2011,5582,22414692,15423,7300
Cuba,CUB,2012,5334,234599.40625,11678,118909
Cuba,CUB,2013,17876,879973.6875,15423,170000
Cuba,CUB,2014,25055,532.90002,21194,116000
Cuba,CUB,2015,20492,2888.30005,25718,137887
Cuba,CUB,2016,25289,32818.60156,7493,7803
Cuba,CUB,2017,16245,33048.19922,9269,5469
Cuba,CUB,2018,8325,,15053,8023
Cuba,CUB,2019,11201,,12164,6076
Dominica,DMA,2002,,,,502
Fiji,FJI,2006,,,,3928.29004
Fiji,FJI,2007,,,,2957.42993
Fiji,FJI,2008,,,,3276.38989
Fiji,FJI,2009,,,,3682.02002
Fiji,FJI,2010,,,,3510.18994
Fiji,FJI,2011,,,,3946.79004
Fiji,FJI,2012,,,,2883.40991
Fiji,FJI,2013,,,,6678.57275
Fiji,FJI,2014,,,,10765.0166
Fiji,FJI,2015,,,,11920.83594
Fiji,FJI,2016,,,,12956.52051
Fiji,FJI,2017,,,,14332.50684
French Guiana,GUF,2008,1,,110,
French Guiana,GUF,2013,847,0,361,83
French Guiana,GUF,2014,1049,0,494,139
French Guiana,GUF,2017,0,,274,0
French Guiana,GUF,2018,153,,254,0
French Guiana,GUF,2019,0,,203,0
French Guiana,GUF,2007,,,76,
Georgia,GEO,2004,0,,0,0
Georgia,GEO,2005,0,,0,0
Guadeloupe,GLP,2013,14650,0,243,151
Guadeloupe,GLP,2014,16247,0,262,12
Guadeloupe,GLP,2015,12709,0,305,0
Guadeloupe,GLP,2016,12994,0,322,505
Guadeloupe,GLP,2017,12691,,285,220
Guadeloupe,GLP,2018,16610,,306,0
Guadeloupe,GLP,2019,19729,,801,0
Guadeloupe,GLP,2007,,0,1385,3000
Guadeloupe,GLP,2008,,0,1300,7748
Guatemala,GTM,2009,3600,,,
Guatemala,GTM,2010,3620,20470682,1347,3
Guatemala,GTM,2011,10200,,,4
Guatemala,GTM,2012,6320.8999,,,4
Guatemala,GTM,2013,10276.08008,,,
Guatemala,GTM,2014,20363.63086,,,
Guatemala,GTM,2015,1366.51001,,,
Guatemala,GTM,2016,4883.62988,,,
Guatemala,GTM,2017,12363.62988,,,
Guatemala,GTM,2003,,,376,
Guatemala,GTM,2004,,,833,
Guatemala,GTM,2005,,,732,
Guatemala,GTM,2006,,,709,
Guatemala,GTM,2007,,,846,
Guatemala,GTM,2008,,,917,
India,IND,2000,1429281,,118941,5250173
India,IND,2008,3088387,,415794,2728326
India,IND,2011,3980639,,601842,3321147
India,IND,2014,3254904,,803549,3364549
India,IND,2015,3152023,,829923,3821571
India,IND,2016,1092050.2,,241173.874,1792714
India,IND,2017,1000535,0,279502,2563267
India,IND,2018,1216547,,160345.57,1930754.34
India,IND,2019,1295738,,308377,3063950
India,IND,2012,,,92954,1997733
Iraq,IRQ,2010,0,11897,408,15096
Iraq,IRQ,2015,0,10944,1049,16645
Israel,ISR,2000,,66,,
Israel,ISR,2001,,0,,
Israel,ISR,2002,,0,,
Israel,ISR,2003,,0,,
Israel,ISR,2004,,0,,
Israel,ISR,2005,,0,,
Israel,ISR,2006,,0,,
Israel,ISR,2007,,0,,
Israel,ISR,2008,,0,,
Jordan,JOR,2003,40244.60156,692,496.29999,57.2
Jordan,JOR,2004,0,15562.96973,383.70001,0
Jordan,JOR,2008,17152.26172,29724.99805,31.689,382.638
Jordan,JOR,2009,98345.20313,480,286.20001,6883.6001
Jordan,JOR,2010,51401.80078,500,1,10026.29981
Jordan,JOR,2011,323917.3125,505,10.1,26539.40039
Jordan,JOR,2013,79381,450,,880002
Jordan,JOR,2014,4910,11919,,495
Kazakhstan,KAZ,2004,17680272,42994.64063,91314,170632.29688
Kazakhstan,KAZ,2005,10862084,167192.6875,56099.83594,104829.99219
Kazakhstan,KAZ,2006,37880576,179286.28125,195643.32813,365585.53125
Kazakhstan,KAZ,2007,237619312,14351.78027,1227241.875,2168479.75
Kazakhstan,KAZ,2008,280732896,15201.32031,1449912.25,2561928
Kazakhstan,KAZ,2009,59162456,17249.69922,305558.6875,570977
Kazakhstan,KAZ,2010,19586874,14751,648117.5,4484692
Kazakhstan,KAZ,2011,45027776,144268.26563,577116.8125,8948527
Kazakhstan,KAZ,2012,94720088,4878.02002,908047.25,980434.9375
Kazakhstan,KAZ,2013,81826296,55712,511195.25,484519.59375
Kazakhstan,KAZ,2014,110138368,137166.59375,416856.03125,581783.6875
Kazakhstan,KAZ,2015,74131552,55954.12109,421800.03125,676513.875
Kazakhstan,KAZ,2016,33279666,2008500,378135.65625,679065.1875
Kazakhstan,KAZ,2017,190401152,9466,384536.90625,454900
Kazakhstan,KAZ,2018,29625610,32809.94141,367620.40625,21854200
Kazakhstan,KAZ,2019,36087352,21268.36914,557954.8125,26465500
Kenya,KEN,2017,,0,8156.2002,5.6
Kuwait,KWT,2005,20000,,,
Kuwait,KWT,2006,,,12480,
Kuwait,KWT,2007,,,12480,
Kuwait,KWT,2009,,,1994,
Kuwait,KWT,2010,,,1245,
Kuwait,KWT,2011,,,2592,
Kuwait,KWT,2012,,,2351,
Kuwait,KWT,2013,,,2945,
Kuwait,KWT,2017,,,4955,
Kyrgyzstan,KGZ,2000,4011426,,,
Kyrgyzstan,KGZ,2001,35,,,
Kyrgyzstan,KGZ,2002,39,,,
Kyrgyzstan,KGZ,2003,5327,,,
Kyrgyzstan,KGZ,2004,307,,,
Kyrgyzstan,KGZ,2005,1555,,,
Kyrgyzstan,KGZ,2006,1258,,,
Kyrgyzstan,KGZ,2007,7909705,,,
Kyrgyzstan,KGZ,2008,3006,,,
Kyrgyzstan,KGZ,2009,19342756,,,
Kyrgyzstan,KGZ,2010,187180.79688,,,
Kyrgyzstan,KGZ,2011,82317.14063,,,
Kyrgyzstan,KGZ,2012,53942.76953,,,
Kyrgyzstan,KGZ,2013,3131828.75,,,
Kyrgyzstan,KGZ,2014,4983976,,,
Kyrgyzstan,KGZ,2015,4950896.5,,,
Kyrgyzstan,KGZ,2016,11410.20508,,4046918.25,
Kyrgyzstan,KGZ,2017,18566.4082,,5067700.5,
Macao,MAC,2000,,,225,3963
Macao,MAC,2001,,,315,4230
Macao,MAC,2002,,,263,4986
Macao,MAC,2003,,,308,5616
Macao,MAC,2004,,,351,5519
Macao,MAC,2005,,,367,5562
Macao,MAC,2006,,,384,6115
Macao,MAC,2007,,,399,5970
Macao,MAC,2008,,,450,8376
Macao,MAC,2009,,,449,11256
Macao,MAC,2010,,,504,11915
Macao,MAC,2011,,,457,17116
Macao,MAC,2012,,,414,17269
Macao,MAC,2013,,,436,16816
Macao,MAC,2014,,,486,19671
Macao,MAC,2015,,,473,23195
Macao,MAC,2016,,,544,20585
Macao,MAC,2017,,,556,19243
Madagascar,MDG,2002,0,,,
Madagascar,MDG,2005,0,,,
Madagascar,MDG,2007,0,,12145,33812
Malaysia,MYS,2000,120570.96094,647.59998,134778.04688,84321
Malaysia,MYS,2001,123670,397.29999,164482,76334
Malaysia,MYS,2002,204666,294.70001,33237,85797
Malaysia,MYS,2003,250260.45313,597.09998,73292.35156,81358.82031
Malaysia,MYS,2004,272419.59375,767.70001,65901.84375,88268
Malaysia,MYS,2005,149569.98438,1975.40002,137995.26563,94158.17969
Malaysia,MYS,2006,297001.40625,370.89999,506995.28125,120174.10156
Malaysia,MYS,2007,355471.1875,425,592186,128999.07031
Malaysia,MYS,2008,624361.125,450,498887.78125,151311.82813
Malaysia,MYS,2009,686011.9375,370,537310.625,138331
Malaysia,MYS,2010,877489.375,271,60803.32422,69056.97656
Malaysia,MYS,2011,939730.8125,554,63621.73828,67089.39063
Malaysia,MYS,2012,678477.75,1676,63235.32813,61497.30078
Malaysia,MYS,2013,633929.5,886,77824.4375,56455.66016
Malaysia,MYS,2014,649496.6875,253,74575.0625,64973.55078
Malaysia,MYS,2015,452956.75,223,48241,76513
Malaysia,MYS,2016,1649376,323.29999,60206.49609,785435.75
Malaysia,MYS,2017,1149341.75,379.70001,64177.55078,633196.0625
Martinique,MTQ,2008,990,,,2766
Martinique,MTQ,2010,3415,,2381,2729
Mauritius,MUS,2007,1693,8534,1943,264
Mauritius,MUS,2008,974.67999,,1800,37
Mauritius,MUS,2009,1275.44995,,1800,360
Mauritius,MUS,2010,1005.32001,8136,1800,10.76
Mauritius,MUS,2011,1027.97998,42712852,1800,23.62
Mauritius,MUS,2012,944.10999,85110312,1800,41.86
Mauritius,MUS,2013,1146.56751,46028780,1820,172.28
Mauritius,MUS,2014,1495.85034,60562972,1820,104.54
Mauritius,MUS,2015,2697.83618,53548652,1820,216.78
Mauritius,MUS,2016,3230.41992,30235016,611.97998,472.01999
Mauritius,MUS,2017,3784,,460.85999,623.14002
Mauritius,MUS,2003,,,,71
Mauritius,MUS,2004,,,,48
Mauritius,MUS,2005,,,,107
Mauritius,MUS,2006,,,,22
Moldova,MDA,2000,1083,343654.5,,642
Moldova,MDA,2001,652,18873426,,481
Moldova,MDA,2002,1108,208317504,,498
Moldova,MDA,2003,601,484694784,,1904
Moldova,MDA,2004,576,333937408,,1034
Moldova,MDA,2005,271,39800,,669
Moldova,MDA,2006,780,55000,,273
Moldova,MDA,2007,1478,2008500,,408
Moldova,MDA,2008,800,2008500,,188
Moldova,MDA,2009,594,285,,746
Moldova,MDA,2010,593,469,,148
Moldova,MDA,2011,874.20001,1195,,20
Moldova,MDA,2012,571.40002,1024,,112
Moldova,MDA,2013,834.09998,125278,,30.3
Moldova,MDA,2014,854.20001,779,,37.7
Moldova,MDA,2015,935.40002,650,,24.8
Moldova,MDA,2016,2277.3999,769,,106.9
Moldova,MDA,2017,6167.8999,1534,,679.29999
Moldova,MDA,2018,4582.1001,1431,,127.7
Moldova,MDA,2019,4570.1001,610,,19.2
Monaco,MCO,2000,0,248429,0,0
Monaco,MCO,2001,0,13183,0,0
Monaco,MCO,2002,0,12183,0,0
Monaco,MCO,2003,0,0,0,0
Monaco,MCO,2004,0,0,0,0
Monaco,MCO,2005,0,0,0,0
Monaco,MCO,2006,0,31,0,0
Monaco,MCO,2007,0,40,0,0
Monaco,MCO,2008,0,351,0,0
Monaco,MCO,2009,0,711,0,0
Monaco,MCO,2010,0,1092,0,0
Monaco,MCO,2011,0,1178,0,0
Monaco,MCO,2012,0,1448,0,0
Monaco,MCO,2013,0,1089,261.73999,0
Monaco,MCO,2014,0,13415,268.5,0
Monaco,MCO,2015,0,1843,284.54001,0
Monaco,MCO,2016,,,344.73999,
Monaco,MCO,2017,,,166.2,
Mongolia,MNG,2019,,,7946.11,118879.06
Morocco,MAR,2008,55144,0,,58810
Niger,NER,2004,0,,0,503000
Niger,NER,2005,0,,0,554000
Niger,NER,2017,,,347.42001,
North Macedonia,MKD,2008,,300000,,
North Macedonia,MKD,2010,,452361,,
North Macedonia,MKD,2012,,202164,,
North Macedonia,MKD,2014,,0,,
Oman,OMN,2018,,,1508.582,4726.963
Oman,OMN,2019,,,1222.709,9403.1
Oman,OMN,2020,,,1448.253,
Palestine,PSE,2003,0,,0,6151.2002
Palestine,PSE,2004,0,,0,4570.79981
Palestine,PSE,2005,0,,0,5674.79981
Palestine,PSE,2006,0,,0,5113.2002
Palestine,PSE,2007,0,,0,8466
Palestine,PSE,2008,0,,0,11886
Palestine,PSE,2009,0,,0,14422.79981
Palestine,PSE,2010,0,,0,4080
Palestine,PSE,2012,0,,0,4512
Palestine,PSE,2014,0,,0,4572
Palestine,PSE,2000,,,,5016
Panama,PAN,2000,,,,281.41
Panama,PAN,2001,,,,763.57001
Panama,PAN,2002,,,,1363.67004
Panama,PAN,2003,,,,1689.53003
Panama,PAN,2004,,,,1509.92004
Panama,PAN,2005,,,,1547.10999
Panama,PAN,2006,,,,1775.17004
Panama,PAN,2007,,,,1181.87
Panama,PAN,2008,,,,1682.91003
Panama,PAN,2009,,,,2338.30005
Panama,PAN,2010,,,,3037.1001
Panama,PAN,2011,,,,3094.69995
Reunion,REU,2000,78,0,,
Reunion,REU,2013,1905,0,0,1524
Reunion,REU,2014,1761,0,1556,215
Reunion,REU,2015,10250,0,0,0
Reunion,REU,2016,12274,2925,1553,339
Reunion,REU,2017,10402,,1362,0
Reunion,REU,2018,11254,,860,865
Reunion,REU,2019,13179,,85,163
Russia,RUS,2002,220528384,,,
Russia,RUS,2003,111437552,,,82665840
Russia,RUS,2004,75552800,,,32107948
Russia,RUS,2005,71982888,,,47354600
Russia,RUS,2006,95996536,,,34128464
Russia,RUS,2007,105552304,,,44201572
Russia,RUS,2008,89089072,,,45113420
Russia,RUS,2009,102961088,,,54002428
Russia,RUS,2010,83481344,,,38142560
Russia,RUS,2011,96765408,,,31976644
Russia,RUS,2012,91754336,,,28423888
Russia,RUS,2013,102098720,,,29487460
Russia,RUS,2014,103813960,,,24479338
Russia,RUS,2015,93781328,,,21901868
Russia,RUS,2016,86458352,,,25811032
Russia,RUS,2017,68886648,,,27635880
Russia,RUS,2018,111180232,,,24886560
Russia,RUS,2019,84534704,,,15596197
Saint Lucia,LCA,2004,173,58,0,211
Saint Lucia,LCA,2005,48,61,0,146
Saint Lucia,LCA,2006,0,6.6,0,115
Saint Lucia,LCA,2007,0,14680,0,82
Saint Lucia,LCA,2008,0,18990,0,64
Saint Lucia,LCA,2009,0,18930,0,175
Saint Lucia,LCA,2010,0,20810,0,146
Saint Lucia,LCA,2011,0,23970,0,70
Saint Lucia,LCA,2012,0,15830,0,63
Saint Lucia,LCA,2013,1720,23430,0,51
Saint Lucia,LCA,2014,2649,18280,0,58
Saint Lucia,LCA,2015,2291,24250,0,40
Saint Lucia,LCA,2016,1630,25810,0,75
Saint Lucia,LCA,2017,1578,35916,0,66
Saint Lucia,LCA,2018,2389,32730,0,83
Saint Lucia,LCA,2019,4593,16911,0,137
Saint Vincent and the Grenadines,VCT,2002,0,0,0,0.15
Serbia,SRB,2008,,0,,
Serbia,SRB,2009,,0,,
Serbia,SRB,2010,,0,,
Serbia,SRB,2011,,0,,
Serbia,SRB,2012,,0,,
Serbia,SRB,2013,,0,,
Serbia,SRB,2014,,0,,
Serbia,SRB,2015,,0,,
South Africa,ZAF,2006,6079.6001,,8915.79981,114048
South Africa,ZAF,2007,7285,,10852.09961,98070.20313
South Africa,ZAF,2008,9033.59961,,12998.40039,108249
South Africa,ZAF,2009,69441,,10722.09961,203766.79688
South Africa,ZAF,2011,85054,,46490,1187552
South Africa,ZAF,2012,17468,,60920.5,12392995
South Africa,ZAF,2013,64042.89844,,823120,13943534
South Africa,ZAF,2014,5741302,,783453.125,6295213
South Africa,ZAF,2015,4589600.5,,2420084.25,3972718.5
South Africa,ZAF,2016,272064,,4266860,5087385
South Africa,ZAF,2017,3444324,,,48377100
South Africa,ZAF,2005,,,7025.24902,129728.60156
Tanzania,TZA,2004,0.5,,3.5,
Tanzania,TZA,2005,0.62,,4.78,
Tanzania,TZA,2006,0.62,,4.9,
Tanzania,TZA,2007,0.69,,5.76,
Tanzania,TZA,2008,0.75,,32.215,
Tanzania,TZA,2009,0.75,,34.81,
Tanzania,TZA,2010,0.8,,43.232,
Tanzania,TZA,2011,0.8,,45.365,
Tanzania,TZA,2012,0.87,,48.26,
Tanzania,TZA,2013,1,,50,
Tanzania,TZA,2014,1,,51,
Tanzania,TZA,2015,1,,51,
Thailand,THA,2015,,0,,
Tunisia,TUN,2000,14000,,,
Tunisia,TUN,2001,14000,,,
Uganda,UGA,2006,,,0,
Ukraine,UKR,2000,1280924,158693.1875,95301,760626
Ukraine,UKR,2001,2170048,227945.60938,121935,640041
Ukraine,UKR,2002,1310757,222993.6875,390358,726922
Ukraine,UKR,2003,802010,190685.90625,382185,931700
Ukraine,UKR,2004,689365,119400,150660,1102787
Ukraine,UKR,2005,811305,95700,123486,948461
Ukraine,UKR,2006,789994,125000,120043,1056953
Ukraine,UKR,2007,995424,137838.03125,75388,990591
Ukraine,UKR,2008,894834,246837.78125,56288,1066308
Ukraine,UKR,2009,794407,223531.60938,47298,333246
Ukraine,UKR,2010,642392,130044.42188,16473,126849
Ukraine,UKR,2011,597529,177105.8125,15612,138455
Ukraine,UKR,2012,541356,0,14007,146760
Ukraine,UKR,2013,439049,0,15097,102983
Ukraine,UKR,2014,327134,18882.75977,8273,81584
Ukraine,UKR,2015,314543,37200,5808,78650
Ukraine,UKR,2016,337658,26000,6232,102517
Ukraine,UKR,2017,305545,87000,8748,96810
Ukraine,UKR,2018,276491,123000,11895,114914
Ukraine,UKR,2019,252075,115000,10626,93262
United Arab Emirates,ARE,2010,0,8.8,2612,144835.42188
United Arab Emirates,ARE,2011,0,12.24,10334.03125,51697
United Arab Emirates,ARE,2012,0,17.46,15654.90039,167075.17188
United Arab Emirates,ARE,2013,10515,6.76,16888.62891,49350.01172
United Arab Emirates,ARE,2014,52971.64844,0.02,24149.06641,58778.98047
United Arab Emirates,ARE,2015,37124.04688,1299,6177.67529,75040.34375
United Arab Emirates,ARE,2016,33419.32422,21.25,6772.45313,57433.87891
United Arab Emirates,ARE,2017,38553.96484,42,11159.76856,72221.00781
United Arab Emirates,ARE,2018,32220.06055,80,24294.65039,149894.51563
United Arab Emirates,ARE,2019,354271.375,7.58,25082.63086,67144.67188
Zambia,ZMB,2000,10000,0,0,0
Zambia,ZMB,2005,25000,2000,0,0
