Entity,Code,Year,8.9.1 - Tourism direct GDP as a proportion of total GDP (%) - ST_GDP_ZS
Europe,,2014,4
Europe,,2015,4.1
Europe,,2016,4.2
Europe,,2017,4.2
Europe,,2018,4.3
Europe,,2019,4.5
Europe and Northern America,,2008,3.4
Europe and Northern America,,2009,3.3
Europe and Northern America,,2010,3.3
Europe and Northern America,,2011,3.4
Europe and Northern America,,2012,3.4
Europe and Northern America,,2013,3.5
Europe and Northern America,,2014,3.5
Europe and Northern America,,2015,3.5
Europe and Northern America,,2016,3.5
Europe and Northern America,,2017,3.5
Europe and Northern America,,2018,3.6
Europe and Northern America,,2019,3.6
Fiji,FJI,2008,13
Fiji,FJI,2009,10.2
Fiji,FJI,2010,11.3
Fiji,FJI,2011,11.5
Fiji,FJI,2012,11.5
Fiji,FJI,2013,12.1
Fiji,FJI,2014,13
Finland,FIN,2011,2.4
Finland,FIN,2012,2.5
Finland,FIN,2013,2.5
Finland,FIN,2014,2.4
Finland,FIN,2015,2.5
Finland,FIN,2016,2.5
Finland,FIN,2017,2.6
Finland,FIN,2018,2.7
France,FRA,2010,7.3
France,FRA,2011,7.5
France,FRA,2012,7.6
France,FRA,2013,7.5
France,FRA,2014,7.5
France,FRA,2015,7.3
France,FRA,2016,7.1
France,FRA,2017,7.2
France,FRA,2018,7.4
Germany,DEU,2010,4.2
Germany,DEU,2015,3.9
Greece,GRC,2008,5.5
Greece,GRC,2009,4.7
Greece,GRC,2010,4.9
Greece,GRC,2011,4.7
Greece,GRC,2012,4.9
Greece,GRC,2013,5.9
Greece,GRC,2014,6.3
Greece,GRC,2015,6.4
Greece,GRC,2016,6.3
Greece,GRC,2017,6.8
Guam,GUM,2010,12
Guam,GUM,2015,11.2
Guam,GUM,2016,12.1
Honduras,HND,2008,6
Honduras,HND,2009,6.2
Honduras,HND,2010,6.1
Honduras,HND,2011,6.1
Honduras,HND,2012,6.4
Honduras,HND,2013,6.5
Honduras,HND,2014,6.4
Honduras,HND,2015,6.4
Honduras,HND,2016,6.4
Honduras,HND,2017,6
Hungary,HUN,2008,5.3
Hungary,HUN,2009,5.3
Hungary,HUN,2010,5.3
Hungary,HUN,2011,5.5
Hungary,HUN,2012,5.8
Hungary,HUN,2013,6.1
Hungary,HUN,2014,6.3
Hungary,HUN,2015,6.4
Hungary,HUN,2016,6.7
Hungary,HUN,2017,6.7
Iceland,ISL,2009,3.5
Iceland,ISL,2010,3.4
Iceland,ISL,2011,3.6
Iceland,ISL,2012,4.1
Iceland,ISL,2013,4.6
Iceland,ISL,2014,5.1
Iceland,ISL,2015,6.1
Iceland,ISL,2016,8
Iceland,ISL,2017,8.6
India,IND,2009,3.8
India,IND,2010,3.7
India,IND,2011,3.7
India,IND,2012,3.8
Indonesia,IDN,2008,4.7
Indonesia,IDN,2009,4.2
Indonesia,IDN,2010,4.1
Indonesia,IDN,2011,4
Indonesia,IDN,2012,4
Indonesia,IDN,2013,4
Indonesia,IDN,2014,4.1
Indonesia,IDN,2015,4.3
Indonesia,IDN,2016,4.1
Indonesia,IDN,2017,4.1
Israel,ISR,2008,2.8
Israel,ISR,2009,2.6
Israel,ISR,2010,2.8
Israel,ISR,2011,2.7
Israel,ISR,2012,2.7
Israel,ISR,2013,2.6
Israel,ISR,2014,2.5
Israel,ISR,2015,2.6
Israel,ISR,2016,2.4
Israel,ISR,2017,2.7
Israel,ISR,2018,2.6
Italy,ITA,2010,5.7
Italy,ITA,2015,5.9
Italy,ITA,2017,6
Jamaica,JAM,2008,7.1
Jamaica,JAM,2009,7.2
Jamaica,JAM,2010,6.9
Jamaica,JAM,2011,6.5
Jamaica,JAM,2012,6.4
Jamaica,JAM,2013,6.9
Jamaica,JAM,2014,7.5
Jamaica,JAM,2015,7.8
Jamaica,JAM,2016,8.4
Jamaica,JAM,2017,9.1
Jamaica,JAM,2018,9.2
Japan,JPN,2008,1.9
Japan,JPN,2009,1.9
Japan,JPN,2010,1.7
Japan,JPN,2011,1.7
Japan,JPN,2012,1.7
Japan,JPN,2013,1.8
Japan,JPN,2014,1.7
Japan,JPN,2015,1.8
Japan,JPN,2016,2
Japan,JPN,2017,2
Japan,JPN,2018,2
Jordan,JOR,2010,7
Jordan,JOR,2012,6.5
Jordan,JOR,2016,6
Kazakhstan,KAZ,2008,1.5
Kazakhstan,KAZ,2009,1.4
Kazakhstan,KAZ,2010,1.3
Kazakhstan,KAZ,2011,1.4
Kazakhstan,KAZ,2012,1.5
Kazakhstan,KAZ,2013,1
Kazakhstan,KAZ,2014,0.9
Kazakhstan,KAZ,2015,1
Kazakhstan,KAZ,2016,1.3
Kazakhstan,KAZ,2017,1.4
Latin America and the Caribbean,,2008,3.7
Latin America and the Caribbean,,2009,3.7
Latin America and the Caribbean,,2010,3.5
Latin America and the Caribbean,,2011,3.3
Latin America and the Caribbean,,2012,3.5
Latin America and the Caribbean,,2013,3.8
Latin America and the Caribbean,,2014,4.1
Latin America and the Caribbean,,2015,4.7
Latin America and the Caribbean,,2016,5
Latin America and the Caribbean,,2017,5.1
Latin America and the Caribbean,,2018,5.7
Latin America and the Caribbean,,2019,6.3
Latvia,LVA,2008,4.2
Latvia,LVA,2009,3.1
Latvia,LVA,2010,3.1
Latvia,LVA,2011,3.4
Latvia,LVA,2012,4.4
Latvia,LVA,2013,4.2
Latvia,LVA,2014,4.3
Latvia,LVA,2015,4.2
Latvia,LVA,2016,4.5
Lithuania,LTU,2009,2.8
Lithuania,LTU,2010,2.7
Lithuania,LTU,2011,2.8
Lithuania,LTU,2012,3
Lithuania,LTU,2013,3
Lithuania,LTU,2014,3.1
Lithuania,LTU,2015,3
Lithuania,LTU,2016,3
Lithuania,LTU,2017,3.1
Lithuania,LTU,2018,2.9
Luxembourg,LUX,2016,1.1
Macao,MAC,2010,53.9
Macao,MAC,2011,57.6
Macao,MAC,2012,57.6
Macao,MAC,2013,58.6
Macao,MAC,2014,55
Macao,MAC,2015,46.7
Macao,MAC,2016,45.8
Macao,MAC,2017,48.4
Malaysia,MYS,2008,4.9
Malaysia,MYS,2009,5.4
Malaysia,MYS,2010,5.6
Malaysia,MYS,2011,5.6
Malaysia,MYS,2012,5.7
Malaysia,MYS,2013,6
Malaysia,MYS,2014,6.3
Malaysia,MYS,2015,6.4
Malaysia,MYS,2016,6.6
Malaysia,MYS,2017,6.4
Malaysia,MYS,2018,6.5
Malaysia,MYS,2019,6.8
Malta,MLT,2010,6.1
Mauritius,MUS,2010,9.6
Mauritius,MUS,2011,10
Mauritius,MUS,2012,9.9
Mauritius,MUS,2013,9
Mauritius,MUS,2014,9.1
Mauritius,MUS,2015,9.2
Mauritius,MUS,2016,9.2
Mauritius,MUS,2017,9.1
Mauritius,MUS,2018,9.1
Mexico,MEX,2008,8.3
Mexico,MEX,2009,8.5
Mexico,MEX,2010,8.4
Mexico,MEX,2011,8.2
Mexico,MEX,2012,8.2
Mexico,MEX,2013,8.5
Mexico,MEX,2014,8.5
Mexico,MEX,2015,8.8
Mexico,MEX,2016,8.7
Mexico,MEX,2017,8.7
Mexico,MEX,2018,8.7
Montenegro,MNE,2009,10
Morocco,MAR,2009,6.9
Morocco,MAR,2010,7.1
Morocco,MAR,2011,6.9
Morocco,MAR,2012,6.9
Morocco,MAR,2013,6.6
Morocco,MAR,2014,6.7
Morocco,MAR,2015,6.4
Morocco,MAR,2016,6.6
Morocco,MAR,2017,6.8
Morocco,MAR,2018,6.9
Morocco,MAR,2019,7.1
Mozambique,MOZ,2015,5.2
Mozambique,MOZ,2016,4.4
Mozambique,MOZ,2017,4.3
Mozambique,MOZ,2018,4.7
Mozambique,MOZ,2019,4.7
Netherlands,NLD,2010,3.2
Netherlands,NLD,2011,3.2
Netherlands,NLD,2012,3.3
Netherlands,NLD,2013,3.4
Netherlands,NLD,2014,3.7
Netherlands,NLD,2015,4
Netherlands,NLD,2016,4.2
Netherlands,NLD,2017,4.3
Netherlands,NLD,2018,4.4
Netherlands,NLD,2019,4.4
New Zealand,NZL,2008,5.7
New Zealand,NZL,2009,5.2
New Zealand,NZL,2010,5.3
New Zealand,NZL,2011,5.2
New Zealand,NZL,2012,5.1
New Zealand,NZL,2013,5.2
New Zealand,NZL,2014,5.1
New Zealand,NZL,2015,5.7
New Zealand,NZL,2016,6.2
New Zealand,NZL,2017,5.8
New Zealand,NZL,2018,5.9
Northern Africa and Western Asia,,2008,3.8
Northern Africa and Western Asia,,2009,4.3
Northern Africa and Western Asia,,2010,4.1
Northern Africa and Western Asia,,2011,3.8
Northern Africa and Western Asia,,2012,3.8
Northern Africa and Western Asia,,2013,3.9
Northern Africa and Western Asia,,2014,4.1
Northern Africa and Western Asia,,2015,4.5
Northern Africa and Western Asia,,2016,4.3
Northern Africa and Western Asia,,2017,4.9
Northern Africa and Western Asia,,2018,5.1
Northern Africa and Western Asia,,2019,5.6
Northern America,,2008,2.7
Northern America,,2009,2.6
Northern America,,2010,2.6
Northern America,,2011,2.7
Northern America,,2012,2.7
Northern America,,2013,2.8
Northern America,,2014,2.8
Northern America,,2015,2.9
Northern America,,2016,2.9
Northern America,,2017,2.9
Northern America,,2018,2.8
Northern America,,2019,2.7
Norway,NOR,2008,3
Norway,NOR,2009,3.3
Norway,NOR,2010,3.2
Norway,NOR,2011,3.3
Norway,NOR,2012,3.3
Norway,NOR,2013,3.3
Norway,NOR,2014,3.3
Norway,NOR,2015,3.5
Norway,NOR,2016,3.8
Norway,NOR,2017,3.6
Norway,NOR,2018,4.2
Oceania (exc. Australia and New Zealand),,2008,13.6
Oceania (exc. Australia and New Zealand),,2009,10.7
Oceania (exc. Australia and New Zealand),,2010,11.9
Oceania (exc. Australia and New Zealand),,2011,11.9
Oceania (exc. Australia and New Zealand),,2012,11.9
Oceania (exc. Australia and New Zealand),,2013,12.1
Oceania (exc. Australia and New Zealand),,2014,12.4
Oceania (exc. Australia and New Zealand),,2015,12.6
Oceania (exc. Australia and New Zealand),,2016,13
Oceania (exc. Australia and New Zealand),,2017,12.9
Oceania (exc. Australia and New Zealand),,2018,13.3
Oceania (exc. Australia and New Zealand),,2019,13.4
Oman,OMN,2008,2.4
Oman,OMN,2009,2.7
Oman,OMN,2010,2.3
Oman,OMN,2011,1.9
Oman,OMN,2012,2.1
Oman,OMN,2013,2.2
Oman,OMN,2014,2.2
Oman,OMN,2015,2.8
Oman,OMN,2016,2.7
Oman,OMN,2017,2.7
Oman,OMN,2018,2.2
Oman,OMN,2019,2.5
Panama,PAN,2008,8.3
Panama,PAN,2009,9.1
Panama,PAN,2010,8.9
Panama,PAN,2011,9.2
Panama,PAN,2012,9.3
Panama,PAN,2013,9.1
Peru,PER,2011,3.6
Peru,PER,2012,3.6
Peru,PER,2013,3.7
Peru,PER,2014,3.8
Peru,PER,2015,3.9
Peru,PER,2016,3.9
Peru,PER,2017,3.9
Peru,PER,2018,3.9
Philippines,PHL,2008,5.6
Philippines,PHL,2009,5.8
Philippines,PHL,2010,6.2
Philippines,PHL,2011,6.8
Philippines,PHL,2012,7
Philippines,PHL,2013,7.2
Philippines,PHL,2014,7.5
Philippines,PHL,2015,8.2
Philippines,PHL,2016,8.6
Poland,POL,2008,2.2
Poland,POL,2009,1.6
Poland,POL,2010,1.6
Poland,POL,2011,1.8
Poland,POL,2012,2.1
Poland,POL,2013,1.3
Poland,POL,2015,1.2
Portugal,PRT,2014,6.5
Portugal,PRT,2015,6.7
Portugal,PRT,2016,6.9
Portugal,PRT,2017,7.7
Portugal,PRT,2018,8
Puerto Rico,PRI,2016,3.8
Puerto Rico,PRI,2017,3.6
Puerto Rico,PRI,2018,3.2
Puerto Rico,PRI,2019,3.4
Qatar,QAT,2013,1.8
Qatar,QAT,2014,2.1
Qatar,QAT,2015,3.3
Qatar,QAT,2016,4.1
Qatar,QAT,2017,3.8
Qatar,QAT,2018,3.4
Reunion,REU,2009,2.4
Reunion,REU,2010,2.3
Romania,ROU,2011,1.7
Romania,ROU,2012,1.7
Romania,ROU,2013,1.8
Romania,ROU,2014,1.9
Romania,ROU,2015,2.3
Romania,ROU,2016,2.7
Romania,ROU,2017,2.8
Russia,RUS,2011,2.9
Russia,RUS,2012,3
Russia,RUS,2013,3.2
Russia,RUS,2014,3.3
Russia,RUS,2015,3.3
Russia,RUS,2016,3.4
Russia,RUS,2017,3.8
Russia,RUS,2018,3.9
Saudi Arabia,SAU,2008,2.7
Saudi Arabia,SAU,2009,3.3
Saudi Arabia,SAU,2010,3
Saudi Arabia,SAU,2011,2.4
Saudi Arabia,SAU,2012,2.2
Saudi Arabia,SAU,2013,2.3
Saudi Arabia,SAU,2014,2.3
Saudi Arabia,SAU,2015,2.7
Saudi Arabia,SAU,2016,2.8
Saudi Arabia,SAU,2017,2.4
Saudi Arabia,SAU,2018,2.2
Slovakia,SVK,2008,2.9
Slovakia,SVK,2009,2.6
Slovakia,SVK,2010,2.4
Slovakia,SVK,2011,2.6
Slovakia,SVK,2012,2.7
Slovakia,SVK,2013,2.6
Slovakia,SVK,2014,2.3
Slovakia,SVK,2015,2.7
Slovakia,SVK,2016,2.8
Slovakia,SVK,2017,2.6
Slovenia,SVN,2009,4.8
Slovenia,SVN,2012,4.8
Slovenia,SVN,2014,4.8
Slovenia,SVN,2015,4.9
Slovenia,SVN,2017,5.3
South Africa,ZAF,2008,3
South Africa,ZAF,2009,2.9
South Africa,ZAF,2010,2.9
South Africa,ZAF,2011,2.8
South Africa,ZAF,2012,2.9
South Africa,ZAF,2013,2.9
South Africa,ZAF,2014,3
South Africa,ZAF,2015,2.7
South Africa,ZAF,2016,2.9
South Africa,ZAF,2017,2.8
South Africa,ZAF,2018,2.7
Spain,ESP,2008,10.2
Spain,ESP,2009,9.9
Spain,ESP,2010,10.3
Spain,ESP,2011,10.5
Spain,ESP,2012,10.8
Spain,ESP,2013,10.8
Spain,ESP,2014,11
Spain,ESP,2015,11
Spain,ESP,2016,11.4
Spain,ESP,2017,11.8
Spain,ESP,2018,12.3
Sub-Saharan Africa,,2008,3.2
Sub-Saharan Africa,,2009,3.2
Sub-Saharan Africa,,2010,3.2
Sub-Saharan Africa,,2011,3
Sub-Saharan Africa,,2012,3.2
Sub-Saharan Africa,,2013,3.2
Sub-Saharan Africa,,2014,3.4
Sub-Saharan Africa,,2015,3.3
Sub-Saharan Africa,,2016,3.5
Sub-Saharan Africa,,2017,2.8
Sub-Saharan Africa,,2018,3
Sub-Saharan Africa,,2019,3
Sweden,SWE,2008,6.9
Sweden,SWE,2009,7.1
Sweden,SWE,2010,6.5
Sweden,SWE,2011,6.6
Sweden,SWE,2012,6.8
Sweden,SWE,2013,6.6
Sweden,SWE,2014,6.6
Sweden,SWE,2015,6.5
Sweden,SWE,2016,6.7
Sweden,SWE,2017,6.9
Sweden,SWE,2018,6.2
Switzerland,CHE,2008,2.9
Switzerland,CHE,2009,2.9
Switzerland,CHE,2010,2.9
Switzerland,CHE,2011,2.9
Switzerland,CHE,2012,2.9
Switzerland,CHE,2013,2.8
Switzerland,CHE,2014,2.8
Switzerland,CHE,2015,2.8
Switzerland,CHE,2016,2.8
Switzerland,CHE,2017,2.9
Switzerland,CHE,2018,2.9
Thailand,THA,2010,3.2
Thailand,THA,2011,3.9
Thailand,THA,2012,4.4
Thailand,THA,2013,5
Thailand,THA,2014,4.9
Thailand,THA,2015,6.1
Thailand,THA,2016,6.7
Thailand,THA,2017,7
Thailand,THA,2018,6.9
Timor,TLS,2008,0.4
Timor,TLS,2009,1
Timor,TLS,2010,1.1
Timor,TLS,2011,1.5
Timor,TLS,2012,1.8
Timor,TLS,2013,1.7
Timor,TLS,2014,0.7
Timor,TLS,2015,1
Timor,TLS,2016,0.5
Timor,TLS,2017,0.1
Timor,TLS,2018,0.2
Uganda,UGA,2016,3.7
United Kingdom,GBR,2008,3.4
United Kingdom,GBR,2009,3.5
United Kingdom,GBR,2010,3.4
United Kingdom,GBR,2011,3.6
United Kingdom,GBR,2012,3.7
United Kingdom,GBR,2013,3.7
United Kingdom,GBR,2014,3.6
United Kingdom,GBR,2015,4
United Kingdom,GBR,2016,3.8
United Kingdom,GBR,2017,3.3
United States,USA,2008,2.8
United States,USA,2009,2.7
United States,USA,2010,2.7
United States,USA,2011,2.8
United States,USA,2012,2.8
United States,USA,2013,2.9
United States,USA,2014,2.9
United States,USA,2015,3
United States,USA,2016,3
United States,USA,2017,3
United States,USA,2018,2.9
Uruguay,URY,2008,5.8
Uruguay,URY,2009,5.6
Uruguay,URY,2010,6.2
Uruguay,URY,2011,7.4
Uruguay,URY,2012,6.8
Uruguay,URY,2013,6.4
Uruguay,URY,2014,6.3
Uruguay,URY,2015,6.5
Uruguay,URY,2016,7.3
Uruguay,URY,2017,8.5
Uruguay,URY,2018,8.1
Uruguay,URY,2019,7
Vietnam,VNM,2013,6.1
Vietnam,VNM,2014,6.1
Vietnam,VNM,2015,6.3
Vietnam,VNM,2016,7
Vietnam,VNM,2017,7.9
Vietnam,VNM,2018,8.4
Vietnam,VNM,2019,9.2
World,OWID_WRL,2008,3.7
World,OWID_WRL,2009,3.7
World,OWID_WRL,2010,3.6
World,OWID_WRL,2011,3.7
World,OWID_WRL,2012,3.9
World,OWID_WRL,2013,4
World,OWID_WRL,2014,4.1
World,OWID_WRL,2015,3.9
World,OWID_WRL,2016,3.9
World,OWID_WRL,2017,4
World,OWID_WRL,2018,4
World,OWID_WRL,2019,4.1
