Entity,Code,Year,"3.9.3 - Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population) - SH_STA_POISN - Both sexes"
Burundi,BDI,2000,3.3
Burundi,BDI,2005,2.4
Burundi,BDI,2010,4.3
Burundi,BDI,2015,3.6
Burundi,BDI,2019,3.2
Cambodia,KHM,2000,0.9
Cambodia,KHM,2005,0.7
Cambodia,KHM,2010,0.6
Cambodia,KHM,2015,0.5
Cambodia,KHM,2019,0.5
Cameroon,CMR,2000,3.2
Cameroon,CMR,2005,3
Cameroon,CMR,2010,3.3
Cameroon,CMR,2015,2.9
Cameroon,CMR,2019,2.6
Canada,CAN,2000,0.4
Canada,CAN,2005,0.3
Canada,CAN,2010,0.3
Canada,CAN,2015,0.3
Canada,CAN,2019,0.3
Cape Verde,CPV,2000,0.5
Cape Verde,CPV,2005,0.5
Cape Verde,CPV,2010,0.5
Cape Verde,CPV,2015,0.4
Cape Verde,CPV,2019,0.4
Central African Republic,CAF,2000,4.2
Central African Republic,CAF,2005,3.4
Central African Republic,CAF,2010,3.5
Central African Republic,CAF,2015,3.3
Central African Republic,CAF,2019,2.8
Central Asia,,2000,2.7
Central Asia,,2005,2.2
Central Asia,,2010,1.6
Central Asia,,2015,1.3
Central Asia,,2019,1.1
Central and Southern Asia,,2000,0.9
Central and Southern Asia,,2005,0.8
Central and Southern Asia,,2010,0.7
Central and Southern Asia,,2015,0.5
Central and Southern Asia,,2019,0.5
Chad,TCD,2000,4.2
Chad,TCD,2005,4
Chad,TCD,2010,4
Chad,TCD,2015,3.9
Chad,TCD,2019,3.5
Chile,CHL,2000,0.3
Chile,CHL,2005,0.4
Chile,CHL,2010,0.3
Chile,CHL,2015,0.3
Chile,CHL,2019,0.4
China,CHN,2000,1.7
China,CHN,2005,2
China,CHN,2010,2.1
China,CHN,2015,2
China,CHN,2019,1.8
Colombia,COL,2000,0.2
Colombia,COL,2005,0.2
Colombia,COL,2010,0.1
Colombia,COL,2015,0.1
Colombia,COL,2019,0.1
Comoros,COM,2000,3.1
Comoros,COM,2005,2.7
Comoros,COM,2010,2.7
Comoros,COM,2015,2.6
Comoros,COM,2019,2.4
Congo,COG,2000,2.7
Congo,COG,2005,2.1
Congo,COG,2010,1.9
Congo,COG,2015,1.4
Congo,COG,2019,1.3
Costa Rica,CRI,2000,0.1
Costa Rica,CRI,2005,0.1
Costa Rica,CRI,2010,0.2
Costa Rica,CRI,2015,0.1
Costa Rica,CRI,2019,0.1
Cote d'Ivoire,CIV,2000,3
Cote d'Ivoire,CIV,2005,2.8
Cote d'Ivoire,CIV,2010,2.8
Cote d'Ivoire,CIV,2015,2.8
Cote d'Ivoire,CIV,2019,2.5
Croatia,HRV,2000,0.6
Croatia,HRV,2005,0.9
Croatia,HRV,2010,0.5
Croatia,HRV,2015,0.4
Croatia,HRV,2019,0.4
Cuba,CUB,2000,0.2
Cuba,CUB,2005,0.2
Cuba,CUB,2010,0.1
Cuba,CUB,2015,0.1
Cuba,CUB,2019,0.2
Cyprus,CYP,2000,0.1
Cyprus,CYP,2005,0.1
Cyprus,CYP,2010,0
Cyprus,CYP,2015,0.2
Cyprus,CYP,2019,0.3
Czechia,CZE,2000,1.2
Czechia,CZE,2005,1.1
Czechia,CZE,2010,1
Czechia,CZE,2015,0.8
Czechia,CZE,2019,0.4
Democratic Republic of Congo,COD,2000,2.5
Democratic Republic of Congo,COD,2005,2.3
Democratic Republic of Congo,COD,2010,2.5
Democratic Republic of Congo,COD,2015,2.3
Democratic Republic of Congo,COD,2019,2
Denmark,DNK,2000,0.3
Denmark,DNK,2005,0.3
Denmark,DNK,2010,0.2
Denmark,DNK,2015,0.2
Denmark,DNK,2019,0.1
Djibouti,DJI,2000,2.7
Djibouti,DJI,2005,2.4
Djibouti,DJI,2010,2.6
Djibouti,DJI,2015,2.6
Djibouti,DJI,2019,2.5
Dominican Republic,DOM,2000,0.4
Dominican Republic,DOM,2005,0.3
Dominican Republic,DOM,2010,0.3
Dominican Republic,DOM,2015,0.5
Dominican Republic,DOM,2019,0.4
Eastern Asia,,2000,1.6
Eastern Asia,,2005,1.9
Eastern Asia,,2010,1.9
Eastern Asia,,2015,1.8
Eastern Asia,,2019,1.6
Eastern and South-Eastern Asia,,2000,1.4
Eastern and South-Eastern Asia,,2005,1.5
Eastern and South-Eastern Asia,,2010,1.6
Eastern and South-Eastern Asia,,2015,1.4
Eastern and South-Eastern Asia,,2019,1.3
Ecuador,ECU,2000,0.6
Ecuador,ECU,2005,0.5
Ecuador,ECU,2010,0.5
Ecuador,ECU,2015,0.4
Ecuador,ECU,2019,0.3
Egypt,EGY,2000,0.3
Egypt,EGY,2005,0.2
Egypt,EGY,2010,0.2
Egypt,EGY,2015,0.2
Egypt,EGY,2019,0.2
El Salvador,SLV,2000,0.5
El Salvador,SLV,2005,0.4
El Salvador,SLV,2010,0.4
El Salvador,SLV,2015,0.6
El Salvador,SLV,2019,0.2
Equatorial Guinea,GNQ,2000,3.2
Equatorial Guinea,GNQ,2005,2.1
Equatorial Guinea,GNQ,2010,2.1
Equatorial Guinea,GNQ,2015,1.9
Equatorial Guinea,GNQ,2019,1.6
Eritrea,ERI,2000,4.3
Eritrea,ERI,2005,4
Eritrea,ERI,2010,3.9
Eritrea,ERI,2015,3.3
Eritrea,ERI,2019,3.3
Estonia,EST,2000,3.5
Estonia,EST,2005,2
Estonia,EST,2010,0.9
Estonia,EST,2015,0.5
Estonia,EST,2019,0.6
Eswatini,SWZ,2000,4.1
Eswatini,SWZ,2005,5.1
Eswatini,SWZ,2010,5
Eswatini,SWZ,2015,3.7
Eswatini,SWZ,2019,3.3
Ethiopia,ETH,2000,6.2
Ethiopia,ETH,2005,6.2
Ethiopia,ETH,2010,4.8
Ethiopia,ETH,2015,3.5
Ethiopia,ETH,2019,3.3
Europe,,2000,3
Europe,,2005,2.8
Europe,,2010,1.9
Europe,,2015,1.4
Europe,,2019,1.2
Europe and Northern America,,2000,2.2
Europe and Northern America,,2005,2
Europe and Northern America,,2010,1.4
Europe and Northern America,,2015,1.1
Europe and Northern America,,2019,1
Fiji,FJI,2000,0.4
Fiji,FJI,2005,0.3
Fiji,FJI,2010,0.3
Fiji,FJI,2015,0.2
Fiji,FJI,2019,0.3
Finland,FIN,2000,0.5
Finland,FIN,2005,0.8
Finland,FIN,2010,1.1
Finland,FIN,2015,0.5
Finland,FIN,2019,0.4
France,FRA,2000,0.4
France,FRA,2005,0.4
France,FRA,2010,0.4
France,FRA,2015,0.3
France,FRA,2019,0.3
Gabon,GAB,2000,2.2
Gabon,GAB,2005,1.9
Gabon,GAB,2010,1.8
Gabon,GAB,2015,1.6
Gabon,GAB,2019,1.3
Gambia,GMB,2000,3.3
Gambia,GMB,2005,2.9
Gambia,GMB,2010,2.6
Gambia,GMB,2015,2.2
Gambia,GMB,2019,1.8
Georgia,GEO,2000,0.8
Georgia,GEO,2005,0.7
Georgia,GEO,2010,0.7
Georgia,GEO,2015,0.7
Georgia,GEO,2019,0.6
Germany,DEU,2000,0.1
Germany,DEU,2005,0.1
Germany,DEU,2010,0.1
Germany,DEU,2015,0.2
Germany,DEU,2019,0.3
Ghana,GHA,2000,1.9
Ghana,GHA,2005,2.2
Ghana,GHA,2010,2.1
Ghana,GHA,2015,2
Ghana,GHA,2019,1.7
Greece,GRC,2000,0.3
Greece,GRC,2005,0.4
Greece,GRC,2010,0.2
Greece,GRC,2015,0.1
Greece,GRC,2019,0.2
Grenada,GRD,2000,1.1
Grenada,GRD,2005,0.1
Grenada,GRD,2010,0.4
Grenada,GRD,2015,0.3
Grenada,GRD,2019,0.1
Guatemala,GTM,2000,1.2
Guatemala,GTM,2005,1.8
Guatemala,GTM,2010,1.9
Guatemala,GTM,2015,1.8
Guatemala,GTM,2019,1.6
Guinea,GIN,2000,2.5
Guinea,GIN,2005,2.7
Guinea,GIN,2010,2.7
Guinea,GIN,2015,2.9
Guinea,GIN,2019,2.3
Guinea-Bissau,GNB,2000,3.4
Guinea-Bissau,GNB,2005,3.1
Guinea-Bissau,GNB,2010,2.9
Guinea-Bissau,GNB,2015,2.2
Guinea-Bissau,GNB,2019,2.3
Guyana,GUY,2000,0.2
Guyana,GUY,2005,0.2
Guyana,GUY,2010,0.2
Guyana,GUY,2015,0.1
Guyana,GUY,2019,0.1
Haiti,HTI,2000,2
Haiti,HTI,2005,1.6
Haiti,HTI,2010,9
Haiti,HTI,2015,1.4
Haiti,HTI,2019,1.4
Honduras,HND,2000,0.5
Honduras,HND,2005,0.5
Honduras,HND,2010,0.4
Honduras,HND,2015,0.8
Honduras,HND,2019,0.5
Hungary,HUN,2000,0.6
Hungary,HUN,2005,1
Hungary,HUN,2010,0.9
Hungary,HUN,2015,0.4
Hungary,HUN,2019,0.5
Iceland,ISL,2000,0.6
Iceland,ISL,2005,0.1
Iceland,ISL,2010,0.4
Iceland,ISL,2015,0.1
Iceland,ISL,2019,1
India,IND,2000,0.6
India,IND,2005,0.5
India,IND,2010,0.4
India,IND,2015,0.3
India,IND,2019,0.3
Indonesia,IDN,2000,0.4
Indonesia,IDN,2005,0.3
Indonesia,IDN,2010,0.3
Indonesia,IDN,2015,0.3
Indonesia,IDN,2019,0.3
Iran,IRN,2000,1.8
Iran,IRN,2005,1.5
Iran,IRN,2010,1.4
Iran,IRN,2015,1.1
Iran,IRN,2019,1
Iraq,IRQ,2000,0.5
Iraq,IRQ,2005,0.4
Iraq,IRQ,2010,0.3
Iraq,IRQ,2015,0.3
Iraq,IRQ,2019,0.2
Ireland,IRL,2000,0.6
Ireland,IRL,2005,0.6
Ireland,IRL,2010,0.3
Ireland,IRL,2015,0.4
Ireland,IRL,2019,0.3
Israel,ISR,2000,0.1
Israel,ISR,2005,0
Israel,ISR,2010,0
Israel,ISR,2015,0
Israel,ISR,2019,0
Italy,ITA,2000,0.5
Italy,ITA,2005,0.3
Italy,ITA,2010,0.3
Italy,ITA,2015,0.3
Italy,ITA,2019,0.3
Jamaica,JAM,2000,0.1
Jamaica,JAM,2005,0.1
Jamaica,JAM,2010,0.1
Jamaica,JAM,2015,0.1
Jamaica,JAM,2019,0.1
Japan,JPN,2000,0.3
Japan,JPN,2005,0.5
Japan,JPN,2010,0.4
Japan,JPN,2015,0.2
Japan,JPN,2019,0.2
Jordan,JOR,2000,1.2
Jordan,JOR,2005,0.9
Jordan,JOR,2010,0.6
Jordan,JOR,2015,0.4
Jordan,JOR,2019,0.5
Kazakhstan,KAZ,2000,5.4
Kazakhstan,KAZ,2005,4.8
Kazakhstan,KAZ,2010,3.3
Kazakhstan,KAZ,2015,2.4
Kazakhstan,KAZ,2019,1.9
Kenya,KEN,2000,3.9
Kenya,KEN,2005,2.7
Kenya,KEN,2010,2.8
Kenya,KEN,2015,2.4
Kenya,KEN,2019,2.4
Kiribati,KIR,2000,2.2
Kiribati,KIR,2005,2.3
Kiribati,KIR,2010,2.7
Kiribati,KIR,2015,2.7
Kiribati,KIR,2019,2.6
Kuwait,KWT,2000,0.5
Kuwait,KWT,2005,0.5
Kuwait,KWT,2010,0.4
Kuwait,KWT,2015,0.3
Kuwait,KWT,2019,0.4
Kyrgyzstan,KGZ,2000,2.8
Kyrgyzstan,KGZ,2005,2.1
Kyrgyzstan,KGZ,2010,1.5
Kyrgyzstan,KGZ,2015,1.2
Kyrgyzstan,KGZ,2019,0.9
Landlocked developing countries (LLDCs),,2000,3.7
Landlocked developing countries (LLDCs),,2005,3.4
Landlocked developing countries (LLDCs),,2010,3
Landlocked developing countries (LLDCs),,2015,2.4
Landlocked developing countries (LLDCs),,2019,2.2
Laos,LAO,2000,1.5
Laos,LAO,2005,1.1
Laos,LAO,2010,1
Laos,LAO,2015,0.6
Laos,LAO,2019,0.6
Latin America and the Caribbean,,2000,0.4
Latin America and the Caribbean,,2005,0.4
Latin America and the Caribbean,,2010,0.5
Latin America and the Caribbean,,2015,0.4
Latin America and the Caribbean,,2019,0.3
Latvia,LVA,2000,6.3
Latvia,LVA,2005,5.9
Latvia,LVA,2010,2.3
Latvia,LVA,2015,0.8
Latvia,LVA,2019,1.2
Least developed countries (LDCs),,2000,2.9
Least developed countries (LDCs),,2005,2.7
Least developed countries (LDCs),,2010,2.5
Least developed countries (LDCs),,2015,2.1
Least developed countries (LDCs),,2019,2
Lebanon,LBN,2000,0.8
Lebanon,LBN,2005,0.6
Lebanon,LBN,2010,0.6
Lebanon,LBN,2015,0.5
Lebanon,LBN,2019,0.6
Lesotho,LSO,2000,3
Lesotho,LSO,2005,3
Lesotho,LSO,2010,4.7
Lesotho,LSO,2015,6
Lesotho,LSO,2019,5.2
Liberia,LBR,2000,2.4
Liberia,LBR,2005,2.5
Liberia,LBR,2010,2
Liberia,LBR,2015,1.8
Liberia,LBR,2019,1.7
Libya,LBY,2000,1.1
Libya,LBY,2005,0.9
Libya,LBY,2010,1
Libya,LBY,2015,1
Libya,LBY,2019,0.8
Lithuania,LTU,2000,5.4
Lithuania,LTU,2005,6.9
Lithuania,LTU,2010,6.5
Lithuania,LTU,2015,3.9
Lithuania,LTU,2019,1.7
Luxembourg,LUX,2000,1.1
Luxembourg,LUX,2005,1.2
Luxembourg,LUX,2010,0.7
Luxembourg,LUX,2015,0.4
Luxembourg,LUX,2019,0.2
Madagascar,MDG,2000,3.6
Madagascar,MDG,2005,3.4
Madagascar,MDG,2010,3.1
Madagascar,MDG,2015,2.8
Madagascar,MDG,2019,2.1
Malawi,MWI,2000,3.7
Malawi,MWI,2005,2.6
Malawi,MWI,2010,2.8
Malawi,MWI,2015,2.1
Malawi,MWI,2019,1.7
Malaysia,MYS,2000,0.7
Malaysia,MYS,2005,0.7
Malaysia,MYS,2010,0.6
Malaysia,MYS,2015,0.6
Malaysia,MYS,2019,0.7
Maldives,MDV,2000,0.1
Maldives,MDV,2005,0.1
Maldives,MDV,2010,0.1
Maldives,MDV,2015,0.1
Maldives,MDV,2019,0
Mali,MLI,2000,3.6
Mali,MLI,2005,3.7
Mali,MLI,2010,3.5
Mali,MLI,2015,3.2
Mali,MLI,2019,2.9
Malta,MLT,2000,0.5
Malta,MLT,2005,0
Malta,MLT,2010,0.1
Malta,MLT,2015,0
Malta,MLT,2019,0.1
Mauritania,MRT,2000,1.6
Mauritania,MRT,2005,1.6
Mauritania,MRT,2010,1.4
Mauritania,MRT,2015,1.6
Mauritania,MRT,2019,1.5
Mauritius,MUS,2000,0.5
Mauritius,MUS,2005,0.2
Mauritius,MUS,2010,0.2
Mauritius,MUS,2015,1
Mauritius,MUS,2019,0.8
Mexico,MEX,2000,0.8
Mexico,MEX,2005,0.8
Mexico,MEX,2010,0.5
Mexico,MEX,2015,0.5
Mexico,MEX,2019,0.4
Micronesia (country),FSM,2000,1.2
Micronesia (country),FSM,2005,1.1
Micronesia (country),FSM,2010,1
Micronesia (country),FSM,2015,0.9
Micronesia (country),FSM,2019,0.9
Moldova,MDA,2000,6.8
Moldova,MDA,2005,9
Moldova,MDA,2010,6.7
Moldova,MDA,2015,7.1
Moldova,MDA,2019,5.5
Mongolia,MNG,2000,9.2
Mongolia,MNG,2005,4.2
Mongolia,MNG,2010,3.1
Mongolia,MNG,2015,2.9
Mongolia,MNG,2019,2.8
Montenegro,MNE,2000,0.9
Montenegro,MNE,2005,0.7
Montenegro,MNE,2010,0.6
Montenegro,MNE,2015,0.6
Montenegro,MNE,2019,0.6
Morocco,MAR,2000,1.2
Morocco,MAR,2005,1
Morocco,MAR,2010,0.9
Morocco,MAR,2015,0.8
Morocco,MAR,2019,0.7
Mozambique,MOZ,2000,4.4
Mozambique,MOZ,2005,3.9
Mozambique,MOZ,2010,4.3
Mozambique,MOZ,2015,3.9
Mozambique,MOZ,2019,3.7
Myanmar,MMR,2000,3.3
Myanmar,MMR,2005,3
Myanmar,MMR,2010,2
Myanmar,MMR,2015,1.7
Myanmar,MMR,2019,1.3
Namibia,NAM,2000,2.7
Namibia,NAM,2005,2.3
Namibia,NAM,2010,1.9
Namibia,NAM,2015,2.1
Namibia,NAM,2019,1.9
Nepal,NPL,2000,2.6
Nepal,NPL,2005,2.1
Nepal,NPL,2010,2.1
Nepal,NPL,2015,1.6
Nepal,NPL,2019,1.7
Netherlands,NLD,2000,0.1
Netherlands,NLD,2005,0.1
Netherlands,NLD,2010,0.1
Netherlands,NLD,2015,0.1
Netherlands,NLD,2019,0.1
New Zealand,NZL,2000,0.3
New Zealand,NZL,2005,0.2
New Zealand,NZL,2010,0.3
New Zealand,NZL,2015,0.2
New Zealand,NZL,2019,0.2
Nicaragua,NIC,2000,0.6
Nicaragua,NIC,2005,0.3
Nicaragua,NIC,2010,0.3
Nicaragua,NIC,2015,0.2
Nicaragua,NIC,2019,0.3
Niger,NER,2000,4.7
Niger,NER,2005,4.5
Niger,NER,2010,3.9
Niger,NER,2015,3.4
Niger,NER,2019,3.3
Nigeria,NGA,2000,2.9
Nigeria,NGA,2005,2.9
Nigeria,NGA,2010,3.5
Nigeria,NGA,2015,3.2
Nigeria,NGA,2019,3.3
North Korea,PRK,2000,1.3
North Korea,PRK,2005,1.3
North Korea,PRK,2010,1.5
North Korea,PRK,2015,1.6
North Korea,PRK,2019,1.4
North Macedonia,MKD,2000,0.7
North Macedonia,MKD,2005,0.6
North Macedonia,MKD,2010,0.6
North Macedonia,MKD,2015,0.5
North Macedonia,MKD,2019,0.5
Northern Africa,,2000,1.1
Northern Africa,,2005,1
Northern Africa,,2010,0.9
Northern Africa,,2015,0.8
Northern Africa,,2019,0.7
Northern Africa and Western Asia,,2000,1
Northern Africa and Western Asia,,2005,0.9
Northern Africa and Western Asia,,2010,0.8
Northern Africa and Western Asia,,2015,0.7
Northern Africa and Western Asia,,2019,0.7
Northern America,,2000,0.4
Northern America,,2005,0.4
Northern America,,2010,0.4
Northern America,,2015,0.4
Northern America,,2019,0.5
Norway,NOR,2000,0.2
Norway,NOR,2005,0.3
Norway,NOR,2010,0.3
Norway,NOR,2015,0.3
Norway,NOR,2019,0.3
Oceania,,2000,0.6
Oceania,,2005,0.5
Oceania,,2010,0.5
Oceania,,2015,0.5
Oceania,,2019,0.5
Oceania (exc. Australia and New Zealand),,2000,1.2
Oceania (exc. Australia and New Zealand),,2005,1.2
Oceania (exc. Australia and New Zealand),,2010,1.2
Oceania (exc. Australia and New Zealand),,2015,1.3
Oceania (exc. Australia and New Zealand),,2019,1.3
Oman,OMN,2000,1.4
Oman,OMN,2005,1.3
Oman,OMN,2010,1.4
Oman,OMN,2015,1
Oman,OMN,2019,0.9
Pakistan,PAK,2000,2.5
Pakistan,PAK,2005,1.8
Pakistan,PAK,2010,2.2
Pakistan,PAK,2015,1.7
Pakistan,PAK,2019,1.6
Panama,PAN,2000,0.4
Panama,PAN,2005,0.4
Panama,PAN,2010,0.5
Panama,PAN,2015,0.1
Panama,PAN,2019,0.1
Papua New Guinea,PNG,2000,1.3
Papua New Guinea,PNG,2005,1.3
Papua New Guinea,PNG,2010,1.3
Papua New Guinea,PNG,2015,1.4
Papua New Guinea,PNG,2019,1.4
Paraguay,PRY,2000,0.3
Paraguay,PRY,2005,0.2
Paraguay,PRY,2010,0.2
Paraguay,PRY,2015,0.1
Paraguay,PRY,2019,0.2
Peru,PER,2000,0.7
Peru,PER,2005,0.5
Peru,PER,2010,0.5
Peru,PER,2015,0.4
Peru,PER,2019,0.4
Philippines,PHL,2000,0.3
Philippines,PHL,2005,0.2
Philippines,PHL,2010,0.2
Philippines,PHL,2015,0.2
Philippines,PHL,2019,0.2
Poland,POL,2000,1.1
Poland,POL,2005,1.2
Poland,POL,2010,0.9
Poland,POL,2015,0.4
Poland,POL,2019,0.5
Portugal,PRT,2000,0.3
Portugal,PRT,2005,0.2
Portugal,PRT,2010,0.2
Portugal,PRT,2015,0.2
Portugal,PRT,2019,0.3
Qatar,QAT,2000,0.4
Qatar,QAT,2005,0.3
Qatar,QAT,2010,0.5
Qatar,QAT,2015,0.3
Qatar,QAT,2019,0.3
Romania,ROU,2000,4.4
Romania,ROU,2005,3.6
Romania,ROU,2010,2.6
Romania,ROU,2015,2
Romania,ROU,2019,1.9
Russia,RUS,2000,8.9
Russia,RUS,2005,8.8
Russia,RUS,2010,6.1
Russia,RUS,2015,4.5
Russia,RUS,2019,3.8
Rwanda,RWA,2000,5.6
Rwanda,RWA,2005,3.7
Rwanda,RWA,2010,2.6
Rwanda,RWA,2015,2
Rwanda,RWA,2019,1.7
Saint Lucia,LCA,2000,0.3
Saint Lucia,LCA,2005,0.2
Saint Lucia,LCA,2010,0.2
Saint Lucia,LCA,2015,0.2
Saint Lucia,LCA,2019,0.1
Saint Vincent and the Grenadines,VCT,2000,0.1
Saint Vincent and the Grenadines,VCT,2005,0
Saint Vincent and the Grenadines,VCT,2010,0.4
Saint Vincent and the Grenadines,VCT,2015,0
Saint Vincent and the Grenadines,VCT,2019,0
Samoa,WSM,2000,0.6
Samoa,WSM,2005,0.5
Samoa,WSM,2010,0.5
Samoa,WSM,2015,0.5
Samoa,WSM,2019,0.4
Sao Tome and Principe,STP,2000,1.1
Sao Tome and Principe,STP,2005,0.9
Sao Tome and Principe,STP,2010,0.8
Sao Tome and Principe,STP,2015,0.7
Sao Tome and Principe,STP,2019,0.7
Saudi Arabia,SAU,2000,0.8
Saudi Arabia,SAU,2005,0.8
Saudi Arabia,SAU,2010,0.9
Saudi Arabia,SAU,2015,0.9
Saudi Arabia,SAU,2019,0.8
Senegal,SEN,2000,3.4
Senegal,SEN,2005,3.1
Senegal,SEN,2010,2.5
Senegal,SEN,2015,2.3
Senegal,SEN,2019,1.9
Serbia,SRB,2000,0.5
Serbia,SRB,2005,0.6
Serbia,SRB,2010,0.6
Serbia,SRB,2015,0.4
Serbia,SRB,2019,0.3
Seychelles,SYC,2000,0.7
Seychelles,SYC,2005,0.7
Seychelles,SYC,2010,0.6
Seychelles,SYC,2015,0.5
Seychelles,SYC,2019,0.5
Sierra Leone,SLE,2000,3
Sierra Leone,SLE,2005,3.2
Sierra Leone,SLE,2010,3
Sierra Leone,SLE,2015,3.1
Sierra Leone,SLE,2019,2.8
Singapore,SGP,2000,0
Singapore,SGP,2005,0.1
Singapore,SGP,2010,0
Singapore,SGP,2015,0.1
Singapore,SGP,2019,0
Slovakia,SVK,2000,1.1
Slovakia,SVK,2005,0.7
Slovakia,SVK,2010,0.6
Slovakia,SVK,2015,0.6
Slovakia,SVK,2019,0.5
Slovenia,SVN,2000,0.5
Slovenia,SVN,2005,0.6
Slovenia,SVN,2010,0.5
Slovenia,SVN,2015,0.4
Slovenia,SVN,2019,0.2
Small Island Developing States (SIDS),,2000,0.8
Small Island Developing States (SIDS),,2005,0.7
Small Island Developing States (SIDS),,2010,2
Small Island Developing States (SIDS),,2015,0.7
Small Island Developing States (SIDS),,2019,0.7
Solomon Islands,SLB,2000,1.4
Solomon Islands,SLB,2005,2
Solomon Islands,SLB,2010,2.1
Solomon Islands,SLB,2015,1.9
Solomon Islands,SLB,2019,2.3
Somalia,SOM,2000,6
Somalia,SOM,2005,5.9
Somalia,SOM,2010,5.8
Somalia,SOM,2015,4.8
Somalia,SOM,2019,4.9
South Africa,ZAF,2000,2
