Entity,Code,Year,3.8.2 - Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%) - SH_XPD_EARN25
Iran,IRN,2015,3.89343
Iran,IRN,2016,3.79998
Iran,IRN,2017,3.70469
Iran,IRN,2018,3.7
Iran,IRN,2019,3.4597
Iraq,IRQ,2006,0.42561
Iraq,IRQ,2012,0.87106
Ireland,IRL,2009,0.47965
Israel,ISR,2001,2.3287
Israel,ISR,2005,2.2265
Israel,ISR,2007,2.31368
Israel,ISR,2010,1.39797
Israel,ISR,2012,1.84238
Italy,ITA,2001,1.27229
Italy,ITA,2010,1.08318
Jamaica,JAM,2001,0.55613
Jamaica,JAM,2002,2.68062
Jamaica,JAM,2003,2.59295
Jamaica,JAM,2004,2.87733
Japan,JPN,2010,1.6
Japan,JPN,2011,1.6
Japan,JPN,2012,1.7
Japan,JPN,2013,1.6
Japan,JPN,2014,1.6
Japan,JPN,2015,1.6
Japan,JPN,2016,1.6
Japan,JPN,2017,1.6
Japan,JPN,2018,1.7
Japan,JPN,2019,1.9
Jordan,JOR,2002,0.03304
Jordan,JOR,2006,0.90555
Jordan,JOR,2008,0.2537
Kazakhstan,KAZ,2001,0.08749
Kazakhstan,KAZ,2002,0.11498
Kazakhstan,KAZ,2003,0.15185
Kazakhstan,KAZ,2004,0.13438
Kazakhstan,KAZ,2005,0.0607
Kazakhstan,KAZ,2007,0.55004
Kazakhstan,KAZ,2008,0.42302
Kazakhstan,KAZ,2009,0.11829
Kazakhstan,KAZ,2010,0.18536
Kazakhstan,KAZ,2011,0.03096
Kazakhstan,KAZ,2012,0.07565
Kazakhstan,KAZ,2013,0.06646
Kazakhstan,KAZ,2014,0.08075
Kazakhstan,KAZ,2015,0.11997
Kenya,KEN,2005,1.55991
Kenya,KEN,2015,1.26578
Kiribati,KIR,2006,0
Kyrgyzstan,KGZ,2000,0.05702
Kyrgyzstan,KGZ,2001,0.0968
Kyrgyzstan,KGZ,2002,0.18553
Kyrgyzstan,KGZ,2003,0.04453
Kyrgyzstan,KGZ,2004,2.02154
Kyrgyzstan,KGZ,2005,0.50245
Kyrgyzstan,KGZ,2006,0.79847
Kyrgyzstan,KGZ,2007,0.56522
Kyrgyzstan,KGZ,2008,0.29761
Kyrgyzstan,KGZ,2009,0.36346
Kyrgyzstan,KGZ,2010,0.0293
Kyrgyzstan,KGZ,2016,0.72351
Landlocked developing countries (LLDCs),,2000,1.0214
Landlocked developing countries (LLDCs),,2005,0.87604
Landlocked developing countries (LLDCs),,2010,0.99679
Landlocked developing countries (LLDCs),,2015,1.56295
Landlocked developing countries (LLDCs),,2017,1.82956
Laos,LAO,2002,0.05312
Laos,LAO,2007,0.26367
Latin America and the Caribbean,,2000,1.17449
Latin America and the Caribbean,,2005,1.6042
Latin America and the Caribbean,,2010,1.53992
Latin America and the Caribbean,,2015,1.62823
Latin America and the Caribbean,,2017,1.58917
Latvia,LVA,2002,1.34106
Latvia,LVA,2003,1.65489
Latvia,LVA,2004,1.87612
Latvia,LVA,2005,2.27706
Latvia,LVA,2006,1.83147
Latvia,LVA,2007,3.34053
Latvia,LVA,2008,2.62459
Latvia,LVA,2009,3.4972
Latvia,LVA,2010,4.20336
Latvia,LVA,2011,4.86201
Latvia,LVA,2012,4.20203
Latvia,LVA,2013,4.32106
Latvia,LVA,2014,4.91607
Latvia,LVA,2015,5.18724
Latvia,LVA,2016,5.70009
Least developed countries (LDCs),,2000,1.79148
Least developed countries (LDCs),,2005,1.72649
Least developed countries (LDCs),,2010,1.97439
Least developed countries (LDCs),,2015,2.94008
Least developed countries (LDCs),,2017,2.97118
Lebanon,LBN,2012,6.3
Lesotho,LSO,2010,1.35076
Liberia,LBR,2007,1.59529
Liberia,LBR,2014,6.17024
Liberia,LBR,2016,1.1313
Lithuania,LTU,2000,2.4276
Lithuania,LTU,2001,2.68814
Lithuania,LTU,2002,2.88454
Lithuania,LTU,2003,2.296
Lithuania,LTU,2004,2.52806
Lithuania,LTU,2008,2.66562
Luxembourg,LUX,2010,0.14817
Luxembourg,LUX,2012,0.23866
Luxembourg,LUX,2013,0.20239
Luxembourg,LUX,2014,0.22228
Luxembourg,LUX,2015,0.22371
Luxembourg,LUX,2016,0.28101
Madagascar,MDG,2005,0
Madagascar,MDG,2010,0.21417
Madagascar,MDG,2012,0.63126
Malawi,MWI,2004,0
Malawi,MWI,2010,0.09566
Malawi,MWI,2013,1.68573
Malawi,MWI,2016,1.02095
Malaysia,MYS,2013,0.16
Malaysia,MYS,2016,0.19
Malaysia,MYS,2019,0.13061
Maldives,MDV,2004,0.58753
Maldives,MDV,2009,6.15891
Maldives,MDV,2016,4.06678
Mali,MLI,2006,0.09252
Mali,MLI,2009,0.68812
Mali,MLI,2011,0.1652
Mali,MLI,2014,0.33601
Mali,MLI,2015,0.22369
Mali,MLI,2016,0.16699
Mali,MLI,2017,0.0585
Mali,MLI,2018,0.08952
Malta,MLT,2008,2.85489
Malta,MLT,2015,2.7473
Mauritania,MRT,2004,1.80773
Mauritania,MRT,2014,2.94621
Mauritius,MUS,2006,0.6557
Mauritius,MUS,2012,0.78772
Mauritius,MUS,2017,1.90461
Mexico,MEX,2008,0.7308
Mexico,MEX,2012,0.48385
Mexico,MEX,2014,0.56452
Mexico,MEX,2016,0.23063
Moldova,MDA,2000,2.7215
Moldova,MDA,2001,2.97186
Moldova,MDA,2002,3.0527
Moldova,MDA,2003,3.38925
Moldova,MDA,2004,2.62093
Moldova,MDA,2005,3.28119
Moldova,MDA,2006,3.56759
Moldova,MDA,2007,3.51946
Moldova,MDA,2008,3.55641
Moldova,MDA,2009,3.39433
Moldova,MDA,2010,3.79275
Moldova,MDA,2011,3.22683
Moldova,MDA,2012,3.25957
Moldova,MDA,2013,3.55867
Moldova,MDA,2014,3.02452
Moldova,MDA,2015,3.72881
Moldova,MDA,2016,3.56346
Mongolia,MNG,2002,0.07559
Mongolia,MNG,2009,0.22136
Mongolia,MNG,2010,0.12564
Mongolia,MNG,2011,0.20112
Mongolia,MNG,2012,0.2876
Mongolia,MNG,2014,0.51946
Mongolia,MNG,2016,0.91392
Mongolia,MNG,2018,1.33401
Montenegro,MNE,2005,1.51307
Montenegro,MNE,2006,0.69464
Montenegro,MNE,2007,1.48089
Montenegro,MNE,2008,1.12059
Montenegro,MNE,2009,0.64282
Montenegro,MNE,2010,0.72031
Montenegro,MNE,2011,0.7522
Montenegro,MNE,2012,0.84394
Montenegro,MNE,2013,1.73022
Montenegro,MNE,2014,0.96188
Montenegro,MNE,2015,0.77786
Morocco,MAR,2000,0.53411
Morocco,MAR,2006,2.69966
Morocco,MAR,2013,6.43894
Mozambique,MOZ,2002,0.04545
Mozambique,MOZ,2008,0.30739
Mozambique,MOZ,2014,0.40306
Myanmar,MMR,2015,3.58429
Myanmar,MMR,2017,3.46829
Namibia,NAM,2009,0.21258
Namibia,NAM,2015,0.31883
Nepal,NPL,2003,0.79971
Nepal,NPL,2013,2.12146
Nepal,NPL,2014,2.271
Nepal,NPL,2015,2.13588
Nepal,NPL,2016,2.10224
Nicaragua,NIC,2001,3.22838
Nicaragua,NIC,2009,2.46734
Nicaragua,NIC,2014,9.1028
Niger,NER,2005,0.16585
Niger,NER,2007,0.1048
Niger,NER,2011,1.86251
Niger,NER,2018,0.9056
Nigeria,NGA,2003,10.64483
Nigeria,NGA,2009,8.92006
Nigeria,NGA,2010,5.36717
Nigeria,NGA,2012,4.41722
Nigeria,NGA,2015,4.55406
Nigeria,NGA,2018,4.09421
North Macedonia,MKD,2000,0.51961
North Macedonia,MKD,2002,0.81255
North Macedonia,MKD,2003,1.11365
North Macedonia,MKD,2004,0.83883
North Macedonia,MKD,2005,0.69431
North Macedonia,MKD,2006,0.77755
Northern Africa and Western Asia,,2000,1.55418
Northern Africa and Western Asia,,2005,1.63875
Northern Africa and Western Asia,,2010,1.75957
Northern Africa and Western Asia,,2015,2.28611
Northern Africa and Western Asia,,2017,2.36442
Northern America,,2000,1.01123
Northern America,,2005,0.91704
Northern America,,2010,0.76835
Northern America,,2015,0.74517
Northern America,,2017,0.68519
Oceania,,2000,1.12059
Oceania,,2005,0.9247
Oceania,,2010,0.55829
Oceania,,2015,0.51543
Oceania,,2017,0.23904
Pakistan,PAK,2001,0.08463
Pakistan,PAK,2004,0.06615
Pakistan,PAK,2007,0.03783
Pakistan,PAK,2010,0.36612
Pakistan,PAK,2011,0.48681
Pakistan,PAK,2013,0.64324
Pakistan,PAK,2015,0.49841
Palestine,PSE,2004,1.17586
Palestine,PSE,2005,0.85248
Palestine,PSE,2006,0.68932
Palestine,PSE,2007,1.27558
Palestine,PSE,2009,1.27912
Palestine,PSE,2010,0.9741
Palestine,PSE,2016,0.96602
Panama,PAN,2003,3.23244
Panama,PAN,2007,0.28976
Panama,PAN,2008,0.63517
Panama,PAN,2017,0.65158
Paraguay,PRY,2000,2.40306
Paraguay,PRY,2001,2.04382
Paraguay,PRY,2013,2.37511
Paraguay,PRY,2014,1.93376
Peru,PER,2000,2.89132
Peru,PER,2006,1.3378
Peru,PER,2008,1.56356
Peru,PER,2009,1.35144
Peru,PER,2011,1.28501
Peru,PER,2012,1.47517
Peru,PER,2013,1.38369
Peru,PER,2014,1.24671
Peru,PER,2015,1.20338
Peru,PER,2016,1.01893
Peru,PER,2017,0.8858
Peru,PER,2018,1.27782
Peru,PER,2019,1.14104
Philippines,PHL,2000,0.61348
Philippines,PHL,2003,0.61489
Philippines,PHL,2006,0.97539
Philippines,PHL,2009,1.01051
Philippines,PHL,2012,1.29369
Philippines,PHL,2015,1.41478
Poland,POL,2000,1.4613
Poland,POL,2001,1.27079
Poland,POL,2002,1.30861
Poland,POL,2003,1.11051
Poland,POL,2004,1.51433
Poland,POL,2005,1.95579
Poland,POL,2006,1.78731
Poland,POL,2007,1.82124
Poland,POL,2008,1.62676
Poland,POL,2009,1.65948
Poland,POL,2010,1.43687
Poland,POL,2011,1.4175
Poland,POL,2012,1.61058
Poland,POL,2013,1.35511
Poland,POL,2014,1.18648
Poland,POL,2015,1.4631
Poland,POL,2016,1.31569
Portugal,PRT,2011,3.31108
Romania,ROU,2000,1.19935
Romania,ROU,2001,1.25805
Romania,ROU,2002,1.55046
Romania,ROU,2003,1.45514
Romania,ROU,2004,2.0709
Romania,ROU,2005,2.41239
Romania,ROU,2006,2.44362
Romania,ROU,2007,2.41922
Romania,ROU,2008,2.36089
Romania,ROU,2009,2.70141
Romania,ROU,2010,2.60148
Romania,ROU,2011,2.39403
Romania,ROU,2012,2.29311
Romania,ROU,2013,2.01323
Romania,ROU,2015,2.47375
Romania,ROU,2016,2.19121
Russia,RUS,2000,0.28967
Russia,RUS,2001,0.38816
Russia,RUS,2002,0.62586
Russia,RUS,2003,0.13049
Russia,RUS,2004,0.17781
Russia,RUS,2010,0.53572
Russia,RUS,2011,0.49944
Russia,RUS,2012,0.16985
Russia,RUS,2013,0.66081
Russia,RUS,2014,0.59572
Russia,RUS,2019,1.3
Russia,RUS,2020,0.9
Rwanda,RWA,2000,1.33514
Rwanda,RWA,2005,0.35572
Rwanda,RWA,2010,0.69978
Rwanda,RWA,2013,0.29127
Rwanda,RWA,2016,0.13072
Saint Lucia,LCA,2016,1.9294
Sao Tome and Principe,STP,2010,0.09682
Sao Tome and Principe,STP,2017,1.15236
Saudi Arabia,SAU,2013,0.6
Saudi Arabia,SAU,2018,0.58
Senegal,SEN,2001,0.14697
Senegal,SEN,2005,0
Senegal,SEN,2011,0.19358
Serbia,SRB,2003,1.32542
Serbia,SRB,2004,1.74535
Serbia,SRB,2005,2.14762
Serbia,SRB,2006,1.53595
Serbia,SRB,2007,1.43795
Serbia,SRB,2008,1.46808
Serbia,SRB,2009,0.64501
Serbia,SRB,2010,0.83792
Serbia,SRB,2013,0.82513
Serbia,SRB,2015,0.53042
Seychelles,SYC,2006,0
Seychelles,SYC,2013,1.29809
Sierra Leone,SLE,2003,15.18728
Sierra Leone,SLE,2011,11.90198
Sierra Leone,SLE,2018,3.0447
Singapore,SGP,2013,1.47486
Slovakia,SVK,2004,0.42998
Slovakia,SVK,2005,0.52388
Slovakia,SVK,2006,0.45363
Slovakia,SVK,2007,0.26314
Slovakia,SVK,2008,0.51353
Slovakia,SVK,2009,0.40539
Slovakia,SVK,2010,0.43767
Slovakia,SVK,2015,0.04253
Slovenia,SVN,2007,0.14866
Slovenia,SVN,2010,0.22076
Slovenia,SVN,2012,0.38916
Slovenia,SVN,2015,0.30521
Slovenia,SVN,2018,0.31003
Small Island Developing States (SIDS),,2000,0.94294
Small Island Developing States (SIDS),,2005,1.44947
Small Island Developing States (SIDS),,2010,1.40283
Small Island Developing States (SIDS),,2015,1.67102
Small Island Developing States (SIDS),,2017,1.25499
Somalia,SOM,2016,0
Somalia,SOM,2017,0
South Africa,ZAF,2000,0.22058
South Africa,ZAF,2005,0.18784
South Africa,ZAF,2008,0.54635
South Africa,ZAF,2010,0.00465
South Africa,ZAF,2014,0.12076
South Korea,KOR,2003,0.90689
South Korea,KOR,2004,0.83877
South Korea,KOR,2005,1.43336
South Korea,KOR,2006,1.78447
South Korea,KOR,2007,2.26786
South Korea,KOR,2008,1.88183
South Korea,KOR,2009,2.00791
South Korea,KOR,2010,1.74406
South Korea,KOR,2011,1.7162
South Korea,KOR,2012,1.56777
South Korea,KOR,2013,1.71447
South Korea,KOR,2014,1.91151
South Korea,KOR,2015,2.13963
South Korea,KOR,2016,1.96041
South Korea,KOR,2017,1.41471
South Korea,KOR,2018,2.86906
South Sudan,SSD,2009,2.62644
South Sudan,SSD,2016,2.70996
South Sudan,SSD,2017,4.04738
Spain,ESP,2006,1.27392
Spain,ESP,2007,1.11884
Spain,ESP,2008,1.23513
Spain,ESP,2009,1.29173
Spain,ESP,2010,1.21268
Spain,ESP,2011,1.18054
Spain,ESP,2012,1.29603
Spain,ESP,2013,1.06918
Spain,ESP,2014,1.33829
Spain,ESP,2015,1.55352
Spain,ESP,2016,1.06777
Spain,ESP,2017,1.12122
Spain,ESP,2018,1.06336
Spain,ESP,2019,1.123
Sri Lanka,LKA,2005,0.69714
Sri Lanka,LKA,2006,0.71707
Sri Lanka,LKA,2009,0.73897
Sri Lanka,LKA,2012,1.0059
Sri Lanka,LKA,2015,0.89674
Sri Lanka,LKA,2016,0.89854
Sub-Saharan Africa,,2000,2.69071
Sub-Saharan Africa,,2005,2.70475
Sub-Saharan Africa,,2010,1.83026
Sub-Saharan Africa,,2015,2.16679
Sub-Saharan Africa,,2017,2.03307
Sudan,SDN,2009,3.33657
Suriname,SUR,2016,1.35123
Syria,SYR,2003,0.69793
Syria,SYR,2007,1.41416
Tajikistan,TJK,2003,4.90837
Tajikistan,TJK,2007,1.46375
Tajikistan,TJK,2009,2.89666
Tajikistan,TJK,2013,1.68376
Tajikistan,TJK,2014,1.90655
Tajikistan,TJK,2016,1.88733
Tajikistan,TJK,2017,1.91357
Tajikistan,TJK,2018,2.19295
Tanzania,TZA,2000,0.20127
Tanzania,TZA,2007,0.30454
Tanzania,TZA,2011,1.95643
Tanzania,TZA,2018,0.81677
Thailand,THA,2000,0.92723
Thailand,THA,2002,0.84295
Thailand,THA,2004,0.76842
Thailand,THA,2006,0.76827
Thailand,THA,2007,0.7054
Thailand,THA,2008,0.56168
Thailand,THA,2009,0.60123
Thailand,THA,2010,0.46513
Thailand,THA,2011,0.3816
Thailand,THA,2012,0.41576
Thailand,THA,2013,0.40358
Thailand,THA,2014,0.3488
Thailand,THA,2015,0.35953
Thailand,THA,2016,0.32112
Thailand,THA,2017,0.41035
Thailand,THA,2018,0.34103
Thailand,THA,2019,0.27343
Timor,TLS,2001,0
Timor,TLS,2007,0.65299
Timor,TLS,2014,0.5463
Togo,TGO,2006,0.20535
Togo,TGO,2011,4.81283
Togo,TGO,2015,7.78783
Togo,TGO,2018,2.43388
Tokelau,TKL,2015,0
Trinidad and Tobago,TTO,2005,1.04053
Trinidad and Tobago,TTO,2014,1.92929
Tunisia,TUN,2000,7.74892
Tunisia,TUN,2005,7.06235
Tunisia,TUN,2010,2.36454
Tunisia,TUN,2015,2.36133
Turkey,TUR,2002,1.06633
Turkey,TUR,2003,0.98662
Turkey,TUR,2004,1.03833
Turkey,TUR,2005,0.86749
Turkey,TUR,2006,0.89998
Turkey,TUR,2007,0.90566
Turkey,TUR,2008,0.68039
Turkey,TUR,2009,0.7348
Turkey,TUR,2010,0.59249
Turkey,TUR,2011,0.44972
Turkey,TUR,2012,0.31992
Turkey,TUR,2013,0.4845
Turkey,TUR,2014,0.52971
Turkey,TUR,2015,0.49954
Turkey,TUR,2016,0.36361
Uganda,UGA,2002,0.73994
Uganda,UGA,2005,2.19778
Uganda,UGA,2009,1.41856
Uganda,UGA,2012,3.58705
Uganda,UGA,2016,3.77239
Ukraine,UKR,2002,1.78715
Ukraine,UKR,2003,1.41117
Ukraine,UKR,2004,1.25882
Ukraine,UKR,2005,0.92574
Ukraine,UKR,2006,0.98414
Ukraine,UKR,2007,1.15721
Ukraine,UKR,2008,0.735
Ukraine,UKR,2009,0.82219
Ukraine,UKR,2010,0.88582
Ukraine,UKR,2011,0.89735
Ukraine,UKR,2012,1.03942
Ukraine,UKR,2013,1.07274
Ukraine,UKR,2014,0.84665
Ukraine,UKR,2015,0.62888
Ukraine,UKR,2016,1.31231
Ukraine,UKR,2017,1.04954
Ukraine,UKR,2018,1.23139
Ukraine,UKR,2019,1.15282
United Kingdom,GBR,2000,0.26034
United Kingdom,GBR,2005,0.34296
United Kingdom,GBR,2010,0.43931
United Kingdom,GBR,2013,0.48044
United Kingdom,GBR,2014,0.40264
United Kingdom,GBR,2016,0.50777
United Kingdom,GBR,2017,0.50882
United Kingdom,GBR,2018,0.36943
United States,USA,2000,1.0776
United States,USA,2001,1.01181
United States,USA,2002,0.99248
United States,USA,2003,0.94915
United States,USA,2004,0.8927
United States,USA,2005,0.97342
United States,USA,2006,0.825
United States,USA,2008,0.72379
United States,USA,2009,0.72777
United States,USA,2011,0.85499
United States,USA,2012,0.85647
United States,USA,2013,0.78077
