Entity,Code,Year,"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population) - SH_STA_WASH"
Europe,,2016,0.2
Europe and Northern America,,2016,0.2
Fiji,FJI,2016,2.9
Finland,FIN,2016,0
France,FRA,2016,0.3
Gabon,GAB,2016,20.6
Gambia,GMB,2016,29.7
Georgia,GEO,2016,0.2
Germany,DEU,2016,0.6
Ghana,GHA,2016,18.8
Greece,GRC,2016,0
Grenada,GRD,2016,0.3
Guatemala,GTM,2016,6.3
Guinea,GIN,2016,44.6
Guinea-Bissau,GNB,2016,35.3
Guyana,GUY,2016,3.6
Haiti,HTI,2016,23.8
Honduras,HND,2016,3.6
Hungary,HUN,2016,0.2
Iceland,ISL,2016,0.1
India,IND,2016,18.6
Indonesia,IDN,2016,7.1
Iran,IRN,2016,1
Iraq,IRQ,2016,3
Ireland,IRL,2016,0.1
Israel,ISR,2016,0.2
Italy,ITA,2016,0.1
Jamaica,JAM,2016,0.6
Japan,JPN,2016,0.2
Jordan,JOR,2016,0.6
Kazakhstan,KAZ,2016,0.4
Kenya,KEN,2016,51.2
Kiribati,KIR,2016,16.7
Kuwait,KWT,2016,0
Kyrgyzstan,KGZ,2016,0.8
Landlocked developing countries (LLDCs),,2016,32.4
Laos,LAO,2016,11.3
Latin America and the Caribbean,,2016,1.7
Latvia,LVA,2016,0
Least developed countries (LDCs),,2016,34.3
Lebanon,LBN,2016,0.8
Lesotho,LSO,2016,44.4
Liberia,LBR,2016,41.5
Libya,LBY,2016,0.6
Lithuania,LTU,2016,0.1
Luxembourg,LUX,2016,0
Madagascar,MDG,2016,30.2
Malawi,MWI,2016,28.3
Malaysia,MYS,2016,0.4
Maldives,MDV,2016,0.3
Mali,MLI,2016,70.7
Malta,MLT,2016,0
Mauritania,MRT,2016,38.6
Mauritius,MUS,2016,0.6
Mexico,MEX,2016,1.1
Micronesia (country),FSM,2016,3.6
Moldova,MDA,2016,0.1
Mongolia,MNG,2016,1.3
Montenegro,MNE,2016,0
Morocco,MAR,2016,1.9
Mozambique,MOZ,2016,27.6
Myanmar,MMR,2016,12.6
Namibia,NAM,2016,18.3
Nepal,NPL,2016,19.8
Netherlands,NLD,2016,0.2
New Zealand,NZL,2016,0.1
Nicaragua,NIC,2016,2.2
Niger,NER,2016,70.8
Nigeria,NGA,2016,68.6
North Korea,PRK,2016,1.4
North Macedonia,MKD,2016,0.1
Northern Africa,,2016,4.5
Northern Africa (exc. Sudan),,2016,1.8
Northern Africa and Western Asia,,2016,3.2
Northern America,,2016,0.2
Norway,NOR,2016,0.2
Oceania,,2016,3.7
Oceania (exc. Australia and New Zealand),,2016,13.7
Oman,OMN,2016,0
Pakistan,PAK,2016,19.6
Panama,PAN,2016,1.9
Papua New Guinea,PNG,2016,16.3
Paraguay,PRY,2016,1.5
Peru,PER,2016,1.3
Philippines,PHL,2016,4.2
Poland,POL,2016,0.1
Portugal,PRT,2016,0.2
Qatar,QAT,2016,0
Romania,ROU,2016,0.4
Russia,RUS,2016,0.1
Rwanda,RWA,2016,19.3
Saint Lucia,LCA,2016,0.6
Saint Vincent and the Grenadines,VCT,2016,1.3
Samoa,WSM,2016,1.5
Sao Tome and Principe,STP,2016,11.4
Saudi Arabia,SAU,2016,0.1
Senegal,SEN,2016,23.9
Serbia,SRB,2016,0.7
Seychelles,SYC,2016,0.2
Sierra Leone,SLE,2016,81.3
Singapore,SGP,2016,0.1
Slovakia,SVK,2016,0
Slovenia,SVN,2016,0
Small Island Developing States (SIDS),,2016,9
Solomon Islands,SLB,2016,6.2
Somalia,SOM,2016,86.6
South Africa,ZAF,2016,13.7
South Korea,KOR,2016,1.8
South Sudan,SSD,2016,63.3
South-eastern Asia,,2016,5.5
Southern Asia,,2016,17.1
Spain,ESP,2016,0.2
Sri Lanka,LKA,2016,1.2
Sub-Saharan Africa,,2016,48.2
Sub-Saharan Africa (inc. Sudan),,2016,47
Sudan,SDN,2016,17.3
Suriname,SUR,2016,2
Sweden,SWE,2016,0.2
Switzerland,CHE,2016,0.1
Syria,SYR,2016,3.7
Tajikistan,TJK,2016,2.7
Tanzania,TZA,2016,38.4
Thailand,THA,2016,3.5
Timor,TLS,2016,9.9
Togo,TGO,2016,41.6
Tonga,TON,2016,1.4
Trinidad and Tobago,TTO,2016,0.1
Tunisia,TUN,2016,1
Turkey,TUR,2016,0.3
Turkmenistan,TKM,2016,4
Uganda,UGA,2016,31.6
Ukraine,UKR,2016,0.3
United Arab Emirates,ARE,2016,0
United Kingdom,GBR,2016,0.2
United States,USA,2016,0.2
Uruguay,URY,2016,0.4
Uzbekistan,UZB,2016,0.4
Vanuatu,VUT,2016,10.4
Venezuela,VEN,2016,1.4
Vietnam,VNM,2016,1.6
Western Asia,,2016,2
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2016,2.2
World,OWID_WRL,2016,11.7
Yemen,YEM,2016,10.2
Zambia,ZMB,2016,34.9
Zimbabwe,ZWE,2016,24.6
