Entity,Code,Year,11.a.1 - Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space (1 = YES; 0 = NO) - SD_CPA_UPRDP
San Marino,SMR,2020,0
Sao Tome and Principe,STP,2020,1
Saudi Arabia,SAU,2020,1
Senegal,SEN,2020,1
Serbia,SRB,2020,1
Seychelles,SYC,2020,0
Sierra Leone,SLE,2020,0
Singapore,SGP,2020,1
Sint Maarten (Dutch part),SXM,2020,0
Slovakia,SVK,2020,1
Slovenia,SVN,2020,1
Solomon Islands,SLB,2020,1
Somalia,SOM,2020,1
South Africa,ZAF,2020,1
South Georgia and the South Sandwich Islands,SGS,2020,0
South Korea,KOR,2020,1
South Sudan,SSD,2020,1
South-eastern Asia,,2020,11
Southern Asia,,2020,9
Spain,ESP,2020,1
Sri Lanka,LKA,2020,1
Sub-Saharan Africa,,2020,40
Sudan,SDN,2020,1
Suriname,SUR,2020,0
Svalbard and Jan Mayen,SJM,2020,0
Sweden,SWE,2020,1
Switzerland,CHE,2020,1
Syria,SYR,2020,1
Tajikistan,TJK,2020,1
Tanzania,TZA,2020,1
Thailand,THA,2020,1
Timor,TLS,2020,1
Togo,TGO,2020,1
Tokelau,TKL,2020,0
Tonga,TON,2020,1
Trinidad and Tobago,TTO,2020,0
Tunisia,TUN,2020,1
Turkey,TUR,2020,1
Turkmenistan,TKM,2020,1
Turks and Caicos Islands,TCA,2020,0
Tuvalu,TUV,2020,1
Uganda,UGA,2020,1
Ukraine,UKR,2020,1
United Arab Emirates,ARE,2020,1
United Kingdom,GBR,2020,1
United States,USA,2020,0
United States Minor Outlying Islands,UMI,2020,0
United States Virgin Islands,VIR,2020,0
Uruguay,URY,2020,1
Uzbekistan,UZB,2020,1
Vanuatu,VUT,2020,1
Vatican,VAT,2020,0
Venezuela,VEN,2020,1
Vietnam,VNM,2020,1
Wallis and Futuna,WLF,2020,0
Western Asia,,2020,14
Western Sahara,ESH,2020,0
World,OWID_WRL,2020,156
Yemen,YEM,2020,1
Zambia,ZMB,2020,1
Zimbabwe,ZWE,2020,1
