Entity,Code,Year,wat_sm
Bahrain,BHR,2001,98.85
Bahrain,BHR,2002,98.87
Bahrain,BHR,2003,98.88
Bahrain,BHR,2004,98.9
Bahrain,BHR,2005,98.91
Bahrain,BHR,2006,98.93
Bahrain,BHR,2007,98.94
Bahrain,BHR,2008,98.95
Bahrain,BHR,2009,98.96
Bahrain,BHR,2010,98.97
Bahrain,BHR,2011,98.98
Bahrain,BHR,2012,98.98
Bahrain,BHR,2013,98.98
Bahrain,BHR,2014,98.98
Bahrain,BHR,2015,98.98
Bahrain,BHR,2016,98.98
Bahrain,BHR,2017,98.98
Bahrain,BHR,2018,98.98
Bahrain,BHR,2019,98.98
Bahrain,BHR,2020,98.98
Bangladesh,BGD,2000,55.27
Bangladesh,BGD,2001,55.27
Bangladesh,BGD,2002,55.25
Bangladesh,BGD,2003,55.22
Bangladesh,BGD,2004,55.19
Bangladesh,BGD,2005,55.15
Bangladesh,BGD,2006,55.11
Bangladesh,BGD,2007,55.07
Bangladesh,BGD,2008,55.02
Bangladesh,BGD,2009,54.98
Bangladesh,BGD,2010,54.92
Bangladesh,BGD,2011,54.87
Bangladesh,BGD,2012,55.21
Bangladesh,BGD,2013,55.57
Bangladesh,BGD,2014,55.94
Bangladesh,BGD,2015,56.33
Bangladesh,BGD,2016,56.73
Bangladesh,BGD,2017,57.15
Bangladesh,BGD,2018,57.59
Bangladesh,BGD,2019,58.04
Bangladesh,BGD,2020,58.51
Belarus,BLR,2000,80.61
Belarus,BLR,2001,80.8
Belarus,BLR,2002,80.98
Belarus,BLR,2003,81.16
Belarus,BLR,2004,82.53
Belarus,BLR,2005,83.86
Belarus,BLR,2006,85.16
Belarus,BLR,2007,86.43
Belarus,BLR,2008,87.66
Belarus,BLR,2009,88.87
Belarus,BLR,2010,90.05
Belarus,BLR,2011,91.21
Belarus,BLR,2012,92.33
Belarus,BLR,2013,93.41
Belarus,BLR,2014,94.46
Belarus,BLR,2015,94.49
Belarus,BLR,2016,94.51
Belarus,BLR,2017,94.54
Belarus,BLR,2018,94.56
Belarus,BLR,2019,94.59
Belarus,BLR,2020,94.61
Belgium,BEL,2000,99.42
Belgium,BEL,2001,99.42
Belgium,BEL,2002,99.42
Belgium,BEL,2003,99.42
Belgium,BEL,2004,99.42
Belgium,BEL,2005,99.42
Belgium,BEL,2006,99.42
Belgium,BEL,2007,99.42
Belgium,BEL,2008,99.42
Belgium,BEL,2009,99.42
Belgium,BEL,2010,99.47
Belgium,BEL,2011,99.52
Belgium,BEL,2012,99.57
Belgium,BEL,2013,99.62
Belgium,BEL,2014,99.67
Belgium,BEL,2015,99.72
Belgium,BEL,2016,99.77
Belgium,BEL,2017,99.81
Belgium,BEL,2018,99.86
Belgium,BEL,2019,99.91
Belgium,BEL,2020,99.91
Bhutan,BTN,2000,28.71
Bhutan,BTN,2001,29.25
Bhutan,BTN,2002,29.8
Bhutan,BTN,2003,30.34
Bhutan,BTN,2004,30.89
Bhutan,BTN,2005,31.42
Bhutan,BTN,2006,31.85
Bhutan,BTN,2007,32.28
Bhutan,BTN,2008,32.7
Bhutan,BTN,2009,33.12
Bhutan,BTN,2010,33.54
Bhutan,BTN,2011,33.96
Bhutan,BTN,2012,34.37
Bhutan,BTN,2013,34.77
Bhutan,BTN,2014,35.17
Bhutan,BTN,2015,35.56
Bhutan,BTN,2016,35.89
Bhutan,BTN,2017,36.16
Bhutan,BTN,2018,36.33
Bhutan,BTN,2019,36.49
Bhutan,BTN,2020,36.65
Bosnia and Herzegovina,BIH,2000,87.35
Bosnia and Herzegovina,BIH,2001,87.47
Bosnia and Herzegovina,BIH,2002,87.59
Bosnia and Herzegovina,BIH,2003,87.72
Bosnia and Herzegovina,BIH,2004,87.84
Bosnia and Herzegovina,BIH,2005,87.95
Bosnia and Herzegovina,BIH,2006,88.07
Bosnia and Herzegovina,BIH,2007,88.19
Bosnia and Herzegovina,BIH,2008,88.31
Bosnia and Herzegovina,BIH,2009,88.42
Bosnia and Herzegovina,BIH,2010,88.54
Bosnia and Herzegovina,BIH,2011,88.65
Bosnia and Herzegovina,BIH,2012,88.7
Bosnia and Herzegovina,BIH,2013,88.8
Bosnia and Herzegovina,BIH,2014,88.82
Bosnia and Herzegovina,BIH,2015,88.83
Bosnia and Herzegovina,BIH,2016,88.83
Bosnia and Herzegovina,BIH,2017,88.84
Bosnia and Herzegovina,BIH,2018,88.85
Bosnia and Herzegovina,BIH,2019,88.86
Bosnia and Herzegovina,BIH,2020,88.87
Brazil,BRA,2000,76
Brazil,BRA,2001,76.56
Brazil,BRA,2002,77.05
Brazil,BRA,2003,77.33
Brazil,BRA,2004,77.6
Brazil,BRA,2005,77.87
Brazil,BRA,2006,78.14
Brazil,BRA,2007,78.4
Brazil,BRA,2008,78.65
Brazil,BRA,2009,78.9
Brazil,BRA,2010,79.15
Brazil,BRA,2011,79.39
Brazil,BRA,2012,79.62
Brazil,BRA,2013,80.41
Brazil,BRA,2014,81.2
Brazil,BRA,2015,81.98
Brazil,BRA,2016,82.69
Brazil,BRA,2017,83.53
Brazil,BRA,2018,84.29
Brazil,BRA,2019,85.06
Brazil,BRA,2020,85.77
Bulgaria,BGR,2000,89.71
Bulgaria,BGR,2001,90.22
Bulgaria,BGR,2002,90.73
Bulgaria,BGR,2003,91.25
Bulgaria,BGR,2004,91.76
Bulgaria,BGR,2005,92.27
Bulgaria,BGR,2006,92.79
Bulgaria,BGR,2007,93.3
Bulgaria,BGR,2008,93.82
Bulgaria,BGR,2009,94.33
Bulgaria,BGR,2010,94.85
Bulgaria,BGR,2011,95.36
Bulgaria,BGR,2012,95.88
Bulgaria,BGR,2013,96.39
Bulgaria,BGR,2014,96.91
Bulgaria,BGR,2015,97.25
Bulgaria,BGR,2016,97.32
Bulgaria,BGR,2017,97.4
Bulgaria,BGR,2018,97.47
Bulgaria,BGR,2019,97.54
Bulgaria,BGR,2020,97.62
Cambodia,KHM,2000,17.03
Cambodia,KHM,2001,17.5
Cambodia,KHM,2002,17.97
Cambodia,KHM,2003,18.44
Cambodia,KHM,2004,18.91
Cambodia,KHM,2005,19.38
Cambodia,KHM,2006,19.85
Cambodia,KHM,2007,20.33
Cambodia,KHM,2008,20.82
Cambodia,KHM,2009,21.38
Cambodia,KHM,2010,21.94
Cambodia,KHM,2011,22.51
Cambodia,KHM,2012,23.08
Cambodia,KHM,2013,23.66
Cambodia,KHM,2014,24.24
Cambodia,KHM,2015,24.82
Cambodia,KHM,2016,25.41
Cambodia,KHM,2017,26
Cambodia,KHM,2018,26.6
Cambodia,KHM,2019,27.2
Cambodia,KHM,2020,27.76
Canada,CAN,2000,98.17
Canada,CAN,2001,98.18
Canada,CAN,2002,98.18
Canada,CAN,2003,98.18
Canada,CAN,2004,98.18
Canada,CAN,2005,98.24
Canada,CAN,2006,98.3
Canada,CAN,2007,98.36
Canada,CAN,2008,98.42
Canada,CAN,2009,98.48
Canada,CAN,2010,98.54
Canada,CAN,2011,98.6
Canada,CAN,2012,98.65
Canada,CAN,2013,98.71
Canada,CAN,2014,98.76
Canada,CAN,2015,98.82
Canada,CAN,2016,98.87
Canada,CAN,2017,98.93
Canada,CAN,2018,98.98
Canada,CAN,2019,99.04
Canada,CAN,2020,99.04
Central African Republic,CAF,2000,8.53
Central African Republic,CAF,2001,8.4
Central African Republic,CAF,2002,8.26
Central African Republic,CAF,2003,8.13
Central African Republic,CAF,2004,7.99
Central African Republic,CAF,2005,7.86
Central African Republic,CAF,2006,7.74
Central African Republic,CAF,2007,7.61
Central African Republic,CAF,2008,7.49
Central African Republic,CAF,2009,7.37
Central African Republic,CAF,2010,7.25
Central African Republic,CAF,2011,7.14
Central African Republic,CAF,2012,7.02
Central African Republic,CAF,2013,6.91
Central African Republic,CAF,2014,6.8
Central African Republic,CAF,2015,6.7
Central African Republic,CAF,2016,6.59
Central African Republic,CAF,2017,6.49
Central African Republic,CAF,2018,6.39
Central African Republic,CAF,2019,6.28
Central African Republic,CAF,2020,6.18
Central and Southern Asia,,2000,46.06
Central and Southern Asia,,2001,46.81
Central and Southern Asia,,2002,47.59
Central and Southern Asia,,2003,48.37
Central and Southern Asia,,2004,49.16
Central and Southern Asia,,2005,49.91
Central and Southern Asia,,2006,50.68
Central and Southern Asia,,2007,51.46
Central and Southern Asia,,2008,52.23
Central and Southern Asia,,2009,53.02
Central and Southern Asia,,2010,53.8
Central and Southern Asia,,2011,54.58
Central and Southern Asia,,2012,55.44
Central and Southern Asia,,2013,56.3
Central and Southern Asia,,2014,57.15
Central and Southern Asia,,2015,58.01
Central and Southern Asia,,2016,58.87
Central and Southern Asia,,2017,59.73
Central and Southern Asia,,2018,60.57
Central and Southern Asia,,2019,61.47
Central and Southern Asia,,2020,62.36
Chad,TCD,2000,5.64
Chad,TCD,2001,5.64
Chad,TCD,2002,5.64
Chad,TCD,2003,5.64
Chad,TCD,2004,5.63
Chad,TCD,2005,5.63
Chad,TCD,2006,5.62
Chad,TCD,2007,5.62
Chad,TCD,2008,5.61
Chad,TCD,2009,5.6
Chad,TCD,2010,5.59
Chad,TCD,2011,5.58
Chad,TCD,2012,5.57
Chad,TCD,2013,5.57
Chad,TCD,2014,5.57
Chad,TCD,2015,5.56
Chad,TCD,2016,5.57
Chad,TCD,2017,5.57
Chad,TCD,2018,5.57
Chad,TCD,2019,5.58
Chad,TCD,2020,5.59
Channel Islands,OWID_CIS,2009,91.97
Channel Islands,OWID_CIS,2010,91.97
Channel Islands,OWID_CIS,2011,91.97
Channel Islands,OWID_CIS,2012,91.97
Channel Islands,OWID_CIS,2013,91.97
Channel Islands,OWID_CIS,2014,91.97
Channel Islands,OWID_CIS,2015,91.97
Channel Islands,OWID_CIS,2016,91.97
Channel Islands,OWID_CIS,2017,91.97
Chile,CHL,2000,92.09
Chile,CHL,2001,92.59
Chile,CHL,2002,93.07
Chile,CHL,2003,93.48
Chile,CHL,2004,93.88
Chile,CHL,2005,94.29
Chile,CHL,2006,94.71
Chile,CHL,2007,95.12
Chile,CHL,2008,95.54
Chile,CHL,2009,95.96
Chile,CHL,2010,96.38
Chile,CHL,2011,96.8
Chile,CHL,2012,97.23
Chile,CHL,2013,97.66
Chile,CHL,2014,98.09
Chile,CHL,2015,98.38
Chile,CHL,2016,98.58
Chile,CHL,2017,98.77
Chile,CHL,2018,98.77
Chile,CHL,2019,98.77
Chile,CHL,2020,98.77
Colombia,COL,2000,68.81
Colombia,COL,2001,69.16
Colombia,COL,2002,69.51
Colombia,COL,2003,69.85
Colombia,COL,2004,70.19
Colombia,COL,2005,70.53
Colombia,COL,2006,70.86
Colombia,COL,2007,71.06
Colombia,COL,2008,71.26
Colombia,COL,2009,71.45
Colombia,COL,2010,71.64
Colombia,COL,2011,71.82
Colombia,COL,2012,71.99
Colombia,COL,2013,72.16
Colombia,COL,2014,72.32
Colombia,COL,2015,72.48
Colombia,COL,2016,72.63
Colombia,COL,2017,72.75
Colombia,COL,2018,72.89
Colombia,COL,2019,72.95
Colombia,COL,2020,73.01
Congo,COG,2000,27.42
Congo,COG,2001,27.58
Congo,COG,2002,27.78
Congo,COG,2003,27.98
Congo,COG,2004,29.58
Congo,COG,2005,31.2
Congo,COG,2006,32.84
Congo,COG,2007,34.5
Congo,COG,2008,36.19
Congo,COG,2009,37.9
Congo,COG,2010,39.63
Congo,COG,2011,41.39
Congo,COG,2012,42.43
Congo,COG,2013,43.01
Congo,COG,2014,43.6
Congo,COG,2015,44.18
Congo,COG,2016,44.77
Congo,COG,2017,45.35
Congo,COG,2018,45.54
Congo,COG,2019,45.72
Congo,COG,2020,45.9
Costa Rica,CRI,2000,76.29
Costa Rica,CRI,2001,76.66
Costa Rica,CRI,2002,77.01
Costa Rica,CRI,2003,77.35
Costa Rica,CRI,2004,77.67
Costa Rica,CRI,2005,77.97
Costa Rica,CRI,2006,78.26
Costa Rica,CRI,2007,78.54
Costa Rica,CRI,2008,78.8
Costa Rica,CRI,2009,79.05
Costa Rica,CRI,2010,79.28
Costa Rica,CRI,2011,79.5
Costa Rica,CRI,2012,79.7
Costa Rica,CRI,2013,79.89
Costa Rica,CRI,2014,80.07
Costa Rica,CRI,2015,80.24
Costa Rica,CRI,2016,80.4
Costa Rica,CRI,2017,80.53
Costa Rica,CRI,2018,80.53
Costa Rica,CRI,2019,80.52
Costa Rica,CRI,2020,80.52
Cote d'Ivoire,CIV,2000,34.21
Cote d'Ivoire,CIV,2001,34.25
Cote d'Ivoire,CIV,2002,34.3
Cote d'Ivoire,CIV,2003,34.34
Cote d'Ivoire,CIV,2004,34.39
Cote d'Ivoire,CIV,2005,34.44
Cote d'Ivoire,CIV,2006,34.48
Cote d'Ivoire,CIV,2007,34.53
Cote d'Ivoire,CIV,2008,34.57
Cote d'Ivoire,CIV,2009,34.62
Cote d'Ivoire,CIV,2010,34.67
Cote d'Ivoire,CIV,2011,34.71
Cote d'Ivoire,CIV,2012,34.76
Cote d'Ivoire,CIV,2013,34.81
Cote d'Ivoire,CIV,2014,34.86
Cote d'Ivoire,CIV,2015,34.91
Cote d'Ivoire,CIV,2016,34.96
Cote d'Ivoire,CIV,2017,35.02
Cote d'Ivoire,CIV,2018,35.08
Cote d'Ivoire,CIV,2019,35.14
Cote d'Ivoire,CIV,2020,35.2
Croatia,HRV,2000,81.84
Croatia,HRV,2001,81.89
Croatia,HRV,2002,81.93
Croatia,HRV,2003,81.97
Croatia,HRV,2004,82.02
Croatia,HRV,2005,82.06
Croatia,HRV,2006,82.1
Croatia,HRV,2007,82.14
Cyprus,CYP,2000,95.64
Cyprus,CYP,2001,95.64
Cyprus,CYP,2002,95.64
Cyprus,CYP,2003,95.64
Cyprus,CYP,2004,95.93
Cyprus,CYP,2005,96.22
Cyprus,CYP,2006,96.52
Cyprus,CYP,2007,96.81
Cyprus,CYP,2008,97.11
Cyprus,CYP,2009,97.4
Cyprus,CYP,2010,97.7
Cyprus,CYP,2011,97.99
Cyprus,CYP,2012,98.28
Cyprus,CYP,2013,98.58
Cyprus,CYP,2014,98.87
Cyprus,CYP,2015,99.17
Cyprus,CYP,2016,99.46
Cyprus,CYP,2017,99.75
Cyprus,CYP,2018,99.77
Cyprus,CYP,2019,99.77
Cyprus,CYP,2020,99.77
Czechia,CZE,2000,96.32
Czechia,CZE,2001,96.32
Czechia,CZE,2002,96.44
Czechia,CZE,2003,96.55
Czechia,CZE,2004,96.67
Czechia,CZE,2005,96.79
Czechia,CZE,2006,96.91
Czechia,CZE,2007,97.03
Czechia,CZE,2008,97.15
Czechia,CZE,2009,97.27
Czechia,CZE,2010,97.39
Czechia,CZE,2011,97.51
Czechia,CZE,2012,97.64
Czechia,CZE,2013,97.76
Czechia,CZE,2014,97.88
Czechia,CZE,2015,97.88
Czechia,CZE,2016,97.88
Czechia,CZE,2017,97.88
Czechia,CZE,2018,97.88
Czechia,CZE,2019,97.88
Czechia,CZE,2020,97.88
Democratic Republic of Congo,COD,2000,10
Democratic Republic of Congo,COD,2001,10.35
Democratic Republic of Congo,COD,2002,10.71
Democratic Republic of Congo,COD,2003,11.08
Democratic Republic of Congo,COD,2004,11.46
Democratic Republic of Congo,COD,2005,11.84
Democratic Republic of Congo,COD,2006,12.24
Democratic Republic of Congo,COD,2007,12.65
Democratic Republic of Congo,COD,2008,13.07
Democratic Republic of Congo,COD,2009,13.49
Democratic Republic of Congo,COD,2010,13.94
Democratic Republic of Congo,COD,2011,14.39
Democratic Republic of Congo,COD,2012,14.85
Democratic Republic of Congo,COD,2013,15.33
Democratic Republic of Congo,COD,2014,15.81
Democratic Republic of Congo,COD,2015,16.31
Democratic Republic of Congo,COD,2016,16.82
Democratic Republic of Congo,COD,2017,17.34
Democratic Republic of Congo,COD,2018,17.88
Democratic Republic of Congo,COD,2019,18.43
Democratic Republic of Congo,COD,2020,18.99
Denmark,DNK,2000,93.9
Denmark,DNK,2001,93.9
Denmark,DNK,2002,93.9
Denmark,DNK,2003,93.9
Denmark,DNK,2004,94.31
Denmark,DNK,2005,94.73
Denmark,DNK,2006,95.14
Denmark,DNK,2007,95.56
Denmark,DNK,2008,95.97
Denmark,DNK,2009,96.39
Denmark,DNK,2010,96.75
Denmark,DNK,2011,96.74
Denmark,DNK,2012,96.74
Denmark,DNK,2013,96.74
Denmark,DNK,2014,96.74
Denmark,DNK,2015,96.74
Denmark,DNK,2016,96.74
Denmark,DNK,2017,96.73
Denmark,DNK,2018,96.73
Denmark,DNK,2019,96.73
Denmark,DNK,2020,96.73
Ecuador,ECU,2000,58.2
Ecuador,ECU,2001,58.76
Ecuador,ECU,2002,59.27
Ecuador,ECU,2003,59.74
Ecuador,ECU,2004,60.22
Ecuador,ECU,2005,60.7
Ecuador,ECU,2006,61.17
Ecuador,ECU,2007,61.65
Ecuador,ECU,2008,62.12
Ecuador,ECU,2009,62.6
Ecuador,ECU,2010,63.07
Ecuador,ECU,2011,63.54
Ecuador,ECU,2012,64
Ecuador,ECU,2013,64.46
Ecuador,ECU,2014,64.92
Ecuador,ECU,2015,65.37
Ecuador,ECU,2016,65.83
Ecuador,ECU,2017,66.18
Ecuador,ECU,2018,66.39
Ecuador,ECU,2019,66.61
Ecuador,ECU,2020,66.83
Estonia,EST,2000,93.58
Estonia,EST,2001,93.76
Estonia,EST,2002,93.94
Estonia,EST,2003,94.12
Estonia,EST,2004,94.3
Estonia,EST,2005,94.49
Estonia,EST,2006,94.67
Estonia,EST,2007,95.21
Estonia,EST,2008,95.37
Estonia,EST,2009,95.53
Estonia,EST,2010,95.7
Estonia,EST,2011,95.86
Estonia,EST,2012,96.02
Estonia,EST,2013,96.15
Estonia,EST,2014,96.11
Estonia,EST,2015,96.08
Estonia,EST,2016,95.84
Estonia,EST,2017,95.83
Estonia,EST,2018,95.81
Estonia,EST,2019,95.79
Estonia,EST,2020,95.76
Ethiopia,ETH,2000,4.98
Ethiopia,ETH,2001,5.36
Ethiopia,ETH,2002,5.54
Ethiopia,ETH,2003,5.73
Ethiopia,ETH,2004,5.94
Ethiopia,ETH,2005,6.16
Ethiopia,ETH,2006,6.41
Ethiopia,ETH,2007,6.67
Ethiopia,ETH,2008,7.02
Ethiopia,ETH,2009,7.39
Ethiopia,ETH,2010,7.78
Ethiopia,ETH,2011,8.18
Ethiopia,ETH,2012,8.6
Ethiopia,ETH,2013,9.04
Ethiopia,ETH,2014,9.49
Ethiopia,ETH,2015,9.96
Ethiopia,ETH,2016,10.45
Ethiopia,ETH,2017,10.96
Ethiopia,ETH,2018,11.48
Ethiopia,ETH,2019,12.02
Ethiopia,ETH,2020,12.58
Finland,FIN,2000,93.49
Finland,FIN,2001,93.93
Finland,FIN,2002,94.37
Finland,FIN,2003,94.81
Finland,FIN,2004,95.24
Finland,FIN,2005,95.68
Finland,FIN,2006,96.12
Finland,FIN,2007,96.56
Finland,FIN,2008,97
Finland,FIN,2009,97.43
Finland,FIN,2010,97.87
Finland,FIN,2011,98.31
Finland,FIN,2012,98.75
Finland,FIN,2013,99.19
Finland,FIN,2014,99.63
Finland,FIN,2015,99.63
Finland,FIN,2016,99.63
Finland,FIN,2017,99.63
Finland,FIN,2018,99.63
Finland,FIN,2019,99.64
Finland,FIN,2020,99.64
Fragile or Extremely Fragile,,2000,37.46
Fragile or Extremely Fragile,,2001,37.65
Fragile or Extremely Fragile,,2002,37.84
Fragile or Extremely Fragile,,2003,38.04
Fragile or Extremely Fragile,,2004,38.23
Fragile or Extremely Fragile,,2005,38.42
Fragile or Extremely Fragile,,2006,38.61
Fragile or Extremely Fragile,,2007,38.79
Fragile or Extremely Fragile,,2008,38.99
Fragile or Extremely Fragile,,2009,39.19
Fragile or Extremely Fragile,,2010,39.39
Fragile or Extremely Fragile,,2011,39.53
Fragile or Extremely Fragile,,2012,39.79
Fragile or Extremely Fragile,,2013,40.11
Fragile or Extremely Fragile,,2014,40.44
Fragile or Extremely Fragile,,2015,40.78
Fragile or Extremely Fragile,,2016,41.12
Fragile or Extremely Fragile,,2017,41.45
Fragile or Extremely Fragile,,2018,41.79
Fragile or Extremely Fragile,,2019,42.17
Fragile or Extremely Fragile,,2020,42.51
France,FRA,2000,96.44
France,FRA,2001,96.45
France,FRA,2002,96.46
France,FRA,2003,96.47
France,FRA,2004,96.65
France,FRA,2005,96.84
France,FRA,2006,97.03
France,FRA,2007,97.22
France,FRA,2008,97.41
France,FRA,2009,97.59
France,FRA,2010,97.78
France,FRA,2011,97.97
France,FRA,2012,98.15
France,FRA,2013,98.34
France,FRA,2014,98.53
France,FRA,2015,98.71
France,FRA,2016,98.89
France,FRA,2017,99.07
France,FRA,2018,99.25
France,FRA,2019,99.25
France,FRA,2020,99.25
French Guiana,GUF,2001,89.51
French Guiana,GUF,2002,89.51
French Guiana,GUF,2003,89.51
French Guiana,GUF,2004,89.51
French Guiana,GUF,2005,89.51
French Guiana,GUF,2006,89.59
French Guiana,GUF,2007,89.66
French Guiana,GUF,2008,89.74
French Guiana,GUF,2009,89.81
French Guiana,GUF,2010,89.89
French Guiana,GUF,2011,89.96
French Guiana,GUF,2012,90.04
French Guiana,GUF,2013,90.11
French Guiana,GUF,2014,90.19
French Guiana,GUF,2015,90.26
French Guiana,GUF,2016,90.34
French Guiana,GUF,2017,90.41
French Guiana,GUF,2018,90.49
French Guiana,GUF,2019,90.56
French Guiana,GUF,2020,90.56
French Polynesia,PYF,2000,91.77
French Polynesia,PYF,2001,91.77
French Polynesia,PYF,2002,91.77
French Polynesia,PYF,2003,91.77
French Polynesia,PYF,2004,91.77
French Polynesia,PYF,2005,91.77
French Polynesia,PYF,2006,91.77
French Polynesia,PYF,2007,91.77
French Polynesia,PYF,2008,91.77
French Polynesia,PYF,2009,91.77
French Polynesia,PYF,2010,91.77
French Polynesia,PYF,2011,90.98
French Polynesia,PYF,2012,90.19
French Polynesia,PYF,2013,89.39
French Polynesia,PYF,2014,88.6
French Polynesia,PYF,2015,87.81
French Polynesia,PYF,2016,87.02
French Polynesia,PYF,2017,86.23
French Polynesia,PYF,2018,85.44
French Polynesia,PYF,2019,84.65
French Polynesia,PYF,2020,83.86
Gambia,GMB,2000,23.5
Gambia,GMB,2001,24.5
Gambia,GMB,2002,25.52
Gambia,GMB,2003,26.55
Gambia,GMB,2004,27.53
Gambia,GMB,2005,28.53
