Entity,Code,Year,"12.4.1 - Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals - SG_HAZ_CMRBASEL","12.4.1 - Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste, and other chemicals - SG_HAZ_CMRROTDAM","12.4.1 - Parties meeting their commitments and obligations in transmitting information as required by Montreal Protocol on hazardous waste, and other chemicals - SG_HAZ_CMRMNTRL","12.4.1 - Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste, and other chemicals - SG_HAZ_CMRSTHOLM"
Gambia,GMB,2020,20,89.66,100,87.5
Georgia,GEO,2015,100,72.55,100,66.67
Georgia,GEO,2020,80,89.66,100,75
Germany,DEU,2015,100,100,100,100
Germany,DEU,2020,100,96.55,100,75
Ghana,GHA,2015,16.67,80.39,100,33.33
Ghana,GHA,2020,20,68.97,100,37.5
Greece,GRC,2015,100,100,100,0
Greece,GRC,2020,80,96.55,100,0
Grenada,GRD,2015,,,100,
Grenada,GRD,2020,,,100,
Guatemala,GTM,2015,100,37.25,100,66.67
Guatemala,GTM,2020,60,39.66,100,87.5
Guinea,GIN,2015,16.67,80.39,100,50
Guinea,GIN,2020,40,82.76,100,37.5
Guinea-Bissau,GNB,2015,100,98.04,100,33.33
Guinea-Bissau,GNB,2020,100,96.55,100,50
Guyana,GUY,2015,83.33,84.31,100,50
Guyana,GUY,2020,40,96.55,100,25
Haiti,HTI,2015,16.67,,100,66.67
Haiti,HTI,2020,,,100,
Honduras,HND,2015,83.33,74.51,100,66.67
Honduras,HND,2020,100,93.1,100,50
Hungary,HUN,2015,100,100,100,33.33
Hungary,HUN,2020,100,96.55,100,50
Iceland,ISL,2015,33.33,,100,50
Iceland,ISL,2020,80,,100,75
India,IND,2015,16.67,94.12,100,83.33
India,IND,2020,40,82.76,100,87.5
Indonesia,IDN,2015,50,43.14,100,66.67
Indonesia,IDN,2020,80,37.93,100,50
Iran,IRN,2015,83.33,94.12,100,50
Iran,IRN,2020,40,84.48,100,25
Iraq,IRQ,2015,50,,100,16.67
Iraq,IRQ,2020,80,41.38,100,12.5
Ireland,IRL,2015,83.33,100,100,83.33
Ireland,IRL,2020,100,96.55,100,87.5
Israel,ISR,2015,50,90.2,100,66.67
Israel,ISR,2020,80,79.31,100,
Italy,ITA,2015,83.33,100,100,66.67
Italy,ITA,2020,100,96.55,100,
Jamaica,JAM,2015,100,84.31,100,50
Jamaica,JAM,2020,40,89.66,100,25
Japan,JPN,2015,83.33,100,100,100
Japan,JPN,2020,60,93.1,100,87.5
Jordan,JOR,2015,16.67,84.31,100,33.33
Jordan,JOR,2020,60,74.14,100,50
Kazakhstan,KAZ,2015,33.33,41.18,100,50
Kazakhstan,KAZ,2020,60,60.34,100,50
Kenya,KEN,2015,16.67,62.75,100,83.33
Kenya,KEN,2020,20,56.9,100,50
Kiribati,KIR,2015,16.67,,100,33.33
Kiribati,KIR,2020,20,,100,87.5
Kuwait,KWT,2015,16.67,68.63,100,33.33
Kuwait,KWT,2020,40,74.14,100,12.5
Kyrgyzstan,KGZ,2015,100,86.27,100,50
Kyrgyzstan,KGZ,2020,100,93.1,100,37.5
Landlocked developing countries (LLDCs),,2015,42.47,49.85,100,47.62
Landlocked developing countries (LLDCs),,2020,45.81,63.45,100,45.26
Laos,LAO,2015,16.67,19.61,100,50
Laos,LAO,2020,20,91.38,100,37.5
Latin America and the Caribbean,,2015,61.46,67.19,100,54.17
Latin America and the Caribbean,,2020,60.65,72.67,100,53.23
Latvia,LVA,2015,100,100,100,66.67
Latvia,LVA,2020,100,96.55,100,37.5
Least developed countries (LDCs),,2015,34.92,53.87,100,43.56
Least developed countries (LDCs),,2020,40,65.33,99.58333,42.73
Lebanon,LBN,2015,16.67,72.55,100,33.33
Lebanon,LBN,2020,80,70.69,100,87.5
Lesotho,LSO,2015,16.67,9.8,100,33.33
Lesotho,LSO,2020,20,89.66,100,25
Liberia,LBR,2015,16.67,43.14,100,33.33
Liberia,LBR,2020,60,37.93,100,50
Libya,LBY,2015,33.33,64.71,100,16.67
Libya,LBY,2020,80,56.9,100,12.5
Liechtenstein,LIE,2015,50,92.16,100,50
Liechtenstein,LIE,2020,20,81.03,100,25
Lithuania,LTU,2015,100,100,100,66.67
Lithuania,LTU,2020,100,96.55,100,75
Luxembourg,LUX,2015,83.33,100,100,33.33
Luxembourg,LUX,2020,60,96.55,100,25
Madagascar,MDG,2015,100,92.16,100,66.67
Madagascar,MDG,2020,100,82.76,100,50
Malawi,MWI,2015,16.67,84.31,100,50
Malawi,MWI,2020,40,74.14,100,100
Malaysia,MYS,2015,100,100,100,66.67
Malaysia,MYS,2020,80,91.38,100,
Maldives,MDV,2015,66.67,9.8,100,16.67
Maldives,MDV,2020,80,65.52,100,50
Mali,MLI,2015,16.67,64.71,100,66.67
Mali,MLI,2020,20,63.79,100,25
Malta,MLT,2015,100,9.8,100,33.33
Malta,MLT,2020,80,87.93,100,0
Marshall Islands,MHL,2015,33.33,9.8,100,33.33
Marshall Islands,MHL,2020,20,8.62,100,25
Mauritania,MRT,2015,16.67,94.12,100,50
Mauritania,MRT,2020,20,89.66,100,25
Mauritius,MUS,2015,50,84.31,100,66.67
Mauritius,MUS,2020,20,96.55,100,62.5
Melanesia,OWID_MNS,2015,,,100,29.17
Melanesia,OWID_MNS,2020,,,100,31.25
Mexico,MEX,2015,83.33,92.16,100,66.67
Mexico,MEX,2020,100,81.03,100,87.5
Micronesia (country),FSM,2015,16.67,,100,16.67
Micronesia (country),FSM,2020,20,,100,25
Middle Africa,,2015,33.33,38.97,100,50
Middle Africa,,2020,35,82.51,100,37.5
Moldova,MDA,2015,33.33,78.43,100,50
Moldova,MDA,2020,40,84.48,100,50
Monaco,MCO,2015,16.67,,100,66.67
Monaco,MCO,2020,20,,100,37.5
Mongolia,MNG,2015,16.67,64.71,100,66.67
Mongolia,MNG,2020,40,58.62,100,50
Montenegro,MNE,2015,100,0,100,50
Montenegro,MNE,2020,100,96.55,100,50
Morocco,MAR,2015,83.33,80.39,100,50
Morocco,MAR,2020,80,81.03,100,100
Mozambique,MOZ,2015,50,31.37,100,50
Mozambique,MOZ,2020,80,36.21,100,25
Myanmar,MMR,2015,16.67,,100,50
Myanmar,MMR,2020,60,,100,12.5
Namibia,NAM,2015,16.67,9.8,100,33.33
Namibia,NAM,2020,40,8.62,100,25
Nauru,NRU,2015,16.67,,100,33.33
Nauru,NRU,2020,20,,100,25
Nepal,NPL,2015,50,31.37,100,66.67
Nepal,NPL,2020,20,68.97,100,62.5
Netherlands,NLD,2015,66.67,100,100,83.33
Netherlands,NLD,2020,40,96.55,100,50
New Zealand,NZL,2015,100,90.2,100,66.67
New Zealand,NZL,2020,100,79.31,100,100
Nicaragua,NIC,2015,50,74.51,100,50
Nicaragua,NIC,2020,100,81.03,100,37.5
Niger,NER,2015,16.67,82.35,100,33.33
Niger,NER,2020,20,89.66,100,37.5
Nigeria,NGA,2015,100,70.59,100,66.67
Nigeria,NGA,2020,80,62.07,100,62.5
Niue,NIU,2015,,,100,33.33
Niue,NIU,2020,,,100,25
North Korea,PRK,2015,16.67,56.86,100,33.33
North Korea,PRK,2020,20,50,100,25
North Macedonia,MKD,2015,16.67,92.16,100,50
North Macedonia,MKD,2020,20,94.83,100,62.5
Northern Africa,,2015,61.11,,100,44.44
Northern Africa,,2020,80,,100,52.08
Northern Africa and Western Asia,,2015,63.77,65.69,100,50
Northern Africa and Western Asia,,2020,77.39,69.31,99.16667,48.86
Northern America,,2015,58.33,54.9,100,75
Northern America,,2020,,,100,
Northern Europe,,2015,91.67,99.35,100,83.33
Northern Europe,,2020,92,96.17,100,78.75
Norway,NOR,2015,100,94.12,100,100
Norway,NOR,2020,80,93.1,100,87.5
Oceania,,2020,35,,100,38.28
Oceania,,2015,,,100,35.42
Oceania (exc. Australia and New Zealand),,2015,,,100,28.57
Oceania (exc. Australia and New Zealand),,2020,,,100,29.46
Oman,OMN,2015,66.67,84.31,100,66.67
Oman,OMN,2020,80,74.14,100,37.5
Pakistan,PAK,2015,100,64.71,100,50
Pakistan,PAK,2020,100,70.69,100,25
Palau,PLW,2015,16.67,,100,16.67
Palau,PLW,2020,20,,100,12.5
Palestine,PSE,2015,16.67,,,
Palestine,PSE,2020,80,8.62,100,12.5
Panama,PAN,2015,66.67,98.04,100,50
Panama,PAN,2020,20,96.55,100,87.5
Papua New Guinea,PNG,2015,16.67,,100,33.33
Papua New Guinea,PNG,2020,20,,100,25
Paraguay,PRY,2015,83.33,49.02,100,66.67
Paraguay,PRY,2020,80,43.1,100,75
Peru,PER,2015,66.67,92.16,100,66.67
Peru,PER,2020,40,87.93,100,37.5
Philippines,PHL,2015,100,62.75,100,50
Philippines,PHL,2020,100,55.17,100,50
Poland,POL,2015,100,100,100,100
Poland,POL,2020,100,96.55,100,87.5
Polynesia,OWID_PYA,2015,,,100,30
Polynesia,OWID_PYA,2020,,,100,22.5
Portugal,PRT,2015,100,100,100,50
Portugal,PRT,2020,100,96.55,100,25
Qatar,QAT,2015,100,86.27,100,66.67
Qatar,QAT,2020,80,89.66,100,25
Romania,ROU,2015,50,100,100,100
Romania,ROU,2020,40,96.55,100,62.5
Russia,RUS,2015,100,19.61,100,66.67
Russia,RUS,2020,60,72.41,100,100
Rwanda,RWA,2015,100,54.9,100,33.33
Rwanda,RWA,2020,100,48.28,100,62.5
Saint Kitts and Nevis,KNA,2015,16.67,15.69,100,50
Saint Kitts and Nevis,KNA,2020,40,48.28,100,37.5
Saint Lucia,LCA,2015,66.67,9.8,100,50
Saint Lucia,LCA,2020,60,,100,25
Saint Vincent and the Grenadines,VCT,2015,16.67,9.8,100,33.33
Saint Vincent and the Grenadines,VCT,2020,20,8.62,100,25
Samoa,WSM,2015,16.67,64.71,100,33.33
Samoa,WSM,2020,40,70.69,100,25
San Marino,SMR,2015,,,100,
San Marino,SMR,2020,,,80,
Sao Tome and Principe,STP,2015,16.67,9.8,100,33.33
Sao Tome and Principe,STP,2020,20,82.76,100,62.5
Saudi Arabia,SAU,2015,33.33,64.71,100,16.67
Saudi Arabia,SAU,2020,80,56.9,100,12.5
Senegal,SEN,2015,16.67,64.71,100,50
Senegal,SEN,2020,20,96.55,100,62.5
Serbia,SRB,2015,100,100,100,66.67
Serbia,SRB,2020,80,96.55,100,37.5
Seychelles,SYC,2015,33.33,9.8,100,33.33
Seychelles,SYC,2020,20,,100,62.5
Sierra Leone,SLE,2015,16.67,9.8,100,33.33
Sierra Leone,SLE,2020,20,8.62,100,62.5
Singapore,SGP,2015,100,92.16,100,66.67
Singapore,SGP,2020,100,98.28,100,37.5
Slovakia,SVK,2015,100,100,100,83.33
Slovakia,SVK,2020,100,96.55,100,25
Slovenia,SVN,2015,100,100,100,100
Slovenia,SVN,2020,80,96.55,100,100
Small Island Developing States (SIDS),,2015,42.71,,100,36.49
Small Island Developing States (SIDS),,2020,41.25,,100,36.81
Solomon Islands,SLB,2015,,,100,0
Solomon Islands,SLB,2020,,,100,0
Somalia,SOM,2015,16.67,9.8,100,16.67
Somalia,SOM,2020,20,8.62,100,12.5
South Africa,ZAF,2015,83.33,84.31,100,66.67
South Africa,ZAF,2020,100,75.86,100,37.5
South America,,2015,70.83,78.92,100,62.5
South America,,2020,63.33,78.06,100,66.67
South Korea,KOR,2015,16.67,72.55,100,33.33
South Korea,KOR,2020,20,67.24,100,50
South Sudan,SSD,2015,,,100,
South Sudan,SSD,2020,,,100,
South-eastern Asia,,2015,56.67,,100,61.67
South-eastern Asia,,2020,70,,100,
Southern Africa,,2015,43.33,24.71,100,43.33
Southern Africa,,2020,56,50.69,100,30
Southern Asia,,2015,64.81,53.22,100,52.08
Southern Asia,,2020,62.22,64.53,100,54.69
Southern Europe,,2015,80.77,80.56,100,55.56
Southern Europe,,2020,80,95.26,98.66667,
Spain,ESP,2015,66.67,100,100,100
Spain,ESP,2020,60,96.55,100,100
Sri Lanka,LKA,2015,100,68.63,100,66.67
Sri Lanka,LKA,2020,80,70.69,100,50
Sub-Saharan Africa,,2015,38.04,55.12,100,45.65
Sub-Saharan Africa,,2020,42.61,66.76,100,43.48
Sudan,SDN,2015,16.67,68.63,100,50
Sudan,SDN,2020,20,60.34,100,50
Suriname,SUR,2015,16.67,56.86,100,33.33
Suriname,SUR,2020,20,94.83,100,87.5
Sweden,SWE,2015,100,100,100,100
Sweden,SWE,2020,80,96.55,100,87.5
Switzerland,CHE,2015,66.67,100,100,100
Switzerland,CHE,2020,100,96.55,100,50
Syria,SYR,2015,16.67,76.47,100,33.33
Syria,SYR,2020,20,70.69,100,25
Tajikistan,TJK,2015,16.67,9.8,100,50
Tajikistan,TJK,2020,20,,100,37.5
Tanzania,TZA,2015,16.67,64.71,100,50
Tanzania,TZA,2020,20,89.66,100,25
Thailand,THA,2015,100,84.31,100,66.67
Thailand,THA,2020,100,94.83,100,37.5
Timor,TLS,2015,,,100,
Timor,TLS,2020,,,100,
Togo,TGO,2015,100,72.55,100,50
Togo,TGO,2020,60,89.66,100,37.5
Tonga,TON,2015,16.67,21.57,100,33.33
Tonga,TON,2020,20,62.07,100,25
Trinidad and Tobago,TTO,2015,50,64.71,100,50
Trinidad and Tobago,TTO,2020,100,56.9,100,100
Tunisia,TUN,2015,100,9.8,100,50
Tunisia,TUN,2020,100,70.69,100,62.5
Turkey,TUR,2015,50,9.8,100,50
Turkey,TUR,2020,100,50,100,75
Turkmenistan,TKM,2015,16.67,,100,
Turkmenistan,TKM,2020,20,,100,
Tuvalu,TUV,2015,,,100,16.67
Tuvalu,TUV,2020,,,100,12.5
Uganda,UGA,2015,16.67,39.22,100,50
Uganda,UGA,2020,20,34.48,100,75
Ukraine,UKR,2015,66.67,9.8,100,66.67
Ukraine,UKR,2020,40,36.21,100,37.5
United Arab Emirates,ARE,2015,83.33,92.16,100,66.67
United Arab Emirates,ARE,2020,100,89.66,100,75
United Kingdom,GBR,2015,100,100,100,100
United Kingdom,GBR,2020,100,96.55,100,87.5
United States,USA,2015,16.67,9.8,100,66.67
United States,USA,2020,,,100,
Uruguay,URY,2015,83.33,92.16,100,66.67
Uruguay,URY,2020,80,81.03,100,87.5
Uzbekistan,UZB,2015,66.67,,100,
Uzbekistan,UZB,2020,20,,100,0
Vanuatu,VUT,2020,20,41.38,100,75
Vanuatu,VUT,2015,,,100,50
Vatican,VAT,2015,,,100,
Vatican,VAT,2020,,,100,
Venezuela,VEN,2015,83.33,88.24,100,100
Venezuela,VEN,2020,80,,100,87.5
Vietnam,VNM,2015,33.33,60.78,100,66.67
Vietnam,VNM,2020,40,63.79,100,87.5
Western Africa,,2015,40.63,75.37,100,42.71
Western Africa,,2020,45,76.19,100,48.44
Western Asia,,2015,62.04,69.54,100,50.98
Western Asia,,2020,75.56,70.08,98.88889,47.79
Western Europe,,2015,70.37,99.02,100,81.48
Western Europe,,2020,71.11,94.61,100,50
World,OWID_WRL,2015,57.53,67.45,100,54.39
World,OWID_WRL,2020,60.65,75.17,99.79695,50.27
Yemen,YEM,2015,100,62.75,100,33.33
Yemen,YEM,2020,60,55.17,80,37.5
Zambia,ZMB,2015,16.67,21.57,100,50
Zambia,ZMB,2020,20,18.97,100,25
Zimbabwe,ZWE,2015,16.67,50.98,100,33.33
Zimbabwe,ZWE,2020,20,67.24,100,75
