Entity,Code,Year,17.15.1 - Proportion of results indicators drawn from country-led results frameworks - data by provider (%) - SG_PLN_PRVRICTRY,17.15.1 - Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient (%) - SG_PLN_RECRIMON,17.15.1 - Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%) - SG_PLN_PRVRIMON,17.15.1 - Proportion of results indicators drawn from country-led results frameworks - data by recipient (%) - SG_PLN_RECRICTRY,17.15.1 - Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider (%)  - SG_PLN_PRPOLRES
Spain,ESP,2018,67.75157,,32.59912,,63.88502
Sub-Saharan Africa,,2016,,51.69714,,60.38,
Sub-Saharan Africa,,2018,,51.808,,61.90359,
Sudan,SDN,2016,,6.2,,50,
Sudan,SDN,2018,,55.69239,,75.95142,
Sweden,SWE,2016,46.9,,34.3,,54.4
Sweden,SWE,2018,56.38416,,50.86589,,57.48915
Switzerland,CHE,2016,47.3,,34.3,,51.3
Switzerland,CHE,2018,60.43672,,44.88643,,59.51248
Tajikistan,TJK,2016,,78.1,,76.2,
Tanzania,TZA,2016,,65.3,,70.1,
Tanzania,TZA,2018,,51.21212,,59.61867,
Timor,TLS,2016,,41.1,,51,
Timor,TLS,2018,,44.38265,,54.16714,
Togo,TGO,2016,,60,,66.5,
Togo,TGO,2018,,73.45194,,74.29937,
Tonga,TON,2016,,67.7,,71.9,
Tonga,TON,2018,,100,,100,
Trinidad and Tobago,TTO,2018,,50,,50,
Turkey,TUR,2016,0,,0,,0
Tuvalu,TUV,2016,,100,,100,
Tuvalu,TUV,2018,,46.77419,,46.77419,
Uganda,UGA,2016,,35.2,,45.7,
Uganda,UGA,2018,,40.43389,,42.65898,
United Kingdom,GBR,2016,41.4,,43,,43.3
United Kingdom,GBR,2018,22.34687,,24.57265,,38.67905
United States,USA,2016,39.7,,27.9,,49.1
United States,USA,2018,29.57298,,24.35762,,43.95089
Uruguay,URY,2016,,74.5,,65.3,
Vanuatu,VUT,2016,,44.4,,28.6,
Vietnam,VNM,2016,,23.3,,28.9,
Vietnam,VNM,2018,,61.48762,,72.38663,
Western Asia,,2018,100,34.58368,100,41.11534,100
World,OWID_WRL,2016,56.56364,,51.41212,,63.90909
World,OWID_WRL,2018,51.50375,,43.75931,,57.0879
Yemen,YEM,2016,,0,,25,
Yemen,YEM,2018,,26.33438,,55.78231,
Zimbabwe,ZWE,2016,,36.9,,49.9,
Zimbabwe,ZWE,2018,,84.03922,,85.04357,
