Entity,Code,Year,"17.13.1 - Gross public sector debt, Central Government, as a proportion of GDP (%) - DP_DOD_DLD2_CR_CG_Z1"
Ireland,IRL,2012,119.40503
Ireland,IRL,2013,119.82687
Ireland,IRL,2014,104.35455
Ireland,IRL,2015,76.85603
Ireland,IRL,2016,74.51295
Ireland,IRL,2017,68.28564
Ireland,IRL,2018,64.13387
Ireland,IRL,2019,58.47942
Ireland,IRL,2020,58.83127
Ireland,IRL,2021,57.81501
Italy,ITA,1995,117.70203
Italy,ITA,1996,117.62123
Italy,ITA,1997,115.05203
Italy,ITA,1998,112.27148
Italy,ITA,1999,110.65532
Italy,ITA,2000,105.94664
Italy,ITA,2001,105.60123
Italy,ITA,2002,103.15205
Italy,ITA,2003,101.21788
Italy,ITA,2004,100.65125
Italy,ITA,2005,101.53107
Italy,ITA,2006,100.76827
Italy,ITA,2007,97.81703
Italy,ITA,2008,100.41619
Italy,ITA,2009,109.79923
Italy,ITA,2010,112.47507
Italy,ITA,2011,113.19087
Italy,ITA,2012,120.03113
Italy,ITA,2013,126.33876
Italy,ITA,2014,129.81142
Italy,ITA,2015,130.03469
Italy,ITA,2016,129.89548
Italy,ITA,2017,129.56086
Italy,ITA,2018,130.07802
Italy,ITA,2019,130.06471
Italy,ITA,2020,151.15741
Italy,ITA,2021,150.90017
Latvia,LVA,1995,0
Latvia,LVA,1996,0
Latvia,LVA,1997,0
Latvia,LVA,1998,0
Latvia,LVA,1999,0
Latvia,LVA,2000,11.89491
Latvia,LVA,2001,13.69443
Latvia,LVA,2002,12.93364
Latvia,LVA,2003,13.08193
Latvia,LVA,2004,13.91305
Latvia,LVA,2005,11.97063
Latvia,LVA,2006,11.25353
Latvia,LVA,2007,11.55171
Latvia,LVA,2008,22.24568
Latvia,LVA,2009,40.29908
Latvia,LVA,2010,49.3526
Latvia,LVA,2011,45.92967
Latvia,LVA,2012,42.11488
Latvia,LVA,2013,39.47099
Latvia,LVA,2014,42.48415
Latvia,LVA,2015,38.76554
Latvia,LVA,2016,42.55607
Latvia,LVA,2017,40.38979
Latvia,LVA,2018,39.26852
Latvia,LVA,2019,40.19969
Latvia,LVA,2020,47.11042
Latvia,LVA,2021,47.80503
Lithuania,LTU,1995,0
Lithuania,LTU,1996,0
Lithuania,LTU,1997,0
Lithuania,LTU,1998,0
Lithuania,LTU,1999,0
Lithuania,LTU,2000,22.19541
Lithuania,LTU,2001,21.77527
Lithuania,LTU,2002,21.21384
Lithuania,LTU,2003,19.29465
Lithuania,LTU,2004,17.7655
Lithuania,LTU,2005,16.85208
Lithuania,LTU,2006,16.41509
Lithuania,LTU,2007,14.99355
Lithuania,LTU,2008,13.40798
Lithuania,LTU,2009,26.43548
Lithuania,LTU,2010,33.63087
Lithuania,LTU,2011,33.97797
Lithuania,LTU,2012,36.69538
Lithuania,LTU,2013,35.78929
Lithuania,LTU,2014,37.61914
Lithuania,LTU,2015,39.72546
Lithuania,LTU,2016,37.4172
Lithuania,LTU,2017,37.87451
Lithuania,LTU,2018,32.62251
Lithuania,LTU,2019,34.95496
Lithuania,LTU,2020,45.63266
Lithuania,LTU,2021,44.22365
Luxembourg,LUX,1995,0
Luxembourg,LUX,1996,0
Luxembourg,LUX,1997,0
Luxembourg,LUX,1998,0
Luxembourg,LUX,1999,0
Luxembourg,LUX,2000,6.50344
Luxembourg,LUX,2001,6.55532
Luxembourg,LUX,2002,6.29195
Luxembourg,LUX,2003,5.21396
Luxembourg,LUX,2004,5.91643
Luxembourg,LUX,2005,5.59681
Luxembourg,LUX,2006,6.03948
Luxembourg,LUX,2007,6.12196
Luxembourg,LUX,2008,12.78644
Luxembourg,LUX,2009,13.41816
Luxembourg,LUX,2010,17.16202
Luxembourg,LUX,2011,16.64074
Luxembourg,LUX,2012,19.03017
Luxembourg,LUX,2013,20.66078
Luxembourg,LUX,2014,20.09683
Luxembourg,LUX,2015,19.28246
Luxembourg,LUX,2016,17.92195
Luxembourg,LUX,2017,20.31096
Luxembourg,LUX,2018,19.41171
Luxembourg,LUX,2019,20.98508
Luxembourg,LUX,2020,23.71251
Luxembourg,LUX,2021,24.11251
Malta,MLT,2000,60.63708
Malta,MLT,2001,64.86491
Malta,MLT,2002,63.12186
Malta,MLT,2003,68.59532
Malta,MLT,2004,71.25172
Malta,MLT,2005,69.86809
Malta,MLT,2006,64.23424
Malta,MLT,2007,61.85791
Malta,MLT,2008,61.78367
Malta,MLT,2009,66.29401
Malta,MLT,2010,65.41999
Malta,MLT,2011,69.95889
Malta,MLT,2012,66.58074
Malta,MLT,2013,66.38941
Malta,MLT,2014,62.04021
Malta,MLT,2015,56.21392
Malta,MLT,2016,54.90487
Malta,MLT,2017,47.70048
Malta,MLT,2018,43.62451
Malta,MLT,2019,40.6607
Malta,MLT,2020,53.30901
Malta,MLT,2021,57.13192
Mauritius,MUS,1999,0
Mauritius,MUS,2000,0
Mauritius,MUS,2001,0
Mauritius,MUS,2002,0
Mauritius,MUS,2003,0
Mauritius,MUS,2004,0
Mauritius,MUS,2005,0
Mauritius,MUS,2006,0
Mauritius,MUS,2007,0
Mauritius,MUS,2008,97.01288
Mauritius,MUS,2009,49.00876
Mauritius,MUS,2010,49.02583
Mauritius,MUS,2011,51.0236
Mauritius,MUS,2012,50.33738
Mauritius,MUS,2013,52.89865
Mauritius,MUS,2014,55.23667
Mauritius,MUS,2015,57.46636
Mauritius,MUS,2016,59.10319
Mauritius,MUS,2017,56.99156
Mauritius,MUS,2018,57.30069
Mauritius,MUS,2019,58.70766
Mexico,MEX,1995,0
Mexico,MEX,1996,0
Mexico,MEX,1997,0
Mexico,MEX,1998,0
Mexico,MEX,1999,0
Mexico,MEX,2000,0
Mexico,MEX,2001,0
Mexico,MEX,2002,0
Mexico,MEX,2003,0
Mexico,MEX,2004,0
Mexico,MEX,2005,0
Mexico,MEX,2006,0
Mexico,MEX,2007,0
Mexico,MEX,2008,20.21848
Mexico,MEX,2009,23.62454
Mexico,MEX,2010,22.99029
Mexico,MEX,2011,23.9519
Mexico,MEX,2012,24.65611
Mexico,MEX,2013,27.13285
Mexico,MEX,2014,28.97032
Mexico,MEX,2015,30.88096
Mexico,MEX,2016,30.92733
Mexico,MEX,2017,30.07994
Mexico,MEX,2018,30.5706
Mexico,MEX,2019,31.68017
Mexico,MEX,2020,37.00246
Mexico,MEX,2021,36.88147
Netherlands,NLD,1995,57.92102
Netherlands,NLD,1996,56.61197
Netherlands,NLD,1997,52.84572
Netherlands,NLD,1998,51.27734
Netherlands,NLD,1999,49.26894
Netherlands,NLD,2000,44.89643
Netherlands,NLD,2001,43.04693
Netherlands,NLD,2002,42.82262
Netherlands,NLD,2003,44.22964
Netherlands,NLD,2004,44.622
Netherlands,NLD,2005,44.0324
Netherlands,NLD,2006,39.68276
Netherlands,NLD,2007,38.24216
Netherlands,NLD,2008,49.9263
Netherlands,NLD,2009,51.44565
Netherlands,NLD,2010,53.27377
Netherlands,NLD,2011,54.95303
Netherlands,NLD,2012,59.74216
Netherlands,NLD,2013,61.88098
Netherlands,NLD,2014,62.37656
Netherlands,NLD,2015,60.18452
Netherlands,NLD,2016,58.1325
Netherlands,NLD,2017,53.52857
Netherlands,NLD,2018,49.52551
Netherlands,NLD,2019,46.33487
Netherlands,NLD,2020,52.90859
Netherlands,NLD,2021,53.8424
Norway,NOR,1995,0
Norway,NOR,1996,0
Norway,NOR,1997,0
Norway,NOR,1998,0
Norway,NOR,1999,0
Norway,NOR,2000,20.71269
Norway,NOR,2001,18.94407
Norway,NOR,2002,25.44608
Norway,NOR,2003,32.63129
Norway,NOR,2004,33.84376
Norway,NOR,2005,32.88514
Norway,NOR,2006,43.86089
Norway,NOR,2007,40.64501
Norway,NOR,2008,38.3613
Norway,NOR,2009,31.4441
Norway,NOR,2010,31.23463
Norway,NOR,2011,17.25903
Norway,NOR,2012,18.11368
Norway,NOR,2013,18.19984
Norway,NOR,2014,15.21593
Norway,NOR,2015,18.77186
Norway,NOR,2016,21.64093
Norway,NOR,2017,22.36663
Norway,NOR,2018,23.73249
Norway,NOR,2019,23.89403
Norway,NOR,2020,27.30352
Norway,NOR,2021,19.86323
Peru,PER,1995,0
Peru,PER,1996,0
Peru,PER,1997,0
Peru,PER,1998,0
Peru,PER,1999,0
Peru,PER,2000,0
Peru,PER,2001,0
Peru,PER,2002,0
Peru,PER,2003,0
Peru,PER,2004,0
Peru,PER,2005,0
Peru,PER,2006,0
Peru,PER,2007,0
Peru,PER,2008,0
Peru,PER,2009,0
Peru,PER,2010,22.52744
Peru,PER,2011,20.12182
Peru,PER,2012,18.68541
Peru,PER,2013,17.85018
Peru,PER,2014,18.17369
Peru,PER,2015,21.15948
Peru,PER,2016,22.08448
Poland,POL,1995,0
Poland,POL,1996,0
Poland,POL,1997,0
Poland,POL,1998,0
Poland,POL,1999,0
Poland,POL,2000,35.0617
Poland,POL,2001,35.95466
Poland,POL,2002,39.86955
Poland,POL,2003,44.08842
Poland,POL,2004,42.61351
Poland,POL,2005,44.14927
Poland,POL,2006,45.0113
Poland,POL,2007,42.74278
Poland,POL,2008,44.91997
Poland,POL,2009,47.19201
Poland,POL,2010,50.37235
Poland,POL,2011,51.71438
Poland,POL,2012,51.56561
Poland,POL,2013,53.74192
Poland,POL,2014,48.83014
Poland,POL,2015,49.17201
Poland,POL,2016,52.49583
Poland,POL,2017,49.21354
Poland,POL,2018,47.52524
Poland,POL,2019,45.07375
Poland,POL,2020,57.20853
Poland,POL,2021,56.60845
Portugal,PRT,1995,0
Portugal,PRT,1996,0
Portugal,PRT,1997,0
Portugal,PRT,1998,0
Portugal,PRT,1999,0
Portugal,PRT,2000,53.56312
Portugal,PRT,2001,56.09542
Portugal,PRT,2002,58.49664
Portugal,PRT,2003,62.10482
Portugal,PRT,2004,65.11833
Portugal,PRT,2005,69.67396
Portugal,PRT,2006,71.11545
Portugal,PRT,2007,70.22202
Portugal,PRT,2008,73.29715
Portugal,PRT,2009,84.93746
Portugal,PRT,2010,97.41389
Portugal,PRT,2011,111.97856
Portugal,PRT,2012,128.10453
Portugal,PRT,2013,131.01384
Portugal,PRT,2014,133.51076
Portugal,PRT,2015,132.03435
Portugal,PRT,2016,132.9405
Portugal,PRT,2017,128.76052
Portugal,PRT,2018,124.64431
Portugal,PRT,2019,119.51449
Portugal,PRT,2020,139.05936
Portugal,PRT,2021,134.05415
Romania,ROU,1995,0
Romania,ROU,1996,0
Romania,ROU,1997,0
Romania,ROU,1998,0
Romania,ROU,1999,0
Romania,ROU,2000,20.4131
Romania,ROU,2001,24.81512
Romania,ROU,2002,24.65264
Romania,ROU,2003,21.71799
Romania,ROU,2004,18.41084
Romania,ROU,2005,15.15958
Romania,ROU,2006,12.70706
Romania,ROU,2007,12.09175
Romania,ROU,2008,12.19274
Romania,ROU,2009,20.68232
Romania,ROU,2010,28.31678
Romania,ROU,2011,32.89515
Romania,ROU,2012,35.27993
Romania,ROU,2013,35.49497
Romania,ROU,2014,37.71721
Romania,ROU,2015,36.78479
Romania,ROU,2016,36.48507
Romania,ROU,2017,34.6891
Romania,ROU,2018,34.64771
Romania,ROU,2019,34.82213
Romania,ROU,2020,44.95178
Romania,ROU,2021,48.09503
Russia,RUS,1995,0
Russia,RUS,1996,0
Russia,RUS,1997,0
Russia,RUS,1998,0
Russia,RUS,1999,0
Russia,RUS,2000,0
Russia,RUS,2001,0
Russia,RUS,2002,0
Russia,RUS,2003,0
Russia,RUS,2004,0
Russia,RUS,2005,0
Russia,RUS,2006,0
Russia,RUS,2007,0
Russia,RUS,2008,0
Russia,RUS,2009,0
