Entity,Code,Year,Coverage of social insurance programs (% of population)
Lesotho,LSO,2017,1.160380266
Liberia,LBR,2007,0.7516148383
Liberia,LBR,2016,0.4964287682
Lithuania,LTU,2008,45.03507583
Malawi,MWI,2004,0.973979589523272
Malawi,MWI,2010,0.661991820088254
Malawi,MWI,2013,1.01943040106067
Malawi,MWI,2016,0.56604835534862
Malaysia,MYS,2008,6.76903359444431
Malaysia,MYS,2012,7.33840997690544
Malaysia,MYS,2014,8.12448549748957
Malaysia,MYS,2016,8.38058553824874
Maldives,MDV,2004,4.76228657729456
Maldives,MDV,2009,4.50469027466361
Maldives,MDV,2016,4.40613000547244
Mali,MLI,2009,1.30579913373026
Marshall Islands,MHL,1999,22.9505243775518
Mauritania,MRT,2008,9.22704354988754
Mauritius,MUS,2006,3.28674625651007
Mauritius,MUS,2012,18.7915116621893
Mauritius,MUS,2017,19.07626021
Mexico,MEX,2008,50.4691966625645
Mexico,MEX,2010,50.5116870359452
Mexico,MEX,2012,46.9576339223195
Mexico,MEX,2014,41.889060683819
Mexico,MEX,2016,13.601526197823
Mexico,MEX,2018,13.8570441490864
Micronesia (country),FSM,2000,17.3611900799106
Moldova,MDA,2010,40.9016765855198
Moldova,MDA,2012,43.2122586327721
Moldova,MDA,2013,43.8980765468399
Moldova,MDA,2018,47.82853993
Mongolia,MNG,2007,40.5357673523696
Mongolia,MNG,2009,41.8668656490382
Mongolia,MNG,2010,42.9285109437941
Mongolia,MNG,2011,38.4476575925429
Mongolia,MNG,2012,43.2792788602745
Mongolia,MNG,2014,43.00636844
Mongolia,MNG,2016,44.52233342
Montenegro,MNE,2011,52.9448937159637
Montenegro,MNE,2012,46.6004740727218
Montenegro,MNE,2013,45.5304163665583
Montenegro,MNE,2014,47.9325447974338
Mozambique,MOZ,2008,1.69778393837435
Mozambique,MOZ,2014,3.808727213
Myanmar,MMR,2017,5.34987630878228
Namibia,NAM,2009,0.968663599554186
Namibia,NAM,2015,3.851557065
Nepal,NPL,2010,5.25896121599293
Nicaragua,NIC,2005,25.4297142950628
Nicaragua,NIC,2009,5.61419945266473
Nicaragua,NIC,2014,13.7080391702969
Niger,NER,2011,1.41793184706884
Niger,NER,2014,1.3730994574391
Nigeria,NGA,2012,1.24606288352719
Nigeria,NGA,2015,2.70706889939628
Nigeria,NGA,2018,3.305229043
Pakistan,PAK,2007,6.81569268330496
Pakistan,PAK,2009,7.72206340727278
Pakistan,PAK,2013,6.00800770169284
Pakistan,PAK,2015,5.93510652071786
Pakistan,PAK,2018,6.447974159
Palau,PLW,2006,36.4229229809136
Palestine,PSE,2016,3.6276772251105
Panama,PAN,2008,16.258891408525
Panama,PAN,2009,18.7120423882348
Panama,PAN,2010,18.3792890430728
Panama,PAN,2011,17.4624616908689
Panama,PAN,2012,17.249120262558
Panama,PAN,2013,17.1851470704261
Panama,PAN,2014,17.8827769650935
Panama,PAN,2015,18.00074479
Panama,PAN,2016,18.69681075
Panama,PAN,2017,19.49913486
Panama,PAN,2018,20.80287949
Papua New Guinea,PNG,2009,1.00516847867008
Paraguay,PRY,2007,5.07952653091334
Paraguay,PRY,2008,5.69773760002232
Paraguay,PRY,2009,6.68247924080474
Paraguay,PRY,2010,5.90483386670756
Paraguay,PRY,2011,6.31101299786413
Paraguay,PRY,2012,14.2207004914537
Paraguay,PRY,2013,5.04858863441348
Paraguay,PRY,2014,5.48316160368891
Paraguay,PRY,2015,5.29466661506231
Paraguay,PRY,2016,5.43436593548233
Paraguay,PRY,2017,5.39591051313547
Paraguay,PRY,2018,5.33113181777497
Peru,PER,2008,10.4753659446057
Peru,PER,2009,9.72019398640073
Peru,PER,2010,11.3199603632253
Peru,PER,2011,11.0895252453808
Peru,PER,2012,12.2250648715629
Peru,PER,2013,11.4930831914378
Peru,PER,2014,11.5158648509964
Peru,PER,2015,10.3763147642672
Peru,PER,2016,10.4952483073737
Peru,PER,2017,10.4238262821454
Philippines,PHL,2006,7.47253402913531
Philippines,PHL,2013,11.1473792716423
Philippines,PHL,2015,8.92214945787277
Poland,POL,2005,48.3983535898789
Poland,POL,2006,47.9279513063729
Poland,POL,2007,46.9713315373707
Poland,POL,2008,46.4393517232492
Poland,POL,2009,45.7922500143517
Poland,POL,2010,45.3684210331004
Poland,POL,2011,44.9534001871237
Poland,POL,2012,43.7884296230798
Poland,POL,2015,43.9165017
Romania,ROU,2008,48.7203061109257
Romania,ROU,2011,47.2210823598507
Romania,ROU,2012,46.8599339285945
Romania,ROU,2016,43.43829491
Russia,RUS,2007,41.865004531618
Russia,RUS,2014,54.6716977428188
Russia,RUS,2015,54.0497572504594
Russia,RUS,2016,56.3411995255727
Russia,RUS,2017,56.38057804
Rwanda,RWA,2005,0.7725058208
Rwanda,RWA,2010,0.9178858865
Rwanda,RWA,2013,10.78443064
Samoa,WSM,2008,33.6380676663692
Senegal,SEN,2011,8.31744084521165
Serbia,SRB,2007,55.1548617417008
Serbia,SRB,2010,58.6282144076038
Serbia,SRB,2013,56.3974913703715
Serbia,SRB,2015,52.0960296365631
Sierra Leone,SLE,2018,0.907571533648663
Slovakia,SVK,2009,49.7154774112668
Solomon Islands,SLB,2005,1.2098038005738
South Africa,ZAF,2005,2.80816295011588
South Africa,ZAF,2010,3.41320363631059
South Africa,ZAF,2014,3.35274773118959
Sri Lanka,LKA,2006,6.29317330964761
Sri Lanka,LKA,2009,6.62762751796656
Sri Lanka,LKA,2012,7.40060570466366
Sri Lanka,LKA,2016,7.8385107317496
Syria,SYR,2003,8.19379853906781
Tajikistan,TJK,2011,34.1492100528732
Tanzania,TZA,2010,0.963974749579599
Tanzania,TZA,2012,1.33518214710597
Tanzania,TZA,2014,1.29319942331357
Thailand,THA,2006,14.6843926602606
Thailand,THA,2009,14.8098525322393
Thailand,THA,2011,14.4781438002271
Thailand,THA,2013,14.3687048445181
Thailand,THA,2017,3.5039956661845
Timor,TLS,2011,1.24062635403726
Togo,TGO,2011,3.00957537816721
Tonga,TON,2009,1.28827389289594
Turkey,TUR,2004,29.4103890069505
Turkey,TUR,2005,31.0197357780176
Turkey,TUR,2006,30.7501041037206
Turkey,TUR,2007,32.379277165545
Turkey,TUR,2008,34.6211254576983
Turkey,TUR,2009,33.1210817543388
Turkey,TUR,2010,33.4871904449015
Turkey,TUR,2011,34.1954473522408
Turkey,TUR,2012,35.4201415930257
Turkey,TUR,2013,36.52973739
Turkey,TUR,2014,37.10573065
Turkey,TUR,2015,36.5347534385448
Turkey,TUR,2016,36.0602768561565
Turkey,TUR,2018,37.82277845
Uganda,UGA,2005,0.963110468060396
Uganda,UGA,2009,0.861091584516169
Uganda,UGA,2012,0.881115931846306
Uganda,UGA,2016,0.569601271182531
Ukraine,UKR,2006,50.7400935062882
Ukraine,UKR,2011,51.869915171846
Ukraine,UKR,2012,51.0860670824292
Ukraine,UKR,2013,51.0589200844259
Ukraine,UKR,2015,51.422163061803
Ukraine,UKR,2016,50.31639188
Uruguay,URY,2008,37.4246391267927
Uruguay,URY,2009,35.8638978293605
Uruguay,URY,2010,36.4687484502142
Uruguay,URY,2011,36.1943084191802
Uruguay,URY,2012,36.68031491
Uruguay,URY,2015,35.18822846
Uruguay,URY,2016,35.36502236
Uruguay,URY,2017,35.23260789
Uruguay,URY,2018,35.13400022
Uzbekistan,UZB,2018,20.1199863855496
Venezuela,VEN,2006,10.2412145944694
Vietnam,VNM,2006,17.159882454976
Vietnam,VNM,2010,14.0923491492513
Vietnam,VNM,2012,14.4107161374148
Vietnam,VNM,2014,15.2492432666175
Yemen,YEM,2005,10.2741973297215
Zambia,ZMB,2010,1.05257306906132
Zambia,ZMB,2015,0.923653016558797
Zimbabwe,ZWE,2007,1.20927811945351
Zimbabwe,ZWE,2011,2.65503997288927
Zimbabwe,ZWE,2017,3.407481109
Zimbabwe,ZWE,2019,4.80744769
