Entity,Code,Year,"1.a.1 - Official development assistance grants for poverty reduction, by donor countries (percentage of GNI) - DC_ODA_POVDLG"
Japan,JPN,2006,0.01
Japan,JPN,2007,0.01
Japan,JPN,2008,0.02
Japan,JPN,2009,0.02
Japan,JPN,2010,0.02
Japan,JPN,2011,0.01
Japan,JPN,2012,0.02
Japan,JPN,2013,0.02
Japan,JPN,2014,0.01
Japan,JPN,2015,0.01
Japan,JPN,2016,0.01
Japan,JPN,2017,0.01
Japan,JPN,2018,0.01
Kazakhstan,KAZ,2013,0
Kazakhstan,KAZ,2014,0
Kazakhstan,KAZ,2015,0
Kazakhstan,KAZ,2016,0
Kazakhstan,KAZ,2017,0
Kazakhstan,KAZ,2018,0
Kuwait,KWT,2016,0
Kuwait,KWT,2017,0.01
Latvia,LVA,2017,0
Latvia,LVA,2018,0
Lithuania,LTU,2014,0
Lithuania,LTU,2015,0
Lithuania,LTU,2016,0
Lithuania,LTU,2017,0
Lithuania,LTU,2018,0
Luxembourg,LUX,2001,0.11
Luxembourg,LUX,2003,0.01
Luxembourg,LUX,2004,0.15
Luxembourg,LUX,2005,0.11
Luxembourg,LUX,2006,0.13
Luxembourg,LUX,2007,0.14
Luxembourg,LUX,2008,0.14
Luxembourg,LUX,2009,0.16
Luxembourg,LUX,2010,0.17
Luxembourg,LUX,2011,0.13
Luxembourg,LUX,2012,0.12
Luxembourg,LUX,2013,0.12
Luxembourg,LUX,2014,0.16
Luxembourg,LUX,2015,0.11
Luxembourg,LUX,2016,0.07
Luxembourg,LUX,2017,0.09
Luxembourg,LUX,2018,0.09
Malta,MLT,2015,0
Malta,MLT,2016,0
Malta,MLT,2017,0
Netherlands,NLD,2000,0.06
Netherlands,NLD,2001,0.11
Netherlands,NLD,2002,0.07
Netherlands,NLD,2003,0.06
Netherlands,NLD,2004,0.06
Netherlands,NLD,2005,0.05
Netherlands,NLD,2006,0.09
Netherlands,NLD,2007,0.12
Netherlands,NLD,2008,0.11
Netherlands,NLD,2009,0.09
Netherlands,NLD,2010,0.08
Netherlands,NLD,2011,0.06
Netherlands,NLD,2012,0.05
Netherlands,NLD,2013,0.04
Netherlands,NLD,2014,0.04
Netherlands,NLD,2015,0.03
Netherlands,NLD,2016,0.03
Netherlands,NLD,2017,0.03
Netherlands,NLD,2018,0.05
New Zealand,NZL,2002,0.02
New Zealand,NZL,2003,0.01
New Zealand,NZL,2004,0.02
New Zealand,NZL,2005,0.03
New Zealand,NZL,2006,0.03
New Zealand,NZL,2007,0.02
New Zealand,NZL,2008,0.03
New Zealand,NZL,2009,0.03
New Zealand,NZL,2010,0.03
New Zealand,NZL,2011,0.02
New Zealand,NZL,2012,0.03
New Zealand,NZL,2013,0.02
New Zealand,NZL,2014,0.02
New Zealand,NZL,2015,0.02
New Zealand,NZL,2016,0.01
New Zealand,NZL,2017,0.01
New Zealand,NZL,2018,0.02
Norway,NOR,2000,0.03
Norway,NOR,2001,0.05
Norway,NOR,2002,0.05
Norway,NOR,2003,0.04
Norway,NOR,2004,0.06
Norway,NOR,2005,0.07
Norway,NOR,2006,0.06
Norway,NOR,2007,0.07
Norway,NOR,2008,0.07
Norway,NOR,2009,0.09
Norway,NOR,2010,0.07
Norway,NOR,2011,0.06
Norway,NOR,2012,0.05
Norway,NOR,2013,0.05
Norway,NOR,2014,0.06
Norway,NOR,2015,0.08
Norway,NOR,2016,0.11
Norway,NOR,2017,0.1
Norway,NOR,2018,0.09
Poland,POL,2013,0
Poland,POL,2014,0
Poland,POL,2015,0
Poland,POL,2016,0
Poland,POL,2017,0
Poland,POL,2018,0
Portugal,PRT,2000,0
Portugal,PRT,2001,0.01
Portugal,PRT,2002,0
Portugal,PRT,2003,0
Portugal,PRT,2004,0
Portugal,PRT,2005,0
Portugal,PRT,2006,0
Portugal,PRT,2007,0
Portugal,PRT,2008,0
Portugal,PRT,2009,0
Portugal,PRT,2010,0.01
Portugal,PRT,2011,0.01
Portugal,PRT,2012,0
Portugal,PRT,2013,0
Portugal,PRT,2014,0
Portugal,PRT,2015,0
Portugal,PRT,2016,0
Portugal,PRT,2017,0.01
Portugal,PRT,2018,0.01
Romania,ROU,2014,0
Romania,ROU,2015,0
Romania,ROU,2016,0
Romania,ROU,2017,0
Romania,ROU,2018,0
Slovakia,SVK,2013,0
Slovakia,SVK,2014,0
Slovakia,SVK,2015,0
Slovakia,SVK,2016,0
Slovakia,SVK,2017,0
Slovakia,SVK,2018,0
Slovenia,SVN,2010,0
Slovenia,SVN,2011,0
Slovenia,SVN,2012,0
Slovenia,SVN,2013,0
Slovenia,SVN,2014,0
Slovenia,SVN,2015,0
Slovenia,SVN,2016,0.01
Slovenia,SVN,2017,0.01
Slovenia,SVN,2018,0
South Korea,KOR,2006,0
South Korea,KOR,2007,0
South Korea,KOR,2008,0.01
South Korea,KOR,2009,0.01
South Korea,KOR,2010,0.01
South Korea,KOR,2011,0.01
South Korea,KOR,2012,0.01
South Korea,KOR,2013,0.01
South Korea,KOR,2014,0.01
South Korea,KOR,2015,0.01
South Korea,KOR,2016,0.01
South Korea,KOR,2017,0.01
South Korea,KOR,2018,0.01
Spain,ESP,2000,0.01
Spain,ESP,2001,0.01
Spain,ESP,2002,0.02
Spain,ESP,2003,0.02
Spain,ESP,2004,0.01
Spain,ESP,2005,0.02
Spain,ESP,2006,0.02
Spain,ESP,2007,0.03
Spain,ESP,2008,0.07
Spain,ESP,2009,0.08
Spain,ESP,2010,0.04
Spain,ESP,2011,0.02
Spain,ESP,2012,0.01
Spain,ESP,2013,0.01
Spain,ESP,2014,0.01
Spain,ESP,2015,0
Spain,ESP,2016,0
Spain,ESP,2017,0
Spain,ESP,2018,0.01
Sweden,SWE,2000,0.04
Sweden,SWE,2001,0.04
Sweden,SWE,2002,0.03
Sweden,SWE,2003,0.04
Sweden,SWE,2004,0.05
Sweden,SWE,2005,0.04
Sweden,SWE,2006,0.05
Sweden,SWE,2007,0.05
Sweden,SWE,2008,0.06
Sweden,SWE,2009,0.06
Sweden,SWE,2010,0.05
Sweden,SWE,2011,0.05
Sweden,SWE,2012,0.05
Sweden,SWE,2013,0.05
Sweden,SWE,2014,0.05
Sweden,SWE,2015,0.03
Sweden,SWE,2016,0.03
Sweden,SWE,2017,0.04
Sweden,SWE,2018,0.06
Switzerland,CHE,2000,0.04
Switzerland,CHE,2001,0.04
Switzerland,CHE,2002,0.03
Switzerland,CHE,2003,0.02
Switzerland,CHE,2004,0.02
Switzerland,CHE,2005,0.01
Switzerland,CHE,2006,0.01
Switzerland,CHE,2007,0.01
Switzerland,CHE,2008,0.02
Switzerland,CHE,2009,0.02
Switzerland,CHE,2010,0.01
Switzerland,CHE,2011,0.03
Switzerland,CHE,2012,0.03
Switzerland,CHE,2013,0.03
Switzerland,CHE,2014,0.05
Switzerland,CHE,2015,0.04
Switzerland,CHE,2016,0.03
Switzerland,CHE,2017,0.03
Switzerland,CHE,2018,0.03
Turkey,TUR,2015,0
Turkey,TUR,2016,0
Turkey,TUR,2017,0
Turkey,TUR,2018,0
United Arab Emirates,ARE,2009,0.12
United Arab Emirates,ARE,2010,0.01
United Arab Emirates,ARE,2011,0.01
United Arab Emirates,ARE,2012,0.02
United Arab Emirates,ARE,2013,0.02
United Arab Emirates,ARE,2014,0.03
United Arab Emirates,ARE,2015,0.03
United Arab Emirates,ARE,2016,0.09
United Arab Emirates,ARE,2017,0.03
United Arab Emirates,ARE,2018,0.02
United Kingdom,GBR,2000,0.04
United Kingdom,GBR,2001,0.02
United Kingdom,GBR,2002,0.02
United Kingdom,GBR,2003,0.02
United Kingdom,GBR,2004,0.02
United Kingdom,GBR,2005,0.03
United Kingdom,GBR,2006,0.04
United Kingdom,GBR,2007,0.04
United Kingdom,GBR,2008,0.02
United Kingdom,GBR,2009,0.04
United Kingdom,GBR,2010,0.04
United Kingdom,GBR,2011,0.06
United Kingdom,GBR,2012,0.06
United Kingdom,GBR,2013,0.07
United Kingdom,GBR,2014,0.06
United Kingdom,GBR,2015,0.05
United Kingdom,GBR,2016,0.06
United Kingdom,GBR,2017,0.05
United Kingdom,GBR,2018,0.04
United States,USA,2000,0.02
United States,USA,2001,0.02
United States,USA,2002,0.01
United States,USA,2003,0.02
United States,USA,2004,0.02
United States,USA,2005,0.03
United States,USA,2006,0.02
United States,USA,2007,0.02
United States,USA,2008,0.02
United States,USA,2009,0.02
United States,USA,2010,0.02
United States,USA,2011,0.02
United States,USA,2012,0.02
United States,USA,2013,0.02
United States,USA,2014,0.02
United States,USA,2015,0.02
United States,USA,2016,0.02
United States,USA,2017,0.02
United States,USA,2018,0.02
