Entity,Code,Year,10.c.1 - Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%) - SI_RMT_COST_SND
Netherlands,NLD,2011,9.53
Netherlands,NLD,2015,8.77
Netherlands,NLD,2017,8.2
Netherlands,NLD,2018,7.76
Netherlands,NLD,2019,6.86
Netherlands,NLD,2020,7.3
Netherlands,NLD,2021,6.55
New Zealand,NZL,2011,11.99
New Zealand,NZL,2015,8.32
New Zealand,NZL,2017,9.18
New Zealand,NZL,2018,8.28
New Zealand,NZL,2019,8.25
New Zealand,NZL,2020,7.83
New Zealand,NZL,2021,7.35
Nigeria,NGA,2017,18.3
Nigeria,NGA,2018,12.28
Nigeria,NGA,2019,9.56
Nigeria,NGA,2020,16.1
Norway,NOR,2011,13.08
Norway,NOR,2015,8.78
Norway,NOR,2017,6.22
Norway,NOR,2018,6.25
Norway,NOR,2019,6.21
Norway,NOR,2020,4.08
Norway,NOR,2021,5.07
Oman,OMN,2017,3.87
Oman,OMN,2018,4.29
Oman,OMN,2019,4.17
Oman,OMN,2020,4.23
Oman,OMN,2021,4.31
Pakistan,PAK,2017,12.07
Pakistan,PAK,2018,11.99
Pakistan,PAK,2019,13.92
Pakistan,PAK,2020,15.51
Pakistan,PAK,2021,4.7
Portugal,PRT,2017,7.9
Portugal,PRT,2018,5.74
Portugal,PRT,2019,7.68
Portugal,PRT,2020,7.16
Portugal,PRT,2021,6.03
Qatar,QAT,2011,5.05
Qatar,QAT,2015,5.99
Qatar,QAT,2017,5.26
Qatar,QAT,2018,5.21
Qatar,QAT,2019,5.1
Qatar,QAT,2020,4.87
Qatar,QAT,2021,3.49
Russia,RUS,2011,2.68
Russia,RUS,2015,1.92
Russia,RUS,2017,2.13
Russia,RUS,2018,1.85
Russia,RUS,2019,1.59
Russia,RUS,2020,1.94
Russia,RUS,2021,2.93
Rwanda,RWA,2017,6.23
Rwanda,RWA,2018,6.75
Rwanda,RWA,2019,5.37
Rwanda,RWA,2020,8.54
Rwanda,RWA,2021,5.21
Saudi Arabia,SAU,2011,4.13
Saudi Arabia,SAU,2015,4.13
Saudi Arabia,SAU,2017,5.1
Saudi Arabia,SAU,2018,6.34
Saudi Arabia,SAU,2019,4.99
Saudi Arabia,SAU,2020,4.8
Saudi Arabia,SAU,2021,4.87
Senegal,SEN,2011,6.21
Senegal,SEN,2015,4.8
Senegal,SEN,2017,4.06
Senegal,SEN,2018,3.47
Senegal,SEN,2019,3.57
Senegal,SEN,2020,3.26
Senegal,SEN,2021,3.45
Singapore,SGP,2011,4.63
Singapore,SGP,2015,5.94
Singapore,SGP,2017,4.55
Singapore,SGP,2018,4.07
Singapore,SGP,2019,4.04
Singapore,SGP,2020,3.31
Singapore,SGP,2021,3.68
South Africa,ZAF,2011,17.73
South Africa,ZAF,2015,15.19
South Africa,ZAF,2017,16.57
South Africa,ZAF,2018,15.82
South Africa,ZAF,2019,15.96
South Africa,ZAF,2020,15.05
South Africa,ZAF,2021,14.81
South Korea,KOR,2011,6.36
South Korea,KOR,2015,5.43
South Korea,KOR,2017,4.81
South Korea,KOR,2018,5.07
South Korea,KOR,2019,4.87
South Korea,KOR,2020,4.74
South Korea,KOR,2021,4.18
Spain,ESP,2011,6.63
Spain,ESP,2015,6.06
Spain,ESP,2017,5.63
Spain,ESP,2018,5.64
Spain,ESP,2019,5.35
Spain,ESP,2020,5.03
Spain,ESP,2021,5.16
Sweden,SWE,2017,9.59
Sweden,SWE,2018,8.09
Sweden,SWE,2019,7.95
Sweden,SWE,2020,7.93
Sweden,SWE,2021,7.36
Switzerland,CHE,2011,11.65
Switzerland,CHE,2015,15.38
Switzerland,CHE,2017,9.89
Switzerland,CHE,2018,9.06
Switzerland,CHE,2019,8.45
Switzerland,CHE,2020,8.25
Switzerland,CHE,2021,6.28
Tanzania,TZA,2011,24.31
Tanzania,TZA,2015,16.16
Tanzania,TZA,2017,14.4
Tanzania,TZA,2018,16.78
Tanzania,TZA,2019,14.19
Tanzania,TZA,2020,19.73
Tanzania,TZA,2021,27.92
Thailand,THA,2017,16.91
Thailand,THA,2018,15.84
Thailand,THA,2019,12.9
Thailand,THA,2020,13.31
Thailand,THA,2021,11.56
Turkey,TUR,2017,10.41
Turkey,TUR,2018,13.09
Turkey,TUR,2019,13.6
Turkey,TUR,2020,11.11
Turkey,TUR,2021,22.44
United Arab Emirates,ARE,2011,3.9
United Arab Emirates,ARE,2015,3.15
United Arab Emirates,ARE,2017,4.32
United Arab Emirates,ARE,2018,3.71
United Arab Emirates,ARE,2019,3.47
United Arab Emirates,ARE,2020,4.1
United Arab Emirates,ARE,2021,3.89
United Kingdom,GBR,2011,7.73
United Kingdom,GBR,2015,7.41
United Kingdom,GBR,2017,7.01
United Kingdom,GBR,2018,7.08
United Kingdom,GBR,2019,7.28
United Kingdom,GBR,2020,6.57
United Kingdom,GBR,2021,6.06
United States,USA,2011,6.93
United States,USA,2015,6.04
United States,USA,2017,5.71
United States,USA,2018,5.42
United States,USA,2019,5.36
United States,USA,2020,5.14
United States,USA,2021,5.61
