Entity,Code,Year,15.2.1 - Annual forest area change rate (%) - AG_LND_FRSTCHG
Malta,MLT,2010,0
Malta,MLT,2020,2.77062
Marshall Islands,MHL,2010,0
Marshall Islands,MHL,2020,0
Martinique,MTQ,2010,0.31355
Martinique,MTQ,2020,0.39075
Mauritania,MRT,2010,-1.37187
Mauritania,MRT,2020,-1.59171
Mauritius,MUS,2010,-0.87817
Mauritius,MUS,2020,0.09855
Mayotte,MYT,2010,-0.83475
Mayotte,MYT,2020,-0.36686
Melanesia,OWID_MNS,2010,-0.01
Melanesia,OWID_MNS,2020,-0.06
Mexico,MEX,2010,-0.21231
Mexico,MEX,2020,-0.1885
Micronesia (country),FSM,2010,0.0422
Micronesia (country),FSM,2020,0.04513
Middle Africa,,2010,-0.46
Middle Africa,,2020,-0.64
Moldova,MDA,2010,0.8414
Moldova,MDA,2020,0.3159
Mongolia,MNG,2010,-0.05623
Mongolia,MNG,2020,-0.00784
Montenegro,MNE,2010,2.82367
Montenegro,MNE,2020,0
Montserrat,MSR,2010,0
Montserrat,MSR,2020,0
Morocco,MAR,2010,0.30104
Morocco,MAR,2020,0.11905
Mozambique,MOZ,2010,-0.55147
Mozambique,MOZ,2020,-0.58706
Myanmar,MMR,2010,-1.02927
Myanmar,MMR,2020,-0.96204
Namibia,NAM,2010,-0.91813
Namibia,NAM,2020,-1.01102
Nepal,NPL,2010,-0.01463
Nepal,NPL,2020,0
Netherlands,NLD,2010,0.38223
Netherlands,NLD,2020,-0.10708
New Caledonia,NCL,2010,0.01396
New Caledonia,NCL,2020,-0.01193
New Zealand,NZL,2010,-0.00236
New Zealand,NZL,2020,0.04506
Nicaragua,NIC,2010,-2.50815
Nicaragua,NIC,2020,-2.04159
Niger,NER,2010,-0.97703
Niger,NER,2020,-1.08292
Nigeria,NGA,2010,-0.67624
Nigeria,NGA,2020,-0.7253
Niue,NIU,2010,-0.03191
Niue,NIU,2020,0.05315
Norfolk Island,NFK,2010,0
Norfolk Island,NFK,2020,0
North Korea,PRK,2010,-0.33388
North Korea,PRK,2020,-0.34541
North Macedonia,MKD,2010,0.03004
North Macedonia,MKD,2020,0.41951
Northern Africa,,2010,-0.41
Northern Africa,,2020,-0.57
Northern Africa and Western Asia,,2010,-0.02
Northern Africa and Western Asia,,2020,-0.06
Northern America,,2010,0.07
Northern America,,2020,0.01
Northern Europe,,2010,0.04
Northern Europe,,2020,0.08
Northern Mariana Islands,MNP,2010,-0.52539
Northern Mariana Islands,MNP,2020,-2.16487
Norway,NOR,2010,-0.00908
Norway,NOR,2020,0.06427
Oceania,,2010,-0.13
Oceania,,2020,0.23
Oceania (exc. Australia and New Zealand),,2010,-0.01
Oceania (exc. Australia and New Zealand),,2020,-0.07
Oman,OMN,2010,0
Oman,OMN,2020,-1.8067
Pakistan,PAK,2010,-0.9665
Pakistan,PAK,2020,-0.93706
Palau,PLW,2010,0.24488
Palau,PLW,2020,0.20762
Palestine,PSE,2010,0.91918
Palestine,PSE,2020,0.18933
Panama,PAN,2010,-0.25999
Panama,PAN,2020,-0.26693
Papua New Guinea,PNG,2010,-0.02735
Papua New Guinea,PNG,2020,-0.08967
Paraguay,PRY,2010,-1.59832
Paraguay,PRY,2020,-1.93159
Peru,PER,2010,-0.167
Peru,PER,2020,-0.23466
Philippines,PHL,2010,-0.66175
Philippines,PHL,2020,0.49872
Pitcairn,PCN,2010,0
Pitcairn,PCN,2020,0
Poland,POL,2010,0.29412
Poland,POL,2020,0.16386
Polynesia,OWID_PYA,2010,-0.11
Polynesia,OWID_PYA,2020,-0.13
Portugal,PRT,2010,-0.08874
Portugal,PRT,2020,0.18299
Puerto Rico,PRI,2010,1.36477
Puerto Rico,PRI,2020,0.09886
Reunion,REU,2010,0.32712
Reunion,REU,2020,0.46366
Romania,ROU,2010,0.23163
Romania,ROU,2020,0.61806
Russia,RUS,2010,0.07226
Russia,RUS,2020,0.00216
Rwanda,RWA,2010,-0.79435
Rwanda,RWA,2020,0.40754
Saint Barthlemy,,2010,0
Saint Barthlemy,,2020,0
Saint Helena,SHN,2010,0
Saint Helena,SHN,2020,0
Saint Kitts and Nevis,KNA,2010,0
Saint Kitts and Nevis,KNA,2020,0
Saint Lucia,LCA,2010,-0.11482
Saint Lucia,LCA,2020,0
Saint Martin (French part),MAF,2010,0
Saint Martin (French part),MAF,2020,0
Saint Pierre and Miquelon,SPM,2010,-1.47088
Saint Pierre and Miquelon,SPM,2020,-1.64425
Saint Vincent and the Grenadines,VCT,2010,0
Saint Vincent and the Grenadines,VCT,2020,0
Samoa,WSM,2010,-0.28499
Samoa,WSM,2020,-0.29335
San Marino,SMR,2010,0
San Marino,SMR,2020,0
Sao Tome and Principe,STP,2010,-0.04464
Sao Tome and Principe,STP,2020,-1.12213
Saudi Arabia,SAU,2010,0
Saudi Arabia,SAU,2020,0
Senegal,SEN,2010,-0.44363
Senegal,SEN,2020,-0.48271
Serbia,SRB,2010,0.98374
Serbia,SRB,2020,0.03551
Seychelles,SYC,2010,0
Seychelles,SYC,2020,0
Sierra Leone,SLE,2010,-0.69473
Sierra Leone,SLE,2020,-0.74666
Singapore,SGP,2010,0.41927
Singapore,SGP,2020,-1.2965
Sint Maarten (Dutch part),SXM,2010,0
Sint Maarten (Dutch part),SXM,2020,0
Slovakia,SVK,2010,0.08644
Slovakia,SVK,2020,0.04158
Slovenia,SVN,2010,0.11297
Slovenia,SVN,2020,-0.07378
Small Island Developing States (SIDS),,2010,0.04
Small Island Developing States (SIDS),,2020,-0.04
Solomon Islands,SLB,2010,-0.02888
Solomon Islands,SLB,2020,-0.02893
Somalia,SOM,2010,-1.07151
Somalia,SOM,2020,-1.20025
South Africa,ZAF,2010,-0.20666
South Africa,ZAF,2020,-0.21102
South America,,2010,-0.58
South America,,2020,-0.3
South Korea,KOR,2010,-0.13829
South Korea,KOR,2020,-0.15768
South Sudan,SSD,2010,0
South Sudan,SSD,2020,0
South-eastern Asia,,2010,-0.19
South-eastern Asia,,2020,-0.55
Southern Africa,,2010,-0.52
Southern Africa,,2020,-0.55
Southern Asia,,2010,0.3
Southern Asia,,2020,0.24
Southern Europe,,2010,0.66
Southern Europe,,2020,0.17
Spain,ESP,2010,0.81828
Spain,ESP,2020,0.01446
Sri Lanka,LKA,2010,-0.29373
Sri Lanka,LKA,2020,0.0446
Sub-Saharan Africa,,2010,-0.49
Sub-Saharan Africa,,2020,-0.6
Sudan,SDN,2010,-0.8298
Sudan,SDN,2020,-0.89232
Suriname,SUR,2010,-0.02676
Suriname,SUR,2020,-0.0679
Sweden,SWE,2010,-0.032
Sweden,SWE,2020,-0.03318
Switzerland,CHE,2010,0.31761
Switzerland,CHE,2020,0.27509
Syria,SYR,2010,1.3088
Syria,SYR,2020,0.59355
Tajikistan,TJK,2010,0
Tajikistan,TJK,2020,0.33159
Tanzania,TZA,2010,-0.71574
Tanzania,TZA,2020,-0.87555
Thailand,THA,2010,0.55194
Thailand,THA,2020,-0.10009
Timor,TLS,2010,-0.1485
Timor,TLS,2020,-0.15073
Togo,TGO,2010,-0.23579
Togo,TGO,2020,-0.24154
Tonga,TON,2010,0
Tonga,TON,2020,0
Trinidad and Tobago,TTO,2010,-0.18063
Trinidad and Tobago,TTO,2020,-0.18308
Tunisia,TUN,2010,0.28938
Tunisia,TUN,2020,0.22037
Turkey,TUR,2010,0.45451
Turkey,TUR,2020,0.52676
Turkmenistan,TKM,2010,0
Turkmenistan,TKM,2020,0
Turks and Caicos Islands,TCA,2010,0
Turks and Caicos Islands,TCA,2020,0
Tuvalu,TUV,2010,0
Tuvalu,TUV,2020,0
Uganda,UGA,2010,-1.3878
Uganda,UGA,2020,-1.61187
Ukraine,UKR,2010,0.03989
Ukraine,UKR,2020,0.14774
United Arab Emirates,ARE,2010,0.25147
United Arab Emirates,ARE,2020,0
United Kingdom,GBR,2010,0.34989
United Kingdom,GBR,2020,0.42021
United States,USA,2010,0.16949
United States,USA,2020,0.03477
United States Virgin Islands,VIR,2010,-1.04432
United States Virgin Islands,VIR,2020,0.77541
Uruguay,URY,2010,2.3757
Uruguay,URY,2020,1.60937
Uzbekistan,UZB,2010,1.2392
Uzbekistan,UZB,2020,0.97162
Vanuatu,VUT,2010,0
Vanuatu,VUT,2020,0
Venezuela,VEN,2010,-0.34004
Venezuela,VEN,2020,-0.2715
Vietnam,VNM,2010,1.2843
Vietnam,VNM,2020,0.90008
Wallis and Futuna,WLF,2010,0.0172
Wallis and Futuna,WLF,2020,0.01717
Western Africa,,2010,-0.67
Western Africa,,2020,-0.61
Western Asia,,2010,0.39
Western Asia,,2020,0.42
Western Europe,,2010,0.39
Western Europe,,2020,0.26
Western Sahara,ESH,2010,-0.06293
Western Sahara,ESH,2020,-0.0006
World,OWID_WRL,2010,-0.13
World,OWID_WRL,2020,-0.12
Yemen,YEM,2010,0
Yemen,YEM,2020,0
Zambia,ZMB,2010,-0.07634
Zambia,ZMB,2020,-0.41053
Zimbabwe,ZWE,2010,-0.25372
Zimbabwe,ZWE,2020,-0.26033
