Entity,Code,Year,15.9.1 - Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO) - ER_BDY_ABT2NP - OMM
Morocco,MAR,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Mozambique,MOZ,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Myanmar,MMR,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Namibia,NAM,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Nauru,NRU,2021,No national target reflecting ABT 2
Nepal,NPL,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Netherlands,NLD,2021,No national target reflecting ABT 2
New Zealand,NZL,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Nicaragua,NIC,2021,No national target reflecting ABT 2
Niger,NER,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Nigeria,NGA,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Niue,NIU,2021,No national target reflecting ABT 2
North Korea,PRK,2021,No national target reflecting ABT 2
North Macedonia,MKD,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Norway,NOR,2021,No national target reflecting ABT 2
Oceania,,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Oceania (exc. Australia and New Zealand),,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Oman,OMN,2021,No national target reflecting ABT 2
Pakistan,PAK,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Palau,PLW,2021,No national target reflecting ABT 2
Palestine,PSE,2021,No national target reflecting ABT 2
Panama,PAN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Papua New Guinea,PNG,2021,"National target reflecting ABT2 exists, but moving away from it"
Paraguay,PRY,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Peru,PER,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Philippines,PHL,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Poland,POL,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Polynesia,OWID_PYA,2021,No national target reflecting ABT 2
Portugal,PRT,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Qatar,QAT,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Romania,ROU,2021,No national target reflecting ABT 2
Russia,RUS,2021,No national target reflecting ABT 2
Rwanda,RWA,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Saint Kitts and Nevis,KNA,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Saint Lucia,LCA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Saint Vincent and the Grenadines,VCT,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Samoa,WSM,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
San Marino,SMR,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Sao Tome and Principe,STP,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Saudi Arabia,SAU,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Senegal,SEN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Serbia,SRB,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Seychelles,SYC,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Sierra Leone,SLE,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Singapore,SGP,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Slovakia,SVK,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Slovenia,SVN,2021,No national target reflecting ABT 2
Small Island Developing States (SIDS),,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Solomon Islands,SLB,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Somalia,SOM,2021,National target reflecting ABT2  exists and progress is on track to exceed it
South Africa,ZAF,2021,National target reflecting ABT2 exists and progress is on track to achieve it
South America,,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
South Korea,KOR,2021,National target reflecting ABT2 exists and progress is on track to achieve it
South Sudan,SSD,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Southern Africa,,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Southern Asia,,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Spain,ESP,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Sri Lanka,LKA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Sudan,SDN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Suriname,SUR,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Sweden,SWE,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Switzerland,CHE,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Syria,SYR,2021,No national target reflecting ABT 2
Tajikistan,TJK,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Tanzania,TZA,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Thailand,THA,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Timor,TLS,2021,No national target reflecting ABT 2
Togo,TGO,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Tonga,TON,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Trinidad and Tobago,TTO,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Tunisia,TUN,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Turkey,TUR,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Turkmenistan,TKM,2021,No national target reflecting ABT 2
Tuvalu,TUV,2021,No national target reflecting ABT 2
Uganda,UGA,2021,No national target reflecting ABT 2
Ukraine,UKR,2021,"National target reflecting ABT2  exists, but no progress"
United Arab Emirates,ARE,2021,National target reflecting ABT2 exists and progress is on track to achieve it
United Kingdom,GBR,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Uruguay,URY,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Uzbekistan,UZB,2021,No national target reflecting ABT 2
Vanuatu,VUT,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Venezuela,VEN,2021,National target reflecting ABT2  exists and progress is on track to exceed it
Vietnam,VNM,2021,No national target reflecting ABT 2
Western Africa,,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
Western Europe,,2021,"National target reflecting ABT2  exists and progress is there, but at as insufficient rate"
World,OWID_WRL,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Yemen,YEM,2021,"National target reflecting ABT2  exists, but no progress"
Zambia,ZMB,2021,National target reflecting ABT2 exists and progress is on track to achieve it
Zimbabwe,ZWE,2021,National target reflecting ABT2 exists and progress is on track to achieve it
